gerakan,rep,fase,bagian,mulai,dalam_fase,delta_db,otot_db,mu_sm_db,beta_sm_db,pct_kanal_bersih,sm_bersih,participant_id
Ngeed,1,Gerak,pra-onset,5.088,False,7.529,4.313,-0.404,-3.473,25.0,True,P08
Ngeed,1,Gerak,pra-onset,5.338,False,2.197,4.669,4.375,-2.666,31.25,True,P08
Ngeed,1,Gerak,awal,5.588,True,1.071,5.169,6.818,1.653,31.25,True,P08
Ngeed,1,Gerak,awal,5.838,True,-0.266,1.07,4.746,0.032,31.25,True,P08
Ngeed,1,Gerak,awal,6.088,True,-4.017,-0.561,3.193,2.324,43.75,True,P08
Ngeed,1,Gerak,awal,6.338,True,3.165,-1.348,0.482,1.407,62.5,True,P08
Ngeed,1,Gerak,awal,6.588,True,5.449,-1.844,1.472,-1.785,75.0,True,P08
Ngeed,1,Gerak,awal,6.838,True,4.827,-0.048,5.786,-0.866,75.0,True,P08
Ngeed,1,Gerak,tengah,7.088,True,3.157,0.149,7.416,0.82,75.0,True,P08
Ngeed,1,Gerak,tengah,7.338,True,1.57,-0.099,-0.553,-1.165,81.25,True,P08
Ngeed,1,Gerak,tengah,7.588,True,1.762,0.98,0.272,-0.296,81.25,True,P08
Ngeed,1,Gerak,tengah,7.838,True,2.009,1.754,1.594,1.801,81.25,True,P08
Ngeed,1,Gerak,tengah,8.088,True,6.641,2.368,-1.42,2.708,37.5,True,P08
Ngeed,1,Gerak,akhir,8.338,True,12.887,3.422,-1.656,2.225,37.5,True,P08
Ngeed,1,Gerak,akhir,8.588,True,13.562,4.611,1.408,1.536,37.5,True,P08
Ngeed,1,Gerak,akhir,8.838,True,7.632,2.002,-0.016,0.866,43.75,True,P08
Ngeed,1,Gerak,akhir,9.088,True,3.276,2.606,2.155,2.834,87.5,True,P08
Ngeed,1,Gerak,akhir,9.338,False,2.959,0.885,1.067,1.48,87.5,True,P08
Ngeed,1,Gerak,akhir,9.588,False,1.198,-0.172,-3.105,-0.849,68.75,True,P08
Ngeed,1,Tahan,pra-onset,9.188,False,1.734,2.3,2.207,2.889,87.5,True,P08
Ngeed,1,Tahan,pra-onset,9.438,False,1.745,-0.753,-0.495,0.178,87.5,True,P08
Ngeed,1,Tahan,awal,9.688,True,2.826,0.531,-3.671,-1.022,75.0,True,P08
Ngeed,1,Tahan,awal,9.938,True,2.146,0.23,-1.511,-2.774,62.5,True,P08
Ngeed,1,Tahan,awal,10.188,True,2.096,-3.835,-1.8,-3.856,50.0,True,P08
Ngeed,1,Tahan,awal,10.438,True,2.084,-3.525,-2.386,-4.414,56.25,True,P08
Ngeed,1,Tahan,awal,10.688,True,1.27,-2.335,-0.08,-5.588,56.25,True,P08
Ngeed,1,Tahan,awal,10.938,True,-1.833,-1.733,-3.07,-4.117,50.0,True,P08
Ngeed,1,Tahan,tengah,11.188,True,-1.283,-3.156,-4.64,-4.567,37.5,True,P08
Ngeed,1,Tahan,tengah,11.438,True,1.615,-4.369,-5.345,-5.104,31.25,True,P08
Ngeed,1,Tahan,tengah,11.688,True,0.355,-3.528,-4.743,-7.738,31.25,True,P08
Ngeed,1,Tahan,tengah,11.938,True,-2.76,-1.614,,,37.5,False,P08
Ngeed,1,Tahan,tengah,12.188,True,0.427,2.072,,,31.25,False,P08
Ngeed,1,Tahan,akhir,12.438,True,1.719,-1.014,,,37.5,False,P08
Ngeed,1,Tahan,akhir,12.688,True,4.311,-1.87,,,37.5,False,P08
Ngeed,1,Tahan,akhir,12.938,True,4.337,-0.866,,,37.5,False,P08
Ngeed,1,Tahan,akhir,13.188,False,-0.623,-0.916,-10.16,-11.058,50.0,True,P08
Ngeed,1,Tahan,akhir,13.438,False,0.518,-1.617,-7.235,-7.686,25.0,True,P08
Ngeed,1,Naik,pra-onset,12.955,False,4.014,-0.703,,,37.5,False,P08
Ngeed,1,Naik,pra-onset,13.205,False,-0.71,-1.007,-10.114,-11.006,50.0,True,P08
Ngeed,1,Naik,awal,13.455,True,0.574,-1.375,-6.641,-7.097,25.0,True,P08
Ngeed,1,Naik,awal,13.705,True,0.014,4.732,-1.999,0.459,25.0,True,P08
Ngeed,1,Naik,tengah,13.955,True,-0.607,4.251,-4.328,1.31,31.25,True,P08
Ngeed,1,Naik,tengah,14.205,True,3.366,0.292,-3.042,0.416,25.0,True,P08
Ngeed,1,Naik,akhir,14.455,False,6.331,0.151,2.297,1.915,37.5,True,P08
Ngeed,1,Naik,akhir,14.705,False,8.461,-0.3,2.551,2.208,43.75,True,P08
Ngeed,1,Berdiri,pra-onset,14.255,False,4.151,0.209,-1.44,0.607,25.0,True,P08
Ngeed,1,Berdiri,pra-onset,14.505,False,6.338,-0.21,2.633,2.211,37.5,True,P08
Ngeed,1,Berdiri,awal,14.755,True,9.498,-0.052,2.436,1.551,50.0,True,P08
Ngeed,1,Berdiri,awal,15.005,True,11.69,1.088,3.46,-2.492,62.5,True,P08
Ngeed,1,Berdiri,awal,15.255,True,11.711,1.255,3.05,0.039,56.25,True,P08
Ngeed,1,Berdiri,awal,15.505,True,9.138,-0.328,-3.606,-4.368,62.5,True,P08
Ngeed,1,Berdiri,awal,15.755,True,7.025,1.127,-0.999,-2.323,62.5,True,P08
Ngeed,1,Berdiri,awal,16.005,True,3.489,3.889,5.746,2.815,62.5,True,P08
Ngeed,1,Berdiri,awal,16.255,True,1.102,3.3,5.965,3.171,56.25,True,P08
Ngeed,1,Berdiri,awal,16.505,True,4.967,3.565,8.138,1.369,62.5,True,P08
Ngeed,1,Berdiri,awal,16.755,True,4.717,4.934,5.984,3.131,75.0,True,P08
Ngeed,1,Berdiri,awal,17.005,True,4.273,1.367,-0.064,4.294,75.0,True,P08
Ngeed,1,Berdiri,tengah,17.255,True,2.681,0.542,1.86,5.226,93.75,True,P08
Ngeed,1,Berdiri,tengah,17.505,True,0.498,1.041,2.301,2.666,93.75,True,P08
Ngeed,1,Berdiri,tengah,17.755,True,0.572,-0.202,-2.486,-0.755,93.75,True,P08
Ngeed,1,Berdiri,tengah,18.005,True,1.738,-2.048,-1.976,-2.531,93.75,True,P08
Ngeed,1,Berdiri,tengah,18.255,True,-1.67,0.036,0.303,-2.777,93.75,True,P08
Ngeed,1,Berdiri,tengah,18.505,True,-1.806,3.001,-4.342,-3.486,81.25,True,P08
Ngeed,1,Berdiri,tengah,18.755,True,-0.685,1.23,-1.058,0.525,68.75,True,P08
Ngeed,1,Berdiri,tengah,19.005,True,0.187,-0.716,-2.808,0.492,68.75,True,P08
Ngeed,1,Berdiri,tengah,19.255,True,0.481,0.172,-2.824,-0.817,56.25,True,P08
Ngeed,1,Berdiri,akhir,19.505,True,-0.994,-1.768,-3.278,-5.215,43.75,True,P08
Ngeed,1,Berdiri,akhir,19.755,True,-3.905,-1.594,-5.712,-7.774,31.25,True,P08
Ngeed,1,Berdiri,akhir,20.005,True,-4.643,-0.424,-2.914,-6.232,25.0,True,P08
Ngeed,1,Berdiri,akhir,20.255,True,-1.128,-0.649,1.036,-5.917,43.75,True,P08
Ngeed,1,Berdiri,akhir,20.505,True,-1.795,3.127,,,37.5,False,P08
Ngeed,1,Berdiri,akhir,20.755,True,-0.545,1.966,,,43.75,False,P08
Ngeed,1,Berdiri,akhir,21.005,True,0.087,-2.243,,,50.0,False,P08
Ngeed,1,Berdiri,akhir,21.255,True,1.244,-3.329,,,50.0,False,P08
Ngeed,1,Berdiri,akhir,21.505,False,-3.489,-2.331,,,50.0,False,P08
Ngeed,2,Gerak,pra-onset,21.255,False,1.244,-3.329,,,50.0,False,P08
Ngeed,2,Gerak,pra-onset,21.505,False,-3.105,-2.38,,,50.0,False,P08
Ngeed,2,Gerak,awal,21.755,True,-6.068,-3.018,-3.238,-8.79,50.0,True,P08
Ngeed,2,Gerak,awal,22.005,True,1.666,-1.106,-1.019,-5.393,50.0,True,P08
Ngeed,2,Gerak,awal,22.255,True,2.774,-2.123,-3.735,-3.335,56.25,True,P08
Ngeed,2,Gerak,tengah,22.505,True,5.319,-2.633,-0.588,-1.587,37.5,True,P08
Ngeed,2,Gerak,tengah,22.755,True,9.608,2.753,7.068,2.084,37.5,True,P08
Ngeed,2,Gerak,tengah,23.005,True,7.755,4.047,7.118,3.939,37.5,True,P08
Ngeed,2,Gerak,akhir,23.255,True,1.353,2.073,5.052,2.114,37.5,True,P08
Ngeed,2,Gerak,akhir,23.505,False,-0.996,1.533,-0.353,2.032,56.25,True,P08
Ngeed,2,Gerak,akhir,23.755,False,1.018,2.417,3.215,3.043,75.0,True,P08
Ngeed,2,Tahan,pra-onset,23.39,False,-0.084,1.281,2.314,1.708,62.5,True,P08
Ngeed,2,Tahan,pra-onset,23.64,False,-0.021,2.121,0.685,2.815,68.75,True,P08
Ngeed,2,Tahan,awal,23.89,True,1.909,1.653,4.881,2.284,75.0,True,P08
Ngeed,2,Tahan,awal,24.14,True,2.268,0.795,6.86,0.654,56.25,True,P08
Ngeed,2,Tahan,awal,24.39,True,3.746,4.853,,,50.0,False,P08
Ngeed,2,Tahan,awal,24.64,True,4.87,8.188,,,50.0,False,P08
Ngeed,2,Tahan,awal,24.89,True,7.84,7.094,1.657,6.142,62.5,True,P08
Ngeed,2,Tahan,awal,25.14,True,6.674,5.5,3.765,2.034,56.25,True,P08
Ngeed,2,Tahan,awal,25.39,True,2.497,2.883,3.39,0.208,68.75,True,P08
Ngeed,2,Tahan,awal,25.64,True,1.788,4.913,2.924,4.101,87.5,True,P08
Ngeed,2,Tahan,tengah,25.89,True,4.278,3.767,4.525,3.577,87.5,True,P08
Ngeed,2,Tahan,tengah,26.14,True,4.671,2.371,3.599,2.927,87.5,True,P08
Ngeed,2,Tahan,tengah,26.39,True,0.333,1.095,0.747,3.778,93.75,True,P08
Ngeed,2,Tahan,tengah,26.64,True,-0.982,1.296,0.816,2.891,93.75,True,P08
Ngeed,2,Tahan,tengah,26.89,True,-0.443,-0.013,3.472,2.153,93.75,True,P08
Ngeed,2,Tahan,tengah,27.14,True,-0.164,1.851,1.849,1.196,81.25,True,P08
Ngeed,2,Tahan,tengah,27.39,True,-0.54,3.303,2.786,2.035,62.5,True,P08
Ngeed,2,Tahan,tengah,27.64,True,-1.714,0.547,0.615,0.786,56.25,True,P08
