fase,bagian,pct_bersih_05dtk,delta_db,otot_db,mu_sm_db,mu_sm_t,beta_sm_db,beta_sm_t,porsi_E_semua,porsi_E_bersih
Gerak,pra-onset,62.63,1.75,-0.12,-0.83,-0.92,-1.13,-1.42,,
Gerak,awal,49.11,7.67,2.2,0.21,0.04,-0.78,-0.76,44.67,63.2
Gerak,tengah,27.83,14.97,6.44,2.37,2.85,0.76,0.28,38.33,25.43
Gerak,akhir,28.75,13.86,6.88,0.11,0.68,-0.21,0.74,17.26,11.38
Tahan,pra-onset,30.9,12.13,6.69,-0.47,0.58,-1.3,0.1,,
Tahan,awal,40.13,10.68,4.74,-0.4,-0.27,-1.22,-0.87,39.25,29.65
Tahan,tengah,51.22,4.43,1.98,-1.08,-0.74,-0.47,-0.58,37.49,43.31
Tahan,akhir,53.5,3.7,1.92,-0.71,-0.26,-1.12,-0.9,22.95,28.66
Naik,pra-onset,51.11,4.06,2.18,-1.32,-0.71,-1.55,-0.97,,
Naik,awal,41.69,5.41,3.59,0.57,0.38,-1.17,-1.06,48.78,65.03
Naik,tengah,28.86,10.62,7.82,1.68,0.66,0.13,0.06,39.05,27.25
Naik,akhir,22.93,17.08,8.5,0.71,0.86,-0.28,1.42,11.55,6.68
Berdiri,pra-onset,23.37,15.56,8.7,0.06,1.65,-0.09,1.52,,
Berdiri,awal,33.11,12.83,5.16,0.64,0.41,-0.41,-0.35,36.74,20.11
Berdiri,tengah,54.97,5.27,1.92,-0.14,-0.29,0.19,0.15,35.24,39.06
Berdiri,akhir,67.4,0.87,-0.24,-0.75,-0.78,-0.7,-0.75,28.08,40.83
