participant_id,fase,bagian,pct_bersih_05dtk,delta_db,otot_db,mu_sm_db,mu_sm_t,beta_sm_db,beta_sm_t,n_rep_sm,porsi_E_semua,porsi_E_bersih
P08,Gerak,pra-onset,64.58,-1.73,-1.53,-0.02,-0.01,-1.33,-1.53,9,,
P08,Gerak,awal,54.78,5.14,-0.08,0.64,0.36,-1.49,-1.33,11,44.9,54.29
P08,Gerak,tengah,38.13,13.89,4.05,3.43,3.42,-0.61,-0.49,8,37.76,31.14
P08,Gerak,akhir,50.49,9.49,4.81,2.33,2.14,1.61,2.05,9,17.35,14.57
P08,Tahan,pra-onset,55.47,7.73,3.86,2.15,2.17,1.32,1.41,9,,
P08,Tahan,awal,63.19,4.55,2.32,-0.11,-0.1,-0.85,-0.76,10,38.02,34.3
P08,Tahan,tengah,66.31,1.11,1.89,-0.32,-0.36,-0.64,-0.74,11,36.36,37.84
P08,Tahan,akhir,67.8,0.14,1.33,0.25,0.23,-0.44,-0.45,12,25.62,27.87
P08,Naik,pra-onset,67.58,-0.43,1.12,-0.32,-0.19,-0.81,-0.64,11,,
P08,Naik,awal,60.49,2.04,2.7,-1.75,-1.57,-1.74,-1.52,11,52.46,74.26
P08,Naik,tengah,35.22,8.41,6.3,2.55,2.09,1.01,1.17,8,42.62,25.74
P08,Naik,akhir,24.54,16.7,7.3,3.31,2.09,3.62,1.65,3,4.92,0.0
P08,Berdiri,pra-onset,27.99,14.33,7.18,3.64,2.4,3.11,1.58,5,,
P08,Berdiri,awal,56.87,10.63,3.32,3.64,5.1,3.16,2.76,11,36.77,26.68
P08,Berdiri,tengah,75.67,2.56,1.15,1.8,1.85,1.78,1.81,12,35.16,42.53
P08,Berdiri,akhir,68.0,-0.5,-0.73,-1.02,-1.01,-0.35,-0.31,12,28.06,30.79
P09,Gerak,pra-onset,60.68,1.07,-0.2,-0.47,-0.53,-0.15,-0.12,9,,
P09,Gerak,awal,62.92,1.09,-0.22,-0.22,-0.27,-0.64,-0.76,9,42.97,71.43
P09,Gerak,tengah,27.38,7.82,5.73,3.55,2.29,2.14,1.05,5,38.28,20.07
P09,Gerak,akhir,27.34,10.89,6.36,-2.11,-1.2,-3.13,-2.05,8,18.75,8.5
P09,Tahan,pra-onset,30.86,7.42,5.5,-3.09,-1.02,-4.74,-1.88,7,,
P09,Tahan,awal,42.2,7.08,3.63,1.0,0.76,0.22,0.26,10,40.0,32.66
P09,Tahan,tengah,48.81,0.43,2.07,1.29,0.94,0.55,0.59,11,38.33,43.04
P09,Tahan,akhir,51.99,-0.76,0.98,1.19,1.14,-0.48,-0.38,9,21.67,24.3
P09,Naik,pra-onset,52.21,-2.61,0.39,0.19,0.13,-1.46,-0.78,9,,
P09,Naik,awal,39.99,1.57,0.78,1.44,1.0,-0.6,-0.6,8,44.86,61.56
P09,Naik,tengah,30.72,2.56,3.41,-0.39,-0.25,-1.6,-0.79,5,37.38,27.53
P09,Naik,akhir,25.45,9.38,6.0,1.84,0.86,1.15,1.42,5,17.76,10.91
P09,Berdiri,pra-onset,28.78,9.15,6.52,1.98,0.89,1.34,1.47,5,,
P09,Berdiri,awal,33.71,5.04,2.25,1.15,0.63,-0.57,-0.45,9,36.77,20.66
P09,Berdiri,tengah,56.59,2.4,-0.13,-1.84,-1.15,-1.62,-1.54,10,35.74,39.7
P09,Berdiri,akhir,69.03,1.2,0.06,-0.93,-0.94,-0.87,-0.95,10,27.49,39.64
P31,Gerak,pra-onset,69.84,3.19,-0.03,-1.19,-1.3,-0.93,-1.31,9,,
P31,Gerak,awal,43.45,11.22,4.47,3.11,2.7,0.73,0.83,8,44.44,54.96
P31,Gerak,tengah,28.29,17.36,7.16,1.3,,2.2,,2,38.38,30.79
P31,Gerak,akhir,30.15,17.81,7.4,4.52,4.08,1.52,7.0,5,17.17,14.25
P31,Tahan,pra-onset,30.94,17.58,7.88,4.38,4.06,1.44,2.53,5,,
P31,Tahan,awal,38.06,14.29,5.85,-0.7,-0.45,-1.58,-0.98,7,38.51,26.63
P31,Tahan,tengah,53.62,10.18,1.87,-1.85,-1.92,-0.31,-0.41,10,37.27,43.58
P31,Tahan,akhir,55.01,10.53,2.51,-2.7,-2.13,-1.96,-1.7,10,24.22,29.79
P31,Naik,pra-onset,50.0,11.4,3.24,-2.33,-1.53,-1.64,-2.03,7,,
P31,Naik,awal,43.39,11.15,4.48,-0.3,-0.24,-1.85,-2.33,6,53.7,67.65
P31,Naik,tengah,26.99,14.25,9.34,1.04,0.44,0.02,0.02,3,38.89,26.96
P31,Naik,akhir,21.33,17.46,9.7,-2.58,,-1.71,,2,7.41,5.39
P31,Berdiri,pra-onset,18.75,16.8,10.22,-2.3,,-1.52,,2,,
P31,Berdiri,awal,32.52,15.02,7.0,0.13,0.19,-0.24,-0.26,7,36.7,19.56
P31,Berdiri,tengah,53.36,7.98,2.69,-0.98,-1.18,0.06,0.08,10,35.21,38.42
P31,Berdiri,akhir,66.8,5.48,0.4,-0.0,-0.0,-0.89,-1.28,10,28.09,42.02
P32,Gerak,pra-onset,43.23,2.44,-0.04,-5.61,-3.28,-3.83,-2.11,6,,
P32,Gerak,awal,24.93,10.21,6.59,-2.03,-2.06,-0.92,-0.76,5,46.88,88.42
P32,Gerak,tengah,5.75,16.04,12.39,-7.0,,-3.86,,1,40.62,4.21
P32,Gerak,akhir,9.58,16.83,13.91,-3.59,-0.77,-1.94,-0.58,4,12.5,7.37
P32,Tahan,pra-onset,8.98,16.52,13.99,-5.51,-1.31,-3.91,-1.2,4,,
P32,Tahan,awal,20.71,14.73,11.39,-6.53,-1.53,-7.52,-1.91,7,42.62,26.07
P32,Tahan,tengah,33.64,7.76,6.96,-2.69,-1.11,-2.56,-1.26,8,37.7,44.48
P32,Tahan,akhir,40.39,7.25,5.61,-1.67,-0.76,-1.76,-1.36,9,19.67,29.45
P32,Naik,pra-onset,44.27,8.56,3.75,-3.19,-1.23,-1.79,-1.15,8,,
P32,Naik,awal,38.44,8.77,5.94,2.06,1.57,1.16,0.74,6,45.1,62.42
P32,Naik,tengah,25.39,12.82,9.8,2.31,0.87,0.23,0.1,6,39.22,29.62
P32,Naik,akhir,14.61,19.82,14.57,-0.42,-0.12,-4.64,-1.67,3,15.69,7.96
P32,Berdiri,pra-onset,14.97,19.77,14.21,-1.86,,-6.73,,2,,
P32,Berdiri,awal,18.85,15.31,11.68,-0.4,-0.26,-1.11,-0.65,6,36.11,14.42
P32,Berdiri,tengah,30.8,8.01,6.8,0.7,0.57,0.31,0.23,12,35.28,26.4
P32,Berdiri,akhir,59.7,0.55,-0.53,-0.57,-0.63,-0.53,-0.55,12,28.61,59.17
