fase,n_jendela,participant_id,skema,rep_lolos_R1
Berdiri,142,P08,TE,12
Gerak,25,P08,TE,10
Naik,24,P08,TE,9
Tahan,125,P08,TE,9
Berdiri,62,P08,TR,12
Gerak,25,P08,TR,10
Naik,24,P08,TR,9
Pasca-Naik,48,P08,TR,12
Pra-Gerak,48,P08,TR,10
Tahan,125,P08,TR,9
Berdiri,130,P09,TE,9
Gerak,31,P09,TE,9
Naik,24,P09,TE,9
Tahan,84,P09,TE,9
Berdiri,43,P09,TR,8
Gerak,31,P09,TR,9
Naik,24,P09,TR,9
Pasca-Naik,48,P09,TR,8
Pra-Gerak,48,P09,TR,8
Tahan,84,P09,TR,9
Berdiri,127,P31,TE,9
Gerak,24,P31,TE,10
Naik,20,P31,TE,10
Tahan,77,P31,TE,10
Berdiri,70,P31,TR,8
Gerak,24,P31,TR,10
Naik,20,P31,TR,10
Pasca-Naik,40,P31,TR,8
Pra-Gerak,40,P31,TR,10
Tahan,77,P31,TR,10
Berdiri,177,P32,TE,10
Gerak,27,P32,TE,8
Naik,25,P32,TE,11
Tahan,48,P32,TE,8
Berdiri,113,P32,TR,9
Gerak,27,P32,TR,8
Naik,25,P32,TR,11
Pasca-Naik,48,P32,TR,11
Pra-Gerak,48,P32,TR,10
Tahan,48,P32,TR,8
