participant_id,skema,fase,metode,pita,n_rep,rerata_db,t
P08,TE,Berdiri,M2b_relatif4,mu,12,-0.314,-1.03
P08,TE,Berdiri,M2b_relatif4,beta,12,-0.14,-0.517
P08,TE,Berdiri,M0_absolut,mu,12,-0.357,-0.528
P08,TE,Berdiri,M0_absolut,beta,12,-0.183,-0.312
P08,TE,Gerak,M2b_relatif4,mu,10,-0.866,-1.222
P08,TE,Gerak,M2b_relatif4,beta,10,-3.177,-6.168
P08,TE,Gerak,M0_absolut,mu,10,2.181,1.574
P08,TE,Gerak,M0_absolut,beta,10,-0.131,-0.12
P08,TE,Naik,M2b_relatif4,mu,9,-0.644,-1.144
P08,TE,Naik,M2b_relatif4,beta,9,-0.53,-1.297
P08,TE,Naik,M0_absolut,mu,9,1.359,1.162
P08,TE,Naik,M0_absolut,beta,9,1.473,1.218
P08,TE,Tahan,M2b_relatif4,mu,9,0.391,1.071
P08,TE,Tahan,M2b_relatif4,beta,9,-0.46,-1.571
P08,TE,Tahan,M0_absolut,mu,9,1.948,1.547
P08,TE,Tahan,M0_absolut,beta,9,1.098,1.159
P08,TR,Berdiri,M2b_relatif4,mu,12,-0.289,-0.647
P08,TR,Berdiri,M2b_relatif4,beta,12,-0.223,-0.824
P08,TR,Berdiri,M0_absolut,mu,12,0.462,0.605
P08,TR,Berdiri,M0_absolut,beta,12,0.527,0.784
P08,TR,Gerak,M2b_relatif4,mu,10,-0.866,-1.222
P08,TR,Gerak,M2b_relatif4,beta,10,-3.177,-6.168
P08,TR,Gerak,M0_absolut,mu,10,2.181,1.574
P08,TR,Gerak,M0_absolut,beta,10,-0.131,-0.12
P08,TR,Naik,M2b_relatif4,mu,9,-0.644,-1.144
P08,TR,Naik,M2b_relatif4,beta,9,-0.53,-1.297
P08,TR,Naik,M0_absolut,mu,9,1.359,1.162
P08,TR,Naik,M0_absolut,beta,9,1.473,1.218
P08,TR,Pasca-Naik,M2b_relatif4,mu,12,-0.394,-0.94
P08,TR,Pasca-Naik,M2b_relatif4,beta,12,-1.834,-4.174
P08,TR,Pasca-Naik,M0_absolut,mu,12,2.932,4.144
P08,TR,Pasca-Naik,M0_absolut,beta,12,1.492,2.605
P08,TR,Pra-Gerak,M2b_relatif4,mu,10,0.195,0.715
P08,TR,Pra-Gerak,M2b_relatif4,beta,10,-0.572,-1.292
P08,TR,Pra-Gerak,M0_absolut,mu,10,-2.099,-2.97
P08,TR,Pra-Gerak,M0_absolut,beta,10,-2.867,-3.97
P08,TR,Tahan,M2b_relatif4,mu,9,0.391,1.071
P08,TR,Tahan,M2b_relatif4,beta,9,-0.46,-1.571
P08,TR,Tahan,M0_absolut,mu,9,1.948,1.547
P08,TR,Tahan,M0_absolut,beta,9,1.098,1.159
P09,TE,Berdiri,M2b_relatif4,mu,9,-1.009,-3.558
P09,TE,Berdiri,M2b_relatif4,beta,9,-0.705,-1.522
P09,TE,Berdiri,M0_absolut,mu,9,-0.406,-0.491
P09,TE,Berdiri,M0_absolut,beta,9,-0.103,-0.141
P09,TE,Gerak,M2b_relatif4,mu,9,-0.6,-1.016
P09,TE,Gerak,M2b_relatif4,beta,9,-0.135,-0.232
P09,TE,Gerak,M0_absolut,mu,9,-1.269,-1.765
P09,TE,Gerak,M0_absolut,beta,9,-0.804,-1.563
P09,TE,Naik,M2b_relatif4,mu,9,0.019,0.017
P09,TE,Naik,M2b_relatif4,beta,9,-0.697,-0.964
P09,TE,Naik,M0_absolut,mu,9,2.273,1.553
P09,TE,Naik,M0_absolut,beta,9,1.556,1.3
P09,TE,Tahan,M2b_relatif4,mu,9,0.432,1.057
P09,TE,Tahan,M2b_relatif4,beta,9,-0.44,-0.844
P09,TE,Tahan,M0_absolut,mu,9,1.716,1.212
P09,TE,Tahan,M0_absolut,beta,9,0.843,0.836
P09,TR,Berdiri,M2b_relatif4,mu,8,-0.929,-1.728
P09,TR,Berdiri,M2b_relatif4,beta,8,-0.456,-0.712
P09,TR,Berdiri,M0_absolut,mu,8,0.033,0.028
P09,TR,Berdiri,M0_absolut,beta,8,0.506,0.418
P09,TR,Gerak,M2b_relatif4,mu,9,-0.6,-1.016
P09,TR,Gerak,M2b_relatif4,beta,9,-0.135,-0.232
P09,TR,Gerak,M0_absolut,mu,9,-1.269,-1.765
P09,TR,Gerak,M0_absolut,beta,9,-0.804,-1.563
P09,TR,Naik,M2b_relatif4,mu,9,0.019,0.017
P09,TR,Naik,M2b_relatif4,beta,9,-0.697,-0.964
P09,TR,Naik,M0_absolut,mu,9,2.273,1.553
P09,TR,Naik,M0_absolut,beta,9,1.556,1.3
P09,TR,Pasca-Naik,M2b_relatif4,mu,8,-0.333,-0.453
P09,TR,Pasca-Naik,M2b_relatif4,beta,8,-2.457,-3.276
P09,TR,Pasca-Naik,M0_absolut,mu,8,3.041,2.413
P09,TR,Pasca-Naik,M0_absolut,beta,8,0.917,0.882
P09,TR,Pra-Gerak,M2b_relatif4,mu,8,-0.676,-1.142
P09,TR,Pra-Gerak,M2b_relatif4,beta,8,0.843,1.694
P09,TR,Pra-Gerak,M0_absolut,mu,8,-0.987,-1.388
P09,TR,Pra-Gerak,M0_absolut,beta,8,0.532,1.016
P09,TR,Tahan,M2b_relatif4,mu,9,0.432,1.057
P09,TR,Tahan,M2b_relatif4,beta,9,-0.44,-0.844
P09,TR,Tahan,M0_absolut,mu,9,1.716,1.212
P09,TR,Tahan,M0_absolut,beta,9,0.843,0.836
P31,TE,Berdiri,M2b_relatif4,mu,9,-1.581,-2.833
P31,TE,Berdiri,M2b_relatif4,beta,9,-1.531,-3.342
P31,TE,Berdiri,M0_absolut,mu,9,-0.176,-0.215
P31,TE,Berdiri,M0_absolut,beta,9,-0.125,-0.167
P31,TE,Gerak,M2b_relatif4,mu,10,-1.076,-1.73
P31,TE,Gerak,M2b_relatif4,beta,10,-1.501,-3.217
P31,TE,Gerak,M0_absolut,mu,10,2.188,2.838
P31,TE,Gerak,M0_absolut,beta,10,1.763,3.545
P31,TE,Naik,M2b_relatif4,mu,10,-1.622,-2.806
P31,TE,Naik,M2b_relatif4,beta,10,-0.532,-1.131
P31,TE,Naik,M0_absolut,mu,10,0.694,1.149
P31,TE,Naik,M0_absolut,beta,10,1.785,1.605
P31,TE,Tahan,M2b_relatif4,mu,10,-1.202,-6.297
P31,TE,Tahan,M2b_relatif4,beta,10,-0.751,-1.663
P31,TE,Tahan,M0_absolut,mu,10,-1.024,-1.306
P31,TE,Tahan,M0_absolut,beta,10,-0.573,-0.678
P31,TR,Berdiri,M2b_relatif4,mu,8,-1.233,-3.168
P31,TR,Berdiri,M2b_relatif4,beta,8,-1.307,-3.398
P31,TR,Berdiri,M0_absolut,mu,8,0.2,0.187
P31,TR,Berdiri,M0_absolut,beta,8,0.126,0.146
P31,TR,Gerak,M2b_relatif4,mu,10,-1.076,-1.73
P31,TR,Gerak,M2b_relatif4,beta,10,-1.501,-3.217
P31,TR,Gerak,M0_absolut,mu,10,2.188,2.838
P31,TR,Gerak,M0_absolut,beta,10,1.763,3.545
P31,TR,Naik,M2b_relatif4,mu,10,-1.622,-2.806
P31,TR,Naik,M2b_relatif4,beta,10,-0.532,-1.131
P31,TR,Naik,M0_absolut,mu,10,0.694,1.149
P31,TR,Naik,M0_absolut,beta,10,1.785,1.605
P31,TR,Pasca-Naik,M2b_relatif4,mu,8,-2.237,-3.936
P31,TR,Pasca-Naik,M2b_relatif4,beta,8,-2.322,-3.431
P31,TR,Pasca-Naik,M0_absolut,mu,8,1.18,1.236
P31,TR,Pasca-Naik,M0_absolut,beta,8,1.095,1.378
P31,TR,Pra-Gerak,M2b_relatif4,mu,10,-1.515,-4.039
P31,TR,Pra-Gerak,M2b_relatif4,beta,10,-1.267,-3.718
P31,TR,Pra-Gerak,M0_absolut,mu,10,-1.477,-2.081
P31,TR,Pra-Gerak,M0_absolut,beta,10,-1.228,-2.009
P31,TR,Tahan,M2b_relatif4,mu,10,-1.202,-6.297
P31,TR,Tahan,M2b_relatif4,beta,10,-0.751,-1.663
P31,TR,Tahan,M0_absolut,mu,10,-1.024,-1.306
P31,TR,Tahan,M0_absolut,beta,10,-0.573,-0.678
P32,TE,Berdiri,M2b_relatif4,mu,10,-1.039,-7.917
P32,TE,Berdiri,M2b_relatif4,beta,10,-0.144,-0.608
P32,TE,Berdiri,M0_absolut,mu,10,-0.137,-0.206
P32,TE,Berdiri,M0_absolut,beta,10,0.758,1.074
P32,TE,Gerak,M2b_relatif4,mu,8,-1.227,-1.995
P32,TE,Gerak,M2b_relatif4,beta,8,-1.555,-3.564
P32,TE,Gerak,M0_absolut,mu,8,2.845,3.896
P32,TE,Gerak,M0_absolut,beta,8,2.518,4.08
P32,TE,Naik,M2b_relatif4,mu,11,-1.502,-2.658
P32,TE,Naik,M2b_relatif4,beta,11,-1.02,-2.911
P32,TE,Naik,M0_absolut,mu,11,1.679,2.107
P32,TE,Naik,M0_absolut,beta,11,2.161,2.224
P32,TE,Tahan,M2b_relatif4,mu,8,-1.392,-3.125
P32,TE,Tahan,M2b_relatif4,beta,8,-0.14,-0.292
P32,TE,Tahan,M0_absolut,mu,8,3.711,3.515
P32,TE,Tahan,M0_absolut,beta,8,4.963,4.922
P32,TR,Berdiri,M2b_relatif4,mu,9,-1.613,-5.801
P32,TR,Berdiri,M2b_relatif4,beta,9,-0.274,-0.727
P32,TR,Berdiri,M0_absolut,mu,9,1.547,1.812
P32,TR,Berdiri,M0_absolut,beta,9,2.886,3.629
P32,TR,Gerak,M2b_relatif4,mu,8,-1.227,-1.995
P32,TR,Gerak,M2b_relatif4,beta,8,-1.555,-3.564
P32,TR,Gerak,M0_absolut,mu,8,2.845,3.896
P32,TR,Gerak,M0_absolut,beta,8,2.518,4.08
P32,TR,Naik,M2b_relatif4,mu,11,-1.502,-2.658
P32,TR,Naik,M2b_relatif4,beta,11,-1.02,-2.911
P32,TR,Naik,M0_absolut,mu,11,1.679,2.107
P32,TR,Naik,M0_absolut,beta,11,2.161,2.224
P32,TR,Pasca-Naik,M2b_relatif4,mu,11,-0.738,-1.16
P32,TR,Pasca-Naik,M2b_relatif4,beta,11,-0.608,-3.041
P32,TR,Pasca-Naik,M0_absolut,mu,11,6.096,6.437
P32,TR,Pasca-Naik,M0_absolut,beta,11,6.227,11.004
P32,TR,Pra-Gerak,M2b_relatif4,mu,10,-2.084,-4.822
P32,TR,Pra-Gerak,M2b_relatif4,beta,10,-0.521,-1.283
P32,TR,Pra-Gerak,M0_absolut,mu,10,-1.863,-1.405
P32,TR,Pra-Gerak,M0_absolut,beta,10,-0.299,-0.291
P32,TR,Tahan,M2b_relatif4,mu,8,-1.392,-3.125
P32,TR,Tahan,M2b_relatif4,beta,8,-0.14,-0.292
P32,TR,Tahan,M0_absolut,mu,8,3.711,3.515
P32,TR,Tahan,M0_absolut,beta,8,4.963,4.922
