fase,n_jendela,participant_id,skema,rep_lolos_R1
Berdiri,145,P08,TE,11
Gerak,25,P08,TE,12
Naik,24,P08,TE,11
Tahan,122,P08,TE,10
Berdiri,61,P08,TR,12
Gerak,25,P08,TR,12
Naik,24,P08,TR,11
Pasca-Naik,48,P08,TR,12
Pra-Gerak,48,P08,TR,9
Tahan,122,P08,TR,10
Berdiri,130,P09,TE,9
Gerak,29,P09,TE,9
Naik,24,P09,TE,5
Tahan,85,P09,TE,8
Berdiri,44,P09,TR,9
Gerak,29,P09,TR,9
Naik,24,P09,TR,5
Pasca-Naik,48,P09,TR,10
Pra-Gerak,48,P09,TR,8
Tahan,85,P09,TR,8
Berdiri,126,P31,TE,10
Gerak,23,P31,TE,8
Naik,20,P31,TE,8
Tahan,80,P31,TE,10
Berdiri,69,P31,TR,9
Gerak,23,P31,TR,8
Naik,20,P31,TR,8
Pasca-Naik,40,P31,TR,10
Pra-Gerak,40,P31,TR,9
Tahan,80,P31,TR,10
Berdiri,178,P32,TE,10
Gerak,28,P32,TE,7
Naik,24,P32,TE,12
Tahan,49,P32,TE,10
Berdiri,111,P32,TR,11
Gerak,28,P32,TR,7
Naik,24,P32,TR,12
Pasca-Naik,48,P32,TR,9
Pra-Gerak,48,P32,TR,10
Tahan,49,P32,TR,10
