participant_id,skema,fase,metode,pita,n_rep,rerata_db,t
P08,TE,Berdiri,M2b_relatif4,mu,11,0.09,0.49
P08,TE,Berdiri,M2b_relatif4,beta,11,-0.251,-0.869
P08,TE,Berdiri,M0_absolut,mu,11,-0.566,-0.692
P08,TE,Berdiri,M0_absolut,beta,11,-0.907,-1.119
P08,TE,Gerak,M2b_relatif4,mu,12,-0.675,-1.489
P08,TE,Gerak,M2b_relatif4,beta,12,-2.969,-5.853
P08,TE,Gerak,M0_absolut,mu,12,7.173,5.124
P08,TE,Gerak,M0_absolut,beta,12,4.88,3.841
P08,TE,Naik,M2b_relatif4,mu,11,-2.42,-3.036
P08,TE,Naik,M2b_relatif4,beta,11,-2.752,-4.67
P08,TE,Naik,M0_absolut,mu,11,4.544,3.071
P08,TE,Naik,M0_absolut,beta,11,4.212,3.937
P08,TE,Tahan,M2b_relatif4,mu,10,0.405,1.366
P08,TE,Tahan,M2b_relatif4,beta,10,-0.837,-2.308
P08,TE,Tahan,M0_absolut,mu,10,3.022,2.84
P08,TE,Tahan,M0_absolut,beta,10,1.78,1.846
P08,TR,Berdiri,M2b_relatif4,mu,12,-0.054,-0.276
P08,TR,Berdiri,M2b_relatif4,beta,12,0.089,0.449
P08,TR,Berdiri,M0_absolut,mu,12,-0.963,-1.269
P08,TR,Berdiri,M0_absolut,beta,12,-0.82,-0.984
P08,TR,Gerak,M2b_relatif4,mu,12,-0.675,-1.489
P08,TR,Gerak,M2b_relatif4,beta,12,-2.969,-5.853
P08,TR,Gerak,M0_absolut,mu,12,7.173,5.124
P08,TR,Gerak,M0_absolut,beta,12,4.88,3.841
P08,TR,Naik,M2b_relatif4,mu,11,-2.42,-3.036
P08,TR,Naik,M2b_relatif4,beta,11,-2.752,-4.67
P08,TR,Naik,M0_absolut,mu,11,4.544,3.071
P08,TR,Naik,M0_absolut,beta,11,4.212,3.937
P08,TR,Pasca-Naik,M2b_relatif4,mu,12,-0.938,-2.795
P08,TR,Pasca-Naik,M2b_relatif4,beta,12,-0.765,-1.624
P08,TR,Pasca-Naik,M0_absolut,mu,12,0.813,0.731
P08,TR,Pasca-Naik,M0_absolut,beta,12,0.986,1.085
P08,TR,Pra-Gerak,M2b_relatif4,mu,9,-0.013,-0.021
P08,TR,Pra-Gerak,M2b_relatif4,beta,9,-2.456,-4.765
P08,TR,Pra-Gerak,M0_absolut,mu,9,2.093,1.767
P08,TR,Pra-Gerak,M0_absolut,beta,9,-0.35,-0.291
P08,TR,Tahan,M2b_relatif4,mu,10,0.405,1.366
P08,TR,Tahan,M2b_relatif4,beta,10,-0.837,-2.308
P08,TR,Tahan,M0_absolut,mu,10,3.022,2.84
P08,TR,Tahan,M0_absolut,beta,10,1.78,1.846
P09,TE,Berdiri,M2b_relatif4,mu,9,-0.527,-1.848
P09,TE,Berdiri,M2b_relatif4,beta,9,0.205,0.548
P09,TE,Berdiri,M0_absolut,mu,9,-0.703,-1.053
P09,TE,Berdiri,M0_absolut,beta,9,0.03,0.058
P09,TE,Gerak,M2b_relatif4,mu,9,-0.731,-0.849
P09,TE,Gerak,M2b_relatif4,beta,9,-1.717,-3.96
P09,TE,Gerak,M0_absolut,mu,9,3.77,1.959
P09,TE,Gerak,M0_absolut,beta,9,2.785,1.235
P09,TE,Naik,M2b_relatif4,mu,5,-0.337,-0.54
P09,TE,Naik,M2b_relatif4,beta,5,-0.651,-0.501
P09,TE,Naik,M0_absolut,mu,5,6.238,5.453
P09,TE,Naik,M0_absolut,beta,5,5.924,3.057
P09,TE,Tahan,M2b_relatif4,mu,8,0.532,1.578
P09,TE,Tahan,M2b_relatif4,beta,8,-0.607,-1.093
P09,TE,Tahan,M0_absolut,mu,8,2.38,1.645
P09,TE,Tahan,M0_absolut,beta,8,1.241,1.371
