participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua
P08,B,Gerak,12,100.0,0.51,24.0,3.0,2.0,43.8,1.66,0.45
P08,B,Tahan,12,100.0,0.25,33.9,6.0,4.0,81.2,1.5,0.71
P08,B,Naik,12,100.0,0.69,26.0,4.5,3.0,81.2,1.79,0.72
P08,B,Berdiri,12,100.0,0.21,12.0,1.5,1.0,18.8,1.46,0.74
P08,E,Gerak,12,100.0,0.89,29.2,13.0,8.0,100.0,1.55,0.86
P08,E,Tahan,12,100.0,0.96,55.3,45.1,12.0,100.0,0.92,0.97
P08,E,Naik,12,100.0,0.87,28.3,8.6,7.0,100.0,1.56,0.83
P08,E,Berdiri,12,100.0,0.97,57.2,64.0,12.0,100.0,0.9,0.92
P09,B,Gerak,12,100.0,0.4,45.3,9.0,6.0,87.5,1.13,0.69
P09,B,Tahan,12,100.0,0.33,19.8,3.8,2.5,50.0,1.95,0.18
P09,B,Naik,12,100.0,0.47,29.2,6.0,4.0,75.0,1.33,0.39
P09,B,Berdiri,12,100.0,0.22,16.7,3.0,2.0,37.5,1.81,-0.27
P09,E,Gerak,12,100.0,0.94,28.6,18.2,9.0,93.8,1.05,0.65
P09,E,Tahan,12,100.0,0.95,36.2,24.0,9.0,100.0,1.16,0.7
P09,E,Naik,12,100.0,0.91,20.5,9.8,6.0,100.0,1.76,0.4
P09,E,Berdiri,12,100.0,0.96,40.8,41.6,11.0,100.0,1.01,0.71
P31,B,Gerak,10,100.0,0.46,25.6,3.0,2.0,50.0,1.8,0.58
P31,B,Tahan,10,100.0,0.32,17.5,0.8,0.5,37.5,1.46,-0.29
P31,B,Naik,10,90.0,0.71,22.9,1.5,1.0,37.5,1.37,-0.38
P31,B,Berdiri,10,100.0,0.19,6.9,0.0,0.0,6.2,1.35,
P31,E,Gerak,10,100.0,0.93,24.1,10.1,6.0,75.0,1.26,0.94
P31,E,Tahan,10,100.0,0.95,37.0,22.0,7.0,100.0,1.3,0.89
P31,E,Naik,10,100.0,0.88,23.0,3.8,2.5,50.0,1.57,-0.4
P31,E,Berdiri,10,100.0,0.97,39.9,35.6,8.0,100.0,1.05,0.89
P32,B,Gerak,12,100.0,0.62,6.8,1.5,1.0,0.0,,
P32,B,Tahan,12,91.7,0.4,2.8,0.0,0.0,0.0,,
P32,B,Naik,12,100.0,0.51,20.8,3.0,2.0,43.8,1.28,0.71
P32,B,Berdiri,12,100.0,0.18,7.3,1.5,1.0,0.0,,
P32,E,Gerak,12,100.0,0.88,4.8,2.5,2.0,37.5,1.64,0.74
P32,E,Tahan,12,100.0,0.95,17.4,8.5,4.0,81.2,1.71,0.57
P32,E,Naik,12,100.0,0.9,19.4,8.0,5.0,100.0,1.63,0.14
P32,E,Berdiri,12,100.0,0.97,25.2,32.2,11.0,100.0,0.89,0.86
