metode,gerakan,rep,fase,kanal,theta_db,mu_db,beta_db,n_potongan,participant_id
B,Agem Kanan,1,Berdiri,F4,16.129,12.723,9.31,1,P08
B,Agem Kanan,1,Berdiri,T5,7.124,4.954,4.328,1,P08
B,Agem Kanan,1,Gerak,F3,-1.445,-3.707,-1.039,1,P08
B,Agem Kanan,1,Gerak,F8,-1.603,2.747,4.296,1,P08
B,Agem Kanan,1,Gerak,Fp2,2.672,2.644,6.715,1,P08
B,Agem Kanan,1,Gerak,T4,3.097,2.231,6.118,1,P08
B,Agem Kanan,1,Tahan,F4,11.205,11.895,11.713,1,P08
B,Agem Kanan,1,Tahan,O2,18.684,12.608,10.893,1,P08
B,Agem Kanan,2,Berdiri,C4,5.421,4.784,0.05,1,P08
B,Agem Kanan,2,Naik,Fp1,5.154,0.913,4.195,1,P08
B,Agem Kanan,2,Tahan,C3,3.253,1.502,1.638,1,P08
B,Agem Kanan,2,Tahan,F3,1.511,2.127,0.874,1,P08
B,Agem Kanan,2,Tahan,P3,2.052,1.501,2.024,1,P08
B,Agem Kanan,3,Gerak,F4,4.314,0.646,0.621,1,P08
B,Agem Kanan,3,Gerak,T5,8.096,1.822,0.082,1,P08
B,Agem Kanan,3,Naik,T5,-2.681,-2.535,-1.357,1,P08
B,Agem Kanan,3,Tahan,F3,-5.394,-7.037,-8.419,1,P08
B,Agem Kanan,3,Tahan,O1,-1.203,-3.459,-5.244,1,P08
B,Agem Kanan,4,Gerak,T5,8.992,4.472,-0.971,1,P08
B,Agem Kanan,4,Tahan,C3,1.161,2.361,0.424,1,P08
B,Agem Kanan,4,Tahan,C4,10.43,6.484,8.432,1,P08
B,Agem Kanan,4,Tahan,F7,-2.807,0.049,-1.568,1,P08
B,Agem Kanan,4,Tahan,Fp1,-4.688,-2.083,-4.626,1,P08
B,Agem Kanan,4,Tahan,P3,3.947,3.56,0.248,1,P08
B,Agem Kanan,4,Tahan,T5,9.883,5.198,1.788,1,P08
B,Agem Kiri,1,Gerak,C4,-1.648,10.506,-1.132,1,P08
B,Agem Kiri,1,Gerak,F4,7.98,12.905,4.305,1,P08
B,Agem Kiri,1,Gerak,P4,3.907,5.403,0.206,1,P08
B,Agem Kiri,1,Gerak,T4,10.738,14.073,4.948,1,P08
B,Agem Kiri,1,Gerak,T5,10.528,11.925,0.993,1,P08
B,Agem Kiri,1,Naik,F4,9.321,6.931,5.804,1,P08
B,Agem Kiri,1,Naik,O2,10.448,12.611,9.052,1,P08
B,Agem Kiri,1,Naik,P3,-3.617,0.69,-0.476,1,P08
B,Agem Kiri,1,Naik,T5,0.362,2.531,0.538,1,P08
B,Agem Kiri,1,Tahan,F7,-2.589,-3.188,-2.851,1,P08
B,Agem Kiri,1,Tahan,F8,9.414,5.972,5.633,1,P08
B,Agem Kiri,1,Tahan,O1,0.288,0.727,0.694,1,P08
B,Agem Kiri,2,Berdiri,C4,4.159,5.67,6.394,1,P08
B,Agem Kiri,2,Berdiri,P4,9.304,4.34,-0.303,1,P08
B,Agem Kiri,2,Gerak,C4,6.625,4.902,-2.333,1,P08
B,Agem Kiri,2,Gerak,F8,12.068,6.659,4.13,1,P08
B,Agem Kiri,2,Gerak,O2,10.075,12.18,6.353,1,P08
B,Agem Kiri,2,Gerak,P4,5.459,-0.916,-3.314,1,P08
B,Agem Kiri,2,Gerak,T4,12.506,10.752,8.536,1,P08
B,Agem Kiri,2,Gerak,T6,-2.416,-3.923,-8.154,1,P08
B,Agem Kiri,2,Naik,C3,-1.13,0.568,0.707,1,P08
B,Agem Kiri,2,Naik,P3,-7.534,-3.493,-5.789,1,P08
B,Agem Kiri,2,Tahan,F4,10.083,11.558,12.923,1,P08
B,Agem Kiri,2,Tahan,F7,-1.258,-3.0,-0.356,1,P08
B,Agem Kiri,2,Tahan,O1,-0.193,3.679,3.879,1,P08
B,Agem Kiri,2,Tahan,O2,9.137,11.349,12.088,1,P08
B,Agem Kiri,2,Tahan,T3,-2.883,-3.513,-2.32,1,P08
B,Agem Kiri,3,Berdiri,T5,17.212,14.347,7.037,1,P08
B,Agem Kiri,3,Naik,F7,-3.412,-5.674,-2.866,1,P08
B,Agem Kiri,3,Naik,T3,-4.922,-5.337,-3.054,1,P08
B,Agem Kiri,3,Tahan,C3,5.549,2.24,1.893,1,P08
B,Agem Kiri,3,Tahan,Fp1,5.407,-2.584,0.6,1,P08
B,Agem Kiri,3,Tahan,P3,4.45,0.994,0.895,1,P08
B,Agem Kiri,3,Tahan,T5,11.538,2.565,1.783,1,P08
B,Agem Kiri,4,Gerak,P4,8.542,9.573,5.263,1,P08
B,Agem Kiri,4,Naik,C3,-1.725,-2.683,-2.117,1,P08
B,Agem Kiri,4,Naik,C4,5.97,3.122,3.474,1,P08
B,Agem Kiri,4,Naik,F7,-4.873,-4.925,-3.128,1,P08
B,Agem Kiri,4,Naik,P3,-3.909,-4.32,-4.019,1,P08
B,Agem Kiri,4,Naik,P4,9.375,6.028,5.328,1,P08
B,Agem Kiri,4,Naik,T3,-6.339,-5.129,-4.679,1,P08
B,Agem Kiri,4,Naik,T5,8.469,8.561,5.5,1,P08
B,Agem Kiri,4,Tahan,C3,0.431,-1.462,-3.511,1,P08
B,Agem Kiri,4,Tahan,F3,-1.127,-2.753,-0.773,1,P08
B,Agem Kiri,4,Tahan,F4,11.342,11.792,9.398,1,P08
B,Agem Kiri,4,Tahan,P3,-2.709,-4.251,-8.154,1,P08
B,Agem Kiri,4,Tahan,T6,4.497,5.877,-0.34,1,P08
B,Ngeed,1,Berdiri,C3,1.646,3.033,0.774,1,P08
B,Ngeed,1,Berdiri,F3,2.429,4.309,1.288,1,P08
B,Ngeed,1,Berdiri,F4,10.652,10.967,6.499,1,P08
B,Ngeed,1,Berdiri,F8,10.465,6.609,4.38,1,P08
B,Ngeed,1,Berdiri,P3,2.11,2.42,0.249,1,P08
B,Ngeed,1,Berdiri,T4,11.509,6.358,6.876,1,P08
B,Ngeed,1,Berdiri,T6,4.956,-0.711,-2.418,1,P08
B,Ngeed,1,Gerak,C3,2.989,5.653,1.915,1,P08
B,Ngeed,1,Gerak,F8,2.328,3.129,-0.395,1,P08
B,Ngeed,1,Gerak,Fp2,2.194,6.152,4.008,1,P08
B,Ngeed,1,Gerak,P3,0.831,1.97,-0.221,1,P08
B,Ngeed,1,Gerak,T4,2.581,3.813,2.133,1,P08
B,Ngeed,1,Naik,C3,1.92,-5.052,-1.202,1,P08
B,Ngeed,1,Naik,F3,4.503,-1.128,1.213,1,P08
B,Ngeed,1,Naik,Fp2,4.512,1.225,4.7,1,P08
B,Ngeed,1,Naik,T4,0.953,-1.322,1.882,1,P08
B,Ngeed,1,Tahan,C4,-2.244,-2.031,-1.299,1,P08
B,Ngeed,1,Tahan,F4,6.308,0.934,1.563,1,P08
B,Ngeed,1,Tahan,F8,1.958,-2.48,0.338,1,P08
B,Ngeed,1,Tahan,O2,17.954,16.556,12.14,1,P08
B,Ngeed,1,Tahan,P4,4.751,2.445,0.238,1,P08
B,Ngeed,1,Tahan,T4,5.684,0.146,1.015,1,P08
B,Ngeed,1,Tahan,T5,-2.987,-3.262,-2.242,1,P08
B,Ngeed,1,Tahan,T6,-0.501,-11.322,-7.881,1,P08
B,Ngeed,2,Berdiri,F8,2.078,3.745,5.641,1,P08
B,Ngeed,2,Berdiri,T4,4.502,8.679,7.493,1,P08
B,Ngeed,2,Gerak,C3,-0.343,-3.2,-5.344,1,P08
B,Ngeed,2,Gerak,F3,5.452,3.014,-0.879,1,P08
B,Ngeed,2,Gerak,F7,7.043,4.242,0.379,1,P08
B,Ngeed,2,Gerak,F8,-0.266,-8.387,-6.185,1,P08
B,Ngeed,2,Gerak,Fp1,4.428,3.391,1.008,1,P08
B,Ngeed,2,Gerak,Fp2,5.604,-0.447,-0.751,1,P08
B,Ngeed,2,Gerak,T3,6.312,4.906,0.483,1,P08
B,Ngeed,2,Gerak,T4,4.308,-1.366,1.271,1,P08
B,Ngeed,2,Naik,Fp2,2.362,7.824,6.634,1,P08
B,Ngeed,2,Naik,T4,1.271,6.197,5.096,1,P08
B,Ngeed,2,Tahan,F4,9.054,10.756,6.626,1,P08
B,Ngeed,2,Tahan,F8,11.087,5.5,5.486,1,P08
B,Ngeed,2,Tahan,Fp1,-6.373,-6.472,-3.242,1,P08
B,Ngeed,2,Tahan,O2,14.693,13.672,9.003,1,P08
B,Ngeed,2,Tahan,P3,0.61,4.53,2.494,1,P08
B,Ngeed,2,Tahan,T4,10.594,8.421,9.511,1,P08
B,Ngeed,2,Tahan,T5,2.171,4.387,4.59,1,P08
