participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua
P08,B,Gerak,12,100.0,0.51,24.0,0.87,3.0,2.0,43.8,1.66,0.45
P08,B,Tahan,12,100.0,0.25,33.9,4.97,6.0,4.0,81.2,1.5,0.71
P08,B,Naik,12,100.0,0.69,26.0,2.64,4.5,3.0,81.2,1.79,0.72
P08,B,Berdiri,12,100.0,0.21,12.0,5.92,1.5,1.0,18.8,1.46,0.74
P08,T,Gerak,12,100.0,0.51,24.0,0.87,3.0,2.0,43.8,1.66,0.45
P08,T,Tahan,12,100.0,0.25,48.4,1.88,8.2,5.5,100.0,1.42,0.73
P08,T,Naik,12,100.0,0.69,26.0,2.64,4.5,3.0,81.2,1.79,0.72
P08,T,Berdiri,12,100.0,0.21,58.3,-0.07,10.5,7.0,93.8,1.32,0.42
P08,TE,Gerak,12,100.0,0.43,40.5,-0.14,6.6,6.0,100.0,1.74,0.82
P08,TE,Tahan,12,100.0,0.57,58.9,1.14,26.9,10.0,100.0,1.07,0.85
P08,TE,Naik,12,100.0,0.57,44.5,0.68,7.8,7.0,100.0,1.65,0.8
P08,TE,Berdiri,12,100.0,0.51,66.2,1.0,35.8,10.5,100.0,1.12,0.76
P08,E,Gerak,12,100.0,0.89,29.2,2.78,13.0,8.0,100.0,1.55,0.86
P08,E,Tahan,12,100.0,0.96,55.3,1.53,45.1,12.0,100.0,0.92,0.97
P08,E,Naik,12,100.0,0.87,28.3,4.35,8.6,7.0,100.0,1.56,0.83
P08,E,Berdiri,12,100.0,0.97,57.2,1.87,64.0,12.0,100.0,0.9,0.92
P09,B,Gerak,12,100.0,0.4,45.3,0.43,9.0,6.0,87.5,1.13,0.69
P09,B,Tahan,12,100.0,0.33,19.8,5.53,3.8,2.5,50.0,1.95,0.18
P09,B,Naik,12,100.0,0.47,29.2,1.33,6.0,4.0,75.0,1.33,0.39
P09,B,Berdiri,12,100.0,0.22,16.7,5.28,3.0,2.0,37.5,1.81,-0.27
P09,T,Gerak,12,100.0,0.4,45.3,0.43,9.0,6.0,87.5,1.13,0.69
P09,T,Tahan,12,100.0,0.33,35.4,2.93,6.8,4.5,81.2,1.69,0.39
P09,T,Naik,12,100.0,0.47,29.2,1.33,6.0,4.0,75.0,1.33,0.39
P09,T,Berdiri,12,100.0,0.22,48.4,0.78,10.5,7.0,81.2,1.11,0.71
P09,TE,Gerak,12,100.0,0.38,56.5,-0.33,11.2,8.0,93.8,1.38,0.46
P09,TE,Tahan,12,100.0,0.54,39.1,1.8,14.1,7.0,100.0,1.39,0.5
P09,TE,Naik,12,100.0,0.39,33.1,1.36,5.9,5.0,87.5,1.98,0.29
P09,TE,Berdiri,12,100.0,0.5,51.8,0.4,26.4,9.5,100.0,1.12,0.48
P09,E,Gerak,12,100.0,0.94,28.6,3.37,18.2,9.0,93.8,1.05,0.65
P09,E,Tahan,12,100.0,0.95,36.2,2.76,24.0,9.0,100.0,1.16,0.7
P09,E,Naik,12,100.0,0.91,20.5,4.19,9.8,6.0,100.0,1.76,0.4
P09,E,Berdiri,12,100.0,0.96,40.8,1.21,41.6,11.0,100.0,1.01,0.71
P31,B,Gerak,10,100.0,0.46,25.6,5.87,3.0,2.0,50.0,1.8,0.58
P31,B,Tahan,10,100.0,0.32,17.5,8.51,0.8,0.5,37.5,1.46,-0.29
P31,B,Naik,10,90.0,0.71,22.9,5.68,1.5,1.0,37.5,1.37,-0.38
P31,B,Berdiri,10,100.0,0.19,6.9,11.44,0.0,0.0,6.2,1.35,
P31,T,Gerak,10,100.0,0.46,25.6,5.87,3.0,2.0,50.0,1.8,0.58
P31,T,Tahan,10,100.0,0.32,35.0,2.38,4.5,3.0,50.0,1.04,-0.68
P31,T,Naik,10,90.0,0.71,22.9,5.68,1.5,1.0,37.5,1.37,-0.38
P31,T,Berdiri,10,100.0,0.19,51.9,0.2,7.5,5.0,93.8,1.28,0.88
P31,TE,Gerak,10,100.0,0.41,31.0,3.59,4.8,4.0,68.8,1.87,0.81
P31,TE,Tahan,10,100.0,0.54,44.4,2.41,13.5,6.5,100.0,1.55,0.73
