participant_id,grup,fase,pita,n,rerata,ci_bawah,ci_atas,t,p
P08,penari,Berdiri,mu,12,-0.2886,-1.2704,0.6932,-0.6469,0.5309
P08,penari,Berdiri,beta,12,-0.2233,-0.8203,0.3737,-0.8233,0.4278
P08,penari,Gerak,mu,10,-0.8657,-2.468,0.7366,-1.2222,0.2527
P08,penari,Gerak,beta,10,-3.1774,-4.3426,-2.0123,-6.169,0.0002
P08,penari,Naik,mu,9,-0.6443,-1.9432,0.6546,-1.1438,0.2858
P08,penari,Naik,beta,9,-0.5302,-1.4729,0.4124,-1.2971,0.2308
P08,penari,Pasca-Naik,mu,12,-0.3938,-1.3157,0.528,-0.9403,0.3673
P08,penari,Pasca-Naik,beta,12,-1.8338,-2.8008,-0.8669,-4.1742,0.0016
P08,penari,Pra-Gerak,mu,10,0.1954,-0.4229,0.8136,0.7148,0.4929
P08,penari,Pra-Gerak,beta,10,-0.5724,-1.575,0.4302,-1.2915,0.2287
P08,penari,Tahan,mu,9,0.3909,-0.4508,1.2326,1.0709,0.3155
P08,penari,Tahan,beta,9,-0.46,-1.1354,0.2154,-1.5707,0.1549
P09,penari,Berdiri,mu,8,-0.9292,-2.2011,0.3426,-1.7277,0.1277
P09,penari,Berdiri,beta,8,-0.4559,-1.9697,1.0579,-0.7121,0.4994
P09,penari,Gerak,mu,9,-0.6003,-1.963,0.7624,-1.0158,0.3395
P09,penari,Gerak,beta,9,-0.1355,-1.4818,1.2108,-0.2321,0.8223
P09,penari,Naik,mu,9,0.0192,-2.5925,2.6308,0.0169,0.9869
P09,penari,Naik,beta,9,-0.6973,-2.365,0.9704,-0.9641,0.3632
P09,penari,Pasca-Naik,mu,8,-0.3332,-2.0732,1.4067,-0.4529,0.6643
P09,penari,Pasca-Naik,beta,8,-2.4569,-4.2302,-0.6835,-3.276,0.0136
P09,penari,Pra-Gerak,mu,8,-0.6756,-2.0747,0.7235,-1.1419,0.2911
P09,penari,Pra-Gerak,beta,8,0.8434,-0.3342,2.0209,1.6936,0.1342
P09,penari,Tahan,mu,9,0.4321,-0.5103,1.3744,1.0573,0.3212
P09,penari,Tahan,beta,9,-0.4404,-1.6432,0.7625,-0.8443,0.423
P31,non-penari,Berdiri,mu,8,-1.2334,-2.1537,-0.3131,-3.1691,0.0157
P31,non-penari,Berdiri,beta,8,-1.3069,-2.2163,-0.3974,-3.3979,0.0115
P31,non-penari,Gerak,mu,10,-1.0756,-2.482,0.3307,-1.7302,0.1176
P31,non-penari,Gerak,beta,10,-1.5012,-2.5566,-0.4457,-3.2175,0.0105
P31,non-penari,Naik,mu,10,-1.6224,-2.9307,-0.3142,-2.8055,0.0205
P31,non-penari,Naik,beta,10,-0.5317,-1.595,0.5317,-1.1311,0.2873
P31,non-penari,Pasca-Naik,mu,8,-2.2368,-3.5806,-0.893,-3.9359,0.0056
P31,non-penari,Pasca-Naik,beta,8,-2.3221,-3.9227,-0.7216,-3.4307,0.011
P31,non-penari,Pra-Gerak,mu,10,-1.5153,-2.3639,-0.6667,-4.0395,0.0029
P31,non-penari,Pra-Gerak,beta,10,-1.267,-2.0378,-0.4963,-3.7187,0.0048
P31,non-penari,Tahan,mu,10,-1.2024,-1.6343,-0.7705,-6.298,0.0001
P31,non-penari,Tahan,beta,10,-0.7511,-1.7728,0.2706,-1.663,0.1307
P32,non-penari,Berdiri,mu,9,-1.6136,-2.2551,-0.9721,-5.8005,0.0004
P32,non-penari,Berdiri,beta,9,-0.2742,-1.1431,0.5947,-0.7276,0.4876
P32,non-penari,Gerak,mu,8,-1.2274,-2.6822,0.2274,-1.995,0.0863
P32,non-penari,Gerak,beta,8,-1.5548,-2.5862,-0.5233,-3.5643,0.0092
P32,non-penari,Naik,mu,11,-1.5022,-2.7614,-0.2429,-2.658,0.024
P32,non-penari,Naik,beta,11,-1.0203,-1.801,-0.2395,-2.9116,0.0155
P32,non-penari,Pasca-Naik,mu,11,-0.738,-2.1556,0.6797,-1.1598,0.2731
P32,non-penari,Pasca-Naik,beta,11,-0.6077,-1.0529,-0.1624,-3.041,0.0124
P32,non-penari,Pra-Gerak,mu,10,-2.0836,-3.0612,-1.1061,-4.8217,0.0009
P32,non-penari,Pra-Gerak,beta,10,-0.5206,-1.4388,0.3976,-1.2826,0.2317
P32,non-penari,Tahan,mu,8,-1.3919,-2.4451,-0.3386,-3.1248,0.0167
P32,non-penari,Tahan,beta,8,-0.1396,-1.2723,0.9932,-0.2913,0.7792
