participant_id,grup,fase,pita,n,rerata,ci_bawah,ci_atas,t,p
P08,penari,Gerak,mu,4,-4.0848,-15.6898,7.5203,-1.1202,0.3442
P08,penari,Gerak,beta,4,-0.3575,-16.7876,16.0726,-0.0692,0.9492
P08,penari,Tahan,mu,2,-8.182,-24.4586,8.0946,-6.3872,0.0989
P08,penari,Tahan,beta,2,-7.5475,-31.9244,16.8294,-3.9341,0.1585
P09,penari,Gerak,mu,5,-0.7736,-8.7122,7.165,-0.2706,0.8001
P09,penari,Gerak,beta,5,0.0784,-2.2891,2.4459,0.0919,0.9312
P09,penari,Tahan,mu,5,-4.4126,-7.1635,-1.6617,-4.4535,0.0112
P09,penari,Tahan,beta,5,-1.515,-4.6611,1.6311,-1.337,0.2522
P31,non-penari,Gerak,mu,6,-0.5332,-4.2835,3.2171,-0.3654,0.7297
P31,non-penari,Gerak,beta,6,0.1573,-4.0499,4.3646,0.0961,0.9272
P31,non-penari,Tahan,mu,6,-3.0202,-5.0838,-0.9566,-3.7622,0.0131
P31,non-penari,Tahan,beta,6,-1.917,-5.5113,1.6773,-1.371,0.2287
P32,non-penari,Gerak,mu,3,0.313,-7.532,8.158,0.1717,0.8795
P32,non-penari,Gerak,beta,3,-0.2773,-2.5681,2.0134,-0.5209,0.6544
P32,non-penari,Tahan,mu,2,-4.198,-84.4377,76.0417,-0.6648,0.6265
P32,non-penari,Tahan,beta,2,-3.3835,-45.7269,38.9599,-1.0153,0.4952
