participant_id,kondisi,area,n_rep,theta,mu,beta
P08,Berdiri (semua gerakan),sentral,12,0.01,-0.36,-0.18
P08,Berdiri (semua gerakan),oksipital,12,1.19,0.5,0.45
P08,Berdiri (semua gerakan),frontal,11,2.85,2.06,1.99
P08,Berdiri (Ngeed),sentral,4,-0.87,-2.2,-1.19
P08,Berdiri (Ngeed),oksipital,4,-2.02,-2.79,-2.02
P08,Berdiri (Ngeed),frontal,3,0.69,0.76,2.66
P08,Ngeed Gerak,sentral,4,6.97,2.65,1.19
P08,Ngeed Gerak,oksipital,4,7.8,-0.76,0.3
P08,Ngeed Gerak,frontal,4,1.7,-1.03,-0.95
P08,Ngeed Tahan,sentral,3,-1.1,-1.07,-0.89
P08,Ngeed Tahan,oksipital,4,-1.58,-0.88,-0.63
P08,Ngeed Tahan,frontal,1,-1.3,-1.18,-2.02
P08,Buka Mata,sentral,1,3.89,4.01,2.27
P08,Buka Mata,oksipital,1,4.75,4.87,2.85
P08,Buka Mata,frontal,1,4.48,3.69,2.89
P08,Tutup Mata,sentral,1,-3.09,-2.68,-2.55
P08,Tutup Mata,oksipital,1,-2.43,-0.94,-0.53
P08,Tutup Mata,frontal,1,-2.49,-1.35,-2.09
P09,Berdiri (semua gerakan),sentral,9,1.16,-0.41,-0.1
P09,Berdiri (semua gerakan),oksipital,10,-0.51,-1.01,-1.17
P09,Berdiri (semua gerakan),frontal,10,-0.44,-0.74,0.13
P09,Berdiri (Ngeed),sentral,2,-1.11,-1.92,-0.32
P09,Berdiri (Ngeed),oksipital,2,-2.06,-1.59,-1.6
P09,Berdiri (Ngeed),frontal,2,-4.46,-5.09,-2.33
P09,Ngeed Gerak,sentral,3,-0.83,-1.45,-1.04
P09,Ngeed Gerak,oksipital,4,-2.94,-1.14,-2.17
P09,Ngeed Gerak,frontal,4,-4.41,-1.14,-1.27
P09,Ngeed Tahan,sentral,3,-3.23,-3.29,-2.69
P09,Ngeed Tahan,oksipital,3,-7.44,-4.87,-4.8
P09,Ngeed Tahan,frontal,2,-5.12,-4.57,-1.66
P09,Buka Mata,sentral,1,-4.06,-2.82,-0.99
P09,Buka Mata,oksipital,1,-6.46,-6.22,-5.19
P09,Buka Mata,frontal,1,-7.14,-5.12,-2.86
P09,Tutup Mata,sentral,0,,,
P09,Tutup Mata,oksipital,0,,,
P09,Tutup Mata,frontal,0,,,
P31,Berdiri (semua gerakan),sentral,9,3.54,-0.18,-0.13
P31,Berdiri (semua gerakan),oksipital,8,3.02,0.63,1.08
P31,Berdiri (semua gerakan),frontal,8,2.74,0.56,1.33
P31,Berdiri (Ngeed),sentral,2,2.43,-0.03,-1.19
P31,Berdiri (Ngeed),oksipital,1,2.02,-0.69,-0.77
P31,Berdiri (Ngeed),frontal,1,-0.29,-1.48,-0.85
P31,Ngeed Gerak,sentral,2,7.93,2.42,1.6
P31,Ngeed Gerak,oksipital,2,2.74,-0.41,-0.48
P31,Ngeed Gerak,frontal,2,3.91,-2.78,-1.21
P31,Ngeed Tahan,sentral,2,1.38,-1.1,-1.71
P31,Ngeed Tahan,oksipital,2,-1.74,-1.24,-1.18
P31,Ngeed Tahan,frontal,1,2.1,0.93,1.05
P31,Buka Mata,sentral,1,-1.65,-3.87,-1.55
P31,Buka Mata,oksipital,1,-4.92,-5.68,-4.14
P31,Buka Mata,frontal,1,-2.31,-4.66,-2.27
P31,Tutup Mata,sentral,1,-0.15,0.44,1.19
P31,Tutup Mata,oksipital,1,-1.04,-0.06,1.11
P31,Tutup Mata,frontal,1,-0.74,1.46,1.64
P32,Berdiri (semua gerakan),sentral,10,1.7,-0.14,0.76
P32,Berdiri (semua gerakan),oksipital,12,2.44,2.2,1.69
P32,Berdiri (semua gerakan),frontal,10,4.95,3.18,3.63
P32,Berdiri (Ngeed),sentral,4,1.77,-0.33,0.54
P32,Berdiri (Ngeed),oksipital,4,4.41,2.38,1.71
P32,Berdiri (Ngeed),frontal,3,3.65,2.53,2.23
P32,Ngeed Gerak,sentral,2,3.52,1.66,0.38
P32,Ngeed Gerak,oksipital,2,9.16,4.79,3.24
P32,Ngeed Gerak,frontal,2,6.02,4.89,5.26
P32,Ngeed Tahan,sentral,2,3.04,4.74,5.38
P32,Ngeed Tahan,oksipital,1,0.27,3.82,1.21
P32,Ngeed Tahan,frontal,2,4.08,5.81,7.37
P32,Buka Mata,sentral,1,-1.08,-2.03,-1.24
P32,Buka Mata,oksipital,1,-2.42,-2.02,-1.48
P32,Buka Mata,frontal,1,-0.18,-1.49,0.42
P32,Tutup Mata,sentral,1,-2.74,-3.95,-1.75
P32,Tutup Mata,oksipital,1,-2.45,-3.16,-2.43
P32,Tutup Mata,frontal,1,-3.62,-3.88,-3.05
