participant_id,kondisi,area,metode,n_rep,theta,mu,beta
P08,Berdiri (semua gerakan),sentral,M2b_relatif4,12,0.05,-0.31,-0.14
P08,Berdiri (semua gerakan),sentral,M0_absolut,12,0.01,-0.36,-0.18
P08,Berdiri (semua gerakan),oksipital,M2b_relatif4,12,0.28,-0.4,-0.45
P08,Berdiri (semua gerakan),oksipital,M0_absolut,12,1.19,0.5,0.45
P08,Berdiri (semua gerakan),frontal,M2b_relatif4,11,0.28,-0.51,-0.58
P08,Berdiri (semua gerakan),frontal,M0_absolut,11,2.85,2.06,1.99
P08,Berdiri (semua gerakan),parietal,M2b_relatif4,12,1.12,-0.99,-0.73
P08,Berdiri (semua gerakan),parietal,M0_absolut,12,1.79,-0.32,-0.06
P08,Berdiri (Ngeed),sentral,M2b_relatif4,4,0.23,-1.09,-0.09
P08,Berdiri (Ngeed),sentral,M0_absolut,4,-0.87,-2.2,-1.19
P08,Berdiri (Ngeed),oksipital,M2b_relatif4,4,-0.25,-1.02,-0.25
P08,Berdiri (Ngeed),oksipital,M0_absolut,4,-2.02,-2.79,-2.02
P08,Berdiri (Ngeed),frontal,M2b_relatif4,3,-1.04,-0.97,0.93
P08,Berdiri (Ngeed),frontal,M0_absolut,3,0.69,0.76,2.66
P08,Berdiri (Ngeed),parietal,M2b_relatif4,4,1.3,-1.35,-0.33
P08,Berdiri (Ngeed),parietal,M0_absolut,4,1.33,-1.32,-0.3
P08,Ngeed Gerak,sentral,M2b_relatif4,4,2.81,-1.51,-2.96
P08,Ngeed Gerak,sentral,M0_absolut,4,6.97,2.65,1.19
P08,Ngeed Gerak,oksipital,M2b_relatif4,4,3.92,-4.64,-3.59
P08,Ngeed Gerak,oksipital,M0_absolut,4,7.8,-0.76,0.3
P08,Ngeed Gerak,frontal,M2b_relatif4,4,1.52,-1.22,-1.13
P08,Ngeed Gerak,frontal,M0_absolut,4,1.7,-1.03,-0.95
P08,Ngeed Gerak,parietal,M2b_relatif4,4,2.69,-2.66,-2.31
P08,Ngeed Gerak,parietal,M0_absolut,4,7.52,2.17,2.52
P08,Ngeed Tahan,sentral,M2b_relatif4,3,-0.14,-0.11,0.07
P08,Ngeed Tahan,sentral,M0_absolut,3,-1.1,-1.07,-0.89
P08,Ngeed Tahan,oksipital,M2b_relatif4,4,-0.73,-0.04,0.21
P08,Ngeed Tahan,oksipital,M0_absolut,4,-1.58,-0.88,-0.63
P08,Ngeed Tahan,frontal,M2b_relatif4,1,0.23,0.35,-0.49
P08,Ngeed Tahan,frontal,M0_absolut,1,-1.3,-1.18,-2.02
