pid,fase,pita,n,rerata,ci_bawah,ci_atas,t,p
P08,Berdiri,mu,11,0.6167228049756853,-1.55745695789708,2.790902567848451,0.6320287154437534,0.5415472615371845
P08,Berdiri,beta,11,1.3336574474819687,-0.4904325332268704,3.157747428190808,1.629072033398631,0.13435347722809107
P08,Gerak,mu,10,0.8414070169967429,-3.392273666807803,5.075087700801289,0.44958395601469636,0.663642494366958
P08,Gerak,beta,10,-1.9518336782111145,-5.066431398678434,1.1627640422562044,-1.4176323660487213,0.1899764518941962
P08,Naik,mu,9,-0.8495066267678131,-4.038247509643307,2.3392342561076807,-0.6143383442443253,0.5560557637068275
P08,Naik,beta,9,-0.829165538843568,-4.075768928697425,2.4174378510102885,-0.5889414048286717,0.5721508742233038
P08,Tahan,mu,9,0.7574648122333398,-0.8246876607845666,2.3396172852512462,1.1040130575720812,0.30168460094934
P08,Tahan,beta,9,1.2480456578358126,-0.46029015072938884,2.956381466401014,1.6846795773192642,0.13054257942889097
P09,Berdiri,mu,9,-1.6068841104386409,-4.511989392876314,1.298221171999033,-1.2755067521532657,0.23791899807839917
P09,Berdiri,beta,9,-0.956593549722423,-3.1410117048908943,1.2278246054460484,-1.0098381008920936,0.3421370677568549
P09,Gerak,mu,9,-1.6167049749614644,-4.080680908100214,0.847270958177285,-1.5130538847906632,0.16872191353733174
P09,Gerak,beta,9,-2.0121946006878932,-4.208201365150569,0.1838121637747827,-2.1129848710448456,0.06755878237358019
P09,Naik,mu,8,1.6911733227210393,-1.8610305063068413,5.24337715174892,1.1257770232310425,0.29737162651421123
P09,Naik,beta,8,-0.43194948102035124,-2.9759012160109375,2.1120022539702346,-0.4015006276396275,0.7000264343432764
P09,Tahan,mu,9,0.725518722348537,-1.7829611619594457,3.23399860665652,0.666957380989848,0.5235661731356028
P09,Tahan,beta,9,-0.14667621654775165,-2.72925645195356,2.4359040188580567,-0.1309682298571719,0.8990340421639046
P31,Berdiri,mu,9,-1.1247279435481181,-4.0712247978176785,1.821768910721442,-0.8802409834727623,0.40439520000415485
P31,Berdiri,beta,9,-0.3654907779786209,-2.3073875837933335,1.5764060278360918,-0.4340206147278177,0.6757408306621111
P31,Gerak,mu,9,1.9598669846116996,0.007153416857837769,3.9125805523655615,2.314451768859924,0.04934496890315382
P31,Gerak,beta,9,0.3584079381612052,-1.650273089965986,2.3670889662883967,0.4114591495197833,0.6915382521575252
P31,Naik,mu,8,0.5444495325929251,-2.403950980653141,3.492850045838991,0.4366498251352534,0.6755171220816196
P31,Naik,beta,8,-0.32879884907395607,-3.046625380021125,2.389027681873213,-0.2860689317596427,0.783106068454332
P31,Tahan,mu,10,-3.5138690740813026,-7.450634806800004,0.4228966586373981,-2.0191509057813932,0.07422368122324377
P31,Tahan,beta,10,-2.1760816634567557,-4.662619312622804,0.310455985709293,-1.9797161420312779,0.07909574027682316
P32,Berdiri,mu,6,1.6385643028389048,-2.0753973609750935,5.3525259666529035,1.1341160772979693,0.3081750486414556
P32,Berdiri,beta,6,1.3646183601609716,-2.5739076636239693,5.303144383945912,0.8906537999295829,0.41391337114424454
P32,Gerak,mu,5,-0.050030499454431165,-6.318849309346219,6.218788310437357,-0.02215839052512894,0.9833829068312697
P32,Gerak,beta,5,0.7755374060863064,-4.317095789886258,5.868170602058871,0.4228140830423395,0.6941710303565252
P32,Naik,mu,7,1.570492619846259,-0.5214788602026803,3.6624640998951983,1.8369547770066337,0.11586609382342966
P32,Naik,beta,7,0.26548525009561835,-2.3839491728561355,2.9149196730473723,0.24519157716665121,0.8144790086871248
P32,Tahan,mu,6,-1.6849667722084252,-6.971811267830683,3.601877723413832,-0.8192684656937188,0.4499051247222493
P32,Tahan,beta,6,-2.206822302029679,-7.046272690200203,2.6326280861408455,-1.172202805909769,0.29392227778033597
