fase,pasangan,r,n
Gerak,P08-P09,-0.269,48
Gerak,P08-P31,0.537,48
Gerak,P08-P32,0.591,45
Gerak,P09-P31,-0.138,48
Gerak,P09-P32,0.11,45
Gerak,P31-P32,0.36,45
Tahan,P08-P09,-0.256,48
Tahan,P08-P31,0.388,48
Tahan,P08-P32,-0.15,48
Tahan,P09-P31,-0.687,48
Tahan,P09-P32,-0.185,48
Tahan,P31-P32,0.389,48
Naik,P08-P09,0.028,48
Naik,P08-P31,0.299,48
Naik,P08-P32,0.419,48
Naik,P09-P31,-0.495,48
Naik,P09-P32,-0.362,48
Naik,P31-P32,0.697,48
Berdiri,P08-P09,-0.111,48
Berdiri,P08-P31,0.453,48
Berdiri,P08-P32,0.355,48
Berdiri,P09-P31,0.253,48
Berdiri,P09-P32,0.135,48
Berdiri,P31-P32,0.703,48
