participant_id,referensi,area,n_buka,n_tutup,M0_tutup_minus_buka_db,SP_buka_db,SP_tutup_db,SP_tutup_minus_buka_db,puncak_buka,puncak_tutup,frek_puncak_tutup,M0_ik_bawah,M0_ik_atas,SP_ik_bawah,SP_ik_atas
P08,A2_belahan_robust,oksipital,50,23,-4.94,7.95,2.62,-5.33,True,True,9.33,-7.03,-1.98,-7.25,-2.23
P08,A2_belahan_robust,parietal,37,28,-5.18,8.01,1.53,-6.47,True,False,,-7.11,-1.83,-7.44,-1.47
P08,A2_belahan_robust,sentral,56,28,-6.08,5.47,2.3,-3.17,True,True,9.51,-8.13,-4.53,-6.08,-0.84
P08,D_telinga,oksipital,26,19,0.22,3.84,3.01,-0.82,True,True,9.42,-5.36,2.49,-2.44,2.67
P08,D_telinga,parietal,27,28,-5.84,9.3,3.71,-5.59,True,True,9.77,-9.0,-1.68,-8.79,-1.25
P08,D_telinga,sentral,36,28,-1.01,5.14,3.99,-1.15,True,True,9.76,-3.84,1.88,-3.29,1.45
P08,C_bipolar,oksipital,34,20,-5.01,8.58,2.75,-5.83,True,True,9.88,-6.7,-2.46,-8.18,-2.2
P08,C_bipolar,parietal,37,28,-5.66,7.96,3.77,-4.19,True,True,9.79,-7.98,-3.61,-6.57,-1.28
P08,C_bipolar,sentral,43,23,-4.91,8.16,2.28,-5.88,True,True,9.27,-7.24,-2.76,-8.66,-2.6
P09,A2_belahan_robust,oksipital,27,7,,,,,,,,,,,
P09,A2_belahan_robust,parietal,27,7,,,,,,,,,,,
P09,A2_belahan_robust,sentral,25,7,,,,,,,,,,,
P09,D_telinga,oksipital,27,7,,,,,,,,,,,
P09,D_telinga,parietal,27,7,,,,,,,,,,,
P09,D_telinga,sentral,25,7,,,,,,,,,,,
P09,C_bipolar,oksipital,25,7,,,,,,,,,,,
P09,C_bipolar,parietal,25,7,,,,,,,,,,,
P09,C_bipolar,sentral,25,7,,,,,,,,,,,
P31,A2_belahan_robust,oksipital,37,45,4.09,1.97,3.21,1.25,False,True,10.2,2.4,6.2,-1.02,4.44
P31,A2_belahan_robust,parietal,6,49,,,,,,,,,,,
P31,A2_belahan_robust,sentral,27,78,4.61,2.18,4.48,2.3,True,True,8.95,2.35,7.04,-0.63,4.18
P31,D_telinga,oksipital,37,59,4.38,1.19,1.47,0.28,False,False,,2.44,6.25,-1.65,1.77
P31,D_telinga,parietal,6,49,,,,,,,,,,,
P31,D_telinga,sentral,27,78,4.19,2.6,4.68,2.08,True,True,8.93,2.19,6.05,-0.14,4.57
P31,C_bipolar,oksipital,6,24,,,,,,,,,,,
P31,C_bipolar,parietal,4,46,,,,,,,,,,,
P31,C_bipolar,sentral,13,51,2.28,2.06,4.88,2.82,True,True,8.83,1.3,4.67,1.92,4.63
P32,A2_belahan_robust,oksipital,66,83,-0.25,0.45,0.97,0.52,False,True,11.98,-1.54,0.96,-1.26,1.85
P32,A2_belahan_robust,parietal,56,69,-3.42,2.9,1.54,-1.36,True,False,,-4.83,-2.13,-3.59,0.68
P32,A2_belahan_robust,sentral,56,69,-2.35,3.33,1.46,-1.87,True,True,7.93,-3.77,-0.83,-3.61,-0.39
P32,D_telinga,oksipital,45,80,-0.14,1.4,0.99,-0.41,True,False,,-1.85,2.02,-2.53,1.49
P32,D_telinga,parietal,39,69,-2.0,3.92,1.55,-2.36,True,True,9.76,-3.83,0.27,-5.02,-1.17
P32,D_telinga,sentral,45,69,-2.37,3.66,1.07,-2.6,True,False,,-4.13,-0.42,-4.73,-0.47
P32,C_bipolar,oksipital,56,69,-2.47,2.04,1.28,-0.76,True,True,9.7,-3.33,-1.62,-2.54,0.92
P32,C_bipolar,parietal,56,69,-3.41,4.28,2.5,-1.79,True,True,9.57,-5.3,-1.46,-3.93,-0.05
P32,C_bipolar,sentral,52,67,-2.06,0.86,2.21,1.35,True,True,10.24,-3.58,-0.18,-1.1,2.66
