participant_id,grup,area,pita,n_buka,n_tutup,buka_db,tutup_db,tutup_minus_buka_db,ci_bawah,ci_atas
P08,penari,oksipital,mu,75,47,4.395,-1.524,-5.919,-7.535,-4.252
P08,penari,oksipital,theta,75,47,4.233,-3.2,-7.433,-8.827,-5.277
P08,penari,sentral,mu,74,46,3.114,-3.025,-6.138,-7.795,-4.111
P08,penari,sentral,theta,74,46,2.527,-3.833,-6.361,-7.62,-4.745
P08,penari,frontal,mu,65,40,3.072,-1.928,-5.0,-6.736,-3.059
P08,penari,frontal,theta,65,40,4.072,-3.042,-7.114,-8.697,-5.278
P08,penari,parietal,mu,64,46,3.645,-1.708,-5.353,-8.466,-3.154
P08,penari,parietal,theta,64,46,2.67,-1.399,-4.068,-6.641,-2.295
P09,penari,oksipital,mu,40,7,,,,,
P09,penari,oksipital,theta,40,7,,,,,
P09,penari,sentral,mu,40,7,,,,,
P09,penari,sentral,theta,40,7,,,,,
P09,penari,frontal,mu,39,7,,,,,
P09,penari,frontal,theta,39,7,,,,,
P09,penari,parietal,mu,42,7,,,,,
P09,penari,parietal,theta,42,7,,,,,
P31,non-penari,oksipital,mu,46,92,-5.601,1.581,7.182,4.894,9.315
P31,non-penari,oksipital,theta,46,92,-4.514,-0.015,4.499,1.965,6.773
P31,non-penari,sentral,mu,69,108,-3.736,0.339,4.075,2.365,5.732
P31,non-penari,sentral,theta,69,108,-1.232,-0.783,0.449,-1.452,2.4
P31,non-penari,frontal,mu,58,100,-5.181,1.176,6.356,4.406,8.069
P31,non-penari,frontal,theta,58,100,-3.218,-0.342,2.876,0.456,5.031
P31,non-penari,parietal,mu,72,111,1.02,-1.296,-2.315,-5.481,1.788
P31,non-penari,parietal,theta,72,111,-0.163,-4.063,-3.901,-7.333,-0.486
P32,non-penari,oksipital,mu,84,113,-2.778,-4.264,-1.486,-2.701,-0.309
P32,non-penari,oksipital,theta,84,113,-3.472,-3.73,-0.258,-1.645,0.947
P32,non-penari,sentral,mu,84,113,-1.836,-2.971,-1.134,-3.203,0.887
P32,non-penari,sentral,theta,84,113,-0.694,-1.883,-1.189,-3.761,1.552
P32,non-penari,frontal,mu,84,113,-2.117,-4.79,-2.674,-3.996,-1.299
P32,non-penari,frontal,theta,84,113,-1.37,-4.81,-3.44,-5.038,-1.749
P32,non-penari,parietal,mu,84,113,-1.54,-4.288,-2.748,-4.389,-1.019
P32,non-penari,parietal,theta,84,113,-1.028,-3.408,-2.38,-4.005,-0.687
