participant_id,metode,menyeluruh_Gerak,sentral_mu_Gerak,sentral_mu_Gerak_t,sentral_beta_Gerak,sentral_beta_Gerak_t,menyeluruh_Tahan,sentral_mu_Tahan,sentral_mu_Tahan_t,sentral_beta_Tahan,sentral_beta_Tahan_t,menyeluruh_Naik,sentral_mu_Naik,sentral_mu_Naik_t,sentral_beta_Naik,sentral_beta_Naik_t,LI_tahan_mu,LI_tahan_mu_t,reliabilitas
P08,M0_absolut,1.248,2.181,1.574,-0.131,-0.12,1.792,1.948,1.547,1.098,1.159,2.056,1.359,1.162,1.473,1.218,-8.182,,0.891
P08,M1_specparam,2.215,3.191,2.958,2.013,6.992,1.411,2.083,3.319,1.052,4.238,2.128,1.741,1.986,2.004,3.62,-1.248,,0.169
P08,M2_relatif,-1.914,-2.589,-3.045,-4.9,-5.056,0.007,0.536,0.903,-0.315,-0.926,-0.532,-0.686,-1.191,-0.572,-1.0,-1.014,,0.709
P08,M2b_relatif4,-0.596,-0.866,-1.222,-3.177,-6.168,-0.038,0.391,1.071,-0.46,-1.571,-0.352,-0.644,-1.144,-0.53,-1.297,-0.858,,0.717
P08,M3_berdiri,-1.368,1.264,0.943,-1.239,-1.13,-0.824,0.762,0.575,-0.09,-0.094,-0.56,0.942,0.709,0.512,0.402,-5.875,,0.833
P08,M4_otot,2.552,3.268,3.108,1.053,1.908,1.105,1.329,2.103,0.422,2.573,1.301,0.563,0.494,0.606,1.434,-0.248,,0.761
P09,M0_absolut,-1.343,-1.269,-1.765,-0.804,-1.563,0.299,1.716,1.212,0.843,0.836,0.09,2.273,1.553,1.556,1.3,-4.413,-4.454,0.545
P09,M1_specparam,1.753,1.318,2.128,2.139,5.309,1.537,2.123,4.305,0.736,2.414,2.586,2.871,2.512,1.916,2.186,-3.022,-4.23,0.469
P09,M2_relatif,-0.322,-0.248,-0.419,0.217,0.27,0.954,1.154,1.863,0.282,0.44,0.418,-0.566,-0.358,-1.282,-1.613,-1.603,-2.359,0.526
P09,M2b_relatif4,-0.311,-0.6,-1.016,-0.135,-0.232,-0.026,0.432,1.057,-0.44,-0.844,-0.3,0.019,0.017,-0.697,-0.964,-1.237,-1.46,0.449
P09,M3_berdiri,-2.705,-2.022,-3.091,-1.703,-3.377,-1.063,0.898,0.639,-0.03,-0.029,-1.272,1.519,1.077,0.657,0.531,-4.181,-2.7,0.423
P09,M4_otot,-0.99,-1.216,-1.329,-0.742,-2.209,-0.213,1.003,1.047,0.001,0.002,0.282,1.075,0.632,0.141,0.256,-3.626,-4.097,0.485
P31,M0_absolut,2.632,2.188,2.838,1.763,3.545,1.76,-1.024,-1.306,-0.573,-0.678,2.846,0.694,1.149,1.785,1.605,-3.02,-3.763,0.919
P31,M1_specparam,1.752,1.518,1.994,1.517,3.427,0.754,-0.803,-1.745,0.823,4.576,2.142,0.051,0.098,2.004,5.448,-0.499,-0.737,0.646
P31,M2_relatif,-1.157,-1.43,-2.181,-1.856,-3.049,-1.136,-2.665,-3.966,-2.214,-3.027,-0.873,-2.126,-4.477,-1.035,-1.82,-0.301,-0.411,0.657
P31,M2b_relatif4,-0.397,-1.076,-1.73,-1.501,-3.217,-0.295,-1.202,-6.297,-0.751,-1.663,-0.443,-1.622,-2.806,-0.532,-1.131,-0.161,-0.405,0.714
P31,M3_berdiri,0.425,0.752,1.16,1.194,2.396,-0.448,-2.46,-2.471,-1.141,-1.269,0.639,-0.544,-0.638,1.292,1.099,-3.02,-1.591,0.305
P31,M4_otot,1.108,0.055,0.056,-0.346,-1.032,0.661,-0.679,-1.672,-0.232,-0.804,0.792,-1.367,-1.765,-0.253,-0.832,-1.472,-1.148,0.724
P32,M0_absolut,2.39,2.845,3.896,2.518,4.08,3.088,3.711,3.515,4.963,4.922,2.502,1.679,2.107,2.161,2.224,-4.198,,0.633
P32,M1_specparam,2.36,1.235,1.309,1.426,2.813,1.215,0.094,0.182,1.897,6.891,1.971,0.611,0.96,1.457,3.785,-3.674,,0.358
P32,M2_relatif,-0.566,-1.746,-2.771,-2.073,-2.553,-0.604,-1.71,-3.083,-0.457,-0.955,-0.972,-2.158,-3.085,-1.676,-3.45,-2.584,,0.398
P32,M2b_relatif4,-0.501,-1.227,-1.995,-1.555,-3.564,-0.353,-1.392,-3.125,-0.14,-0.292,-0.48,-1.502,-2.658,-1.02,-2.911,-3.068,,0.406
P32,M3_berdiri,-0.128,1.215,1.588,0.118,0.167,0.655,2.212,1.935,2.79,2.371,0.069,0.371,0.521,0.316,0.389,-4.198,,0.139
P32,M4_otot,1.127,1.64,2.801,0.846,1.984,0.978,1.071,1.622,1.301,4.034,1.329,0.287,0.536,0.23,0.784,-2.169,,0.585
