participant_id,gerakan,rep,fase,kanal,M0_absolut_theta,M2_relatif_theta,M3_berdiri_theta,M0_absolut_mu,M2_relatif_mu,M3_berdiri_mu,M0_absolut_beta,M2_relatif_beta,M3_berdiri_beta,otot_db,M1_specparam_theta,M1_specparam_mu,M1_specparam_beta,aperiodik_offset_db,M4_otot_theta,M4_otot_mu,M4_otot_beta
P08,Agem Kanan,1,Berdiri,T5,-4.203,-0.617,-7.381,-1.66,1.926,-4.65,-4.07,-0.484,-6.358,-3.053,1.418,2.54,-0.583,-8.868,-1.664,1.126,-1.034
P08,Agem Kanan,1,Berdiri,Fp2,1.795,0.063,-2.402,1.606,-0.126,-1.414,1.14,-0.592,-1.789,-0.032,1.154,1.51,1.468,2.077,1.821,1.635,1.171
P08,Agem Kanan,1,Berdiri,F4,4.733,0.94,0.612,3.508,-0.285,0.646,2.574,-1.218,-0.381,2.182,1.425,0.751,0.428,4.712,2.919,1.518,0.405
P08,Agem Kanan,1,Berdiri,C4,-2.358,-0.399,-3.994,-2.404,-0.444,-4.359,-1.591,0.368,-3.006,-1.865,0.223,-0.033,0.682,-2.586,-0.807,-0.702,0.262
P08,Agem Kanan,1,Berdiri,P4,1.818,1.474,-2.34,-0.953,-1.297,-1.734,-0.874,-1.218,-1.658,-3.199,1.036,0.647,1.729,5.242,4.478,1.966,2.307
P08,Agem Kanan,1,Berdiri,O2,3.083,1.14,-0.374,1.139,-0.804,-1.254,1.966,0.023,-0.938,2.236,0.752,-1.761,-0.464,1.756,1.224,-0.901,-0.257
P08,Agem Kanan,1,Berdiri,F8,6.026,-0.531,-0.875,5.357,-1.2,0.49,4.077,-2.479,-0.086,3.929,-0.433,0.38,1.002,10.515,2.759,1.772,0.171
P08,Agem Kanan,1,Berdiri,T4,8.411,1.01,-0.271,6.555,-0.845,0.381,2.82,-4.58,0.076,1.729,0.942,2.137,0.778,14.465,6.973,4.978,1.101
P08,Agem Kanan,1,Berdiri,T6,-2.441,-0.313,-4.312,-2.037,0.09,-2.134,-2.39,-0.262,-1.722,-2.235,-0.544,-0.112,-0.365,-1.496,-0.582,0.002,-0.168
P08,Agem Kanan,1,Gerak,Fp1,-1.684,-2.735,-4.03,2.025,0.974,0.268,1.157,0.107,0.504,2.486,0.715,-0.675,3.263,-1.804,-3.751,-0.243,-1.314
P08,Agem Kanan,1,Gerak,F3,10.969,-0.19,8.437,9.454,-1.705,6.625,13.517,2.359,11.998,11.106,5.574,2.771,5.362,3.226,1.735,-0.678,2.477
P08,Agem Kanan,1,Gerak,O1,2.999,1.082,0.874,2.925,1.007,0.097,0.928,-0.99,-1.553,-0.675,3.182,2.231,1.133,-1.811,3.56,3.54,1.598
