participant_id,sumber,gerakan,rep,fase,mulai,selesai,cakupan,r_kiri,r_kanan,r_antar
P08,timestamp_manual,Ngeed,1,Gerak,5.588,10.188,1.0,0.819,0.816,-0.393
P08,timestamp_manual,Ngeed,1,Tahan,9.688,13.955,1.0,,0.286,
P08,timestamp_manual,Ngeed,1,Naik,13.455,15.255,1.0,0.87,0.661,-0.539
P08,timestamp_manual,Ngeed,1,Berdiri,14.755,22.255,1.0,0.912,0.694,-0.535
P08,timestamp_manual,Ngeed,2,Gerak,21.755,24.39,1.0,0.875,0.7,-0.438
P08,timestamp_manual,Ngeed,2,Tahan,23.89,30.131,1.0,0.935,0.631,-0.407
P08,timestamp_manual,Ngeed,2,Naik,29.631,31.838,1.0,0.934,0.53,-0.568
P08,timestamp_manual,Ngeed,2,Berdiri,31.338,38.34,1.0,0.94,0.583,-0.54
P08,timestamp_manual,Agem Kanan,1,Gerak,37.84,40.86,1.0,0.865,0.214,-0.083
P08,timestamp_manual,Agem Kanan,1,Tahan,40.36,46.012,1.0,0.754,0.513,0.08
P08,timestamp_manual,Agem Kanan,1,Naik,45.512,47.815,1.0,0.832,0.591,0.148
P08,timestamp_manual,Agem Kanan,1,Berdiri,47.315,54.381,1.0,,0.578,
P08,timestamp_manual,Agem Kanan,2,Gerak,53.881,56.485,1.0,0.664,0.295,0.174
P08,timestamp_manual,Agem Kanan,2,Tahan,55.985,62.331,1.0,,0.378,0.102
P08,timestamp_manual,Agem Kanan,2,Naik,61.831,63.702,1.0,,0.107,0.117
P08,timestamp_manual,Agem Kanan,2,Berdiri,63.202,70.812,1.0,0.936,0.151,-0.092
P08,timestamp_manual,Agem Kiri,1,Gerak,70.312,73.439,1.0,,0.268,-0.306
P08,timestamp_manual,Agem Kiri,1,Tahan,72.939,78.505,1.0,0.735,-0.182,-0.093
P08,timestamp_manual,Agem Kiri,1,Naik,78.005,80.369,1.0,0.778,0.338,-0.146
P08,timestamp_manual,Agem Kiri,1,Berdiri,79.869,86.234,1.0,0.555,0.436,-0.292
P08,timestamp_manual,Agem Kiri,2,Gerak,85.734,88.393,1.0,0.62,0.289,-0.102
P08,timestamp_manual,Agem Kiri,2,Tahan,87.893,94.24,1.0,0.869,0.336,-0.077
P08,timestamp_manual,Agem Kiri,2,Naik,93.74,95.894,1.0,0.792,0.665,-0.033
P08,timestamp_manual,Agem Kiri,2,Berdiri,95.394,103.894,1.0,0.733,0.474,-0.162
P08,timestamp_manual,Ngeed,3,Gerak,280.054,281.664,1.0,0.93,0.382,-0.522
P08,timestamp_manual,Ngeed,3,Tahan,281.164,287.109,1.0,,0.395,-0.301
P08,timestamp_manual,Ngeed,3,Naik,286.609,288.347,1.0,0.853,0.289,-0.335
P08,timestamp_manual,Ngeed,3,Berdiri,287.847,295.64,1.0,0.944,0.746,-0.702
P08,timestamp_manual,Ngeed,4,Gerak,295.14,297.425,1.0,0.787,0.286,-0.265
P08,timestamp_manual,Ngeed,4,Tahan,296.925,303.433,1.0,0.748,0.507,-0.206
P08,timestamp_manual,Ngeed,4,Naik,302.933,304.726,1.0,0.871,0.373,-0.311
P08,timestamp_manual,Ngeed,4,Berdiri,304.226,311.359,1.0,0.927,0.704,-0.677
P08,timestamp_manual,Agem Kanan,3,Gerak,310.859,314.188,1.0,0.612,0.431,-0.11
P08,timestamp_manual,Agem Kanan,3,Tahan,313.688,319.226,1.0,0.662,0.364,0.246
P08,timestamp_manual,Agem Kanan,3,Naik,318.726,321.369,1.0,0.807,0.479,-0.261
P08,timestamp_manual,Agem Kanan,3,Berdiri,320.869,327.414,1.0,,0.426,
P08,timestamp_manual,Agem Kanan,4,Gerak,326.914,330.003,1.0,0.685,0.519,-0.071
P08,timestamp_manual,Agem Kanan,4,Tahan,329.503,335.545,1.0,0.831,0.255,-0.063
