gerakan,rep,blok,fase,onset,mulai,selesai,durasi_fase,participant_id
Ngeed,1,1,Gerak,6.088,5.588,10.188,4.1,P08
Ngeed,1,1,Tahan,10.188,9.688,13.955,3.767,P08
Ngeed,1,1,Naik,13.955,13.455,15.255,1.3,P08
Ngeed,1,1,Berdiri,15.255,14.755,22.255,7.0,P08
Ngeed,2,1,Gerak,22.255,21.755,24.39,2.135,P08
Ngeed,2,1,Tahan,24.39,23.89,30.131,5.741,P08
Ngeed,2,1,Naik,30.131,29.631,31.838,1.707,P08
Ngeed,2,1,Berdiri,31.838,31.338,38.34,6.502,P08
Agem Kanan,1,1,Gerak,38.34,37.84,40.86,2.52,P08
Agem Kanan,1,1,Tahan,40.86,40.36,46.012,5.152,P08
Agem Kanan,1,1,Naik,46.012,45.512,47.815,1.803,P08
Agem Kanan,1,1,Berdiri,47.815,47.315,54.381,6.566,P08
Agem Kanan,2,1,Gerak,54.381,53.881,56.485,2.104,P08
Agem Kanan,2,1,Tahan,56.485,55.985,62.331,5.846,P08
Agem Kanan,2,1,Naik,62.331,61.831,63.702,1.371,P08
Agem Kanan,2,1,Berdiri,63.702,63.202,70.812,7.11,P08
Agem Kiri,1,1,Gerak,70.812,70.312,73.439,2.627,P08
Agem Kiri,1,1,Tahan,73.439,72.939,78.505,5.066,P08
Agem Kiri,1,1,Naik,78.505,78.005,80.369,1.864,P08
Agem Kiri,1,1,Berdiri,80.369,79.869,86.234,5.865,P08
Agem Kiri,2,1,Gerak,86.234,85.734,88.393,2.159,P08
Agem Kiri,2,1,Tahan,88.393,87.893,94.24,5.847,P08
Agem Kiri,2,1,Naik,94.24,93.74,95.894,1.654,P08
Agem Kiri,2,1,Berdiri,95.894,95.394,103.894,8.0,P08
Ngeed,3,2,Gerak,280.554,280.054,281.664,1.11,P08
Ngeed,3,2,Tahan,281.664,281.164,287.109,5.445,P08
Ngeed,3,2,Naik,287.109,286.609,288.347,1.238,P08
Ngeed,3,2,Berdiri,288.347,287.847,295.64,7.293,P08
Ngeed,4,2,Gerak,295.64,295.14,297.425,1.785,P08
Ngeed,4,2,Tahan,297.425,296.925,303.433,6.008,P08
Ngeed,4,2,Naik,303.433,302.933,304.726,1.293,P08
Ngeed,4,2,Berdiri,304.726,304.226,311.359,6.633,P08
Agem Kanan,3,2,Gerak,311.359,310.859,314.188,2.829,P08
Agem Kanan,3,2,Tahan,314.188,313.688,319.226,5.038,P08
Agem Kanan,3,2,Naik,319.226,318.726,321.369,2.143,P08
Agem Kanan,3,2,Berdiri,321.369,320.869,327.414,6.045,P08
Agem Kanan,4,2,Gerak,327.414,326.914,330.003,2.589,P08
Agem Kanan,4,2,Tahan,330.003,329.503,335.545,5.542,P08
Agem Kanan,4,2,Naik,335.545,335.045,337.196,1.651,P08
Agem Kanan,4,2,Berdiri,337.196,336.696,343.367,6.171,P08
Agem Kiri,3,2,Gerak,343.367,342.867,345.71,2.343,P08
Agem Kiri,3,2,Tahan,345.71,345.21,351.371,5.661,P08
Agem Kiri,3,2,Naik,351.371,350.871,353.248,1.877,P08
Agem Kiri,3,2,Berdiri,353.248,352.748,359.266,6.018,P08
Agem Kiri,4,2,Gerak,359.266,358.766,361.752,2.486,P08
Agem Kiri,4,2,Tahan,361.752,361.252,367.478,5.726,P08
Agem Kiri,4,2,Naik,367.478,366.978,369.45,1.972,P08
Agem Kiri,4,2,Berdiri,369.45,368.95,377.45,8.0,P08
-,0,0,Tutup Mata,412.135,411.635,442.135,30.0,P08
-,0,1,Istirahat,103.894,103.894,275.554,171.66,P08
Ngeed,1,1,Gerak,7.288,6.788,10.662,3.374,P09
Ngeed,1,1,Tahan,10.662,10.162,14.104,3.442,P09
Ngeed,1,1,Naik,14.104,13.604,15.976,1.872,P09
Ngeed,1,1,Berdiri,15.976,15.476,22.327,6.351,P09
Ngeed,2,1,Gerak,22.327,21.827,25.55,3.223,P09
Ngeed,2,1,Tahan,25.55,25.05,29.618,4.068,P09
Ngeed,2,1,Naik,29.618,29.118,32.384,2.766,P09
Ngeed,2,1,Berdiri,32.384,31.884,38.257,5.873,P09
Agem Kanan,1,1,Gerak,38.257,37.757,41.202,2.945,P09
Agem Kanan,1,1,Tahan,41.202,40.702,46.217,5.015,P09
Agem Kanan,1,1,Naik,46.217,45.717,48.02,1.803,P09
Agem Kanan,1,1,Berdiri,48.02,47.52,54.243,6.223,P09
Agem Kanan,2,1,Gerak,54.243,53.743,57.739,3.496,P09
Agem Kanan,2,1,Tahan,57.739,57.239,62.373,4.634,P09
Agem Kanan,2,1,Naik,62.373,61.873,64.868,2.495,P09
Agem Kanan,2,1,Berdiri,64.868,64.368,70.714,5.846,P09
