participant_id,gerakan,rep,selisih_Gerak_vs_lengan,selisih_Gerak,selisih_Tahan,selisih_Naik,selisih_Berdiri
P08,Ngeed,1,-1.997,-2.067,0.034,-1.129,-0.371
P08,Ngeed,2,6.101,-1.439,-1.026,-1.02,-0.244
P08,Agem Kanan,1,6.12,-1.421,-0.901,-1.012,0.056
P08,Agem Kanan,2,6.163,-1.377,-0.676,-0.954,-0.389
P08,Agem Kiri,1,6.597,-1.874,-2.109,2.819,0.482
P08,Agem Kiri,2,5.944,-1.527,-1.368,-0.908,-0.13
P08,Ngeed,3,-0.4,-0.4,-0.692,-0.982,-0.342
P08,Ngeed,4,6.354,-0.839,-0.331,-0.989,-0.293
P08,Agem Kanan,3,6.007,-1.187,-0.497,-0.667,0.824
P08,Agem Kanan,4,6.064,-1.074,0.057,-0.609,-0.027
P08,Agem Kiri,3,6.019,-1.313,-0.442,-0.711,0.569
P08,Agem Kiri,4,3.309,-1.481,-0.8,-0.81,0.357
P09,Ngeed,1,-1.243,-1.785,0.062,-1.759,-0.762
P09,Ngeed,2,5.394,-2.271,-0.659,-1.257,0.12
P09,Agem Kiri,1,5.705,-2.752,-3.979,-1.241,0.706
P09,Agem Kiri,2,5.475,-2.593,-0.019,1.281,1.064
P09,Ngeed,3,-1.377,-1.377,-0.592,-1.532,0.002
P09,Ngeed,4,4.077,-1.463,-0.963,-1.356,-0.68
P09,Agem Kanan,3,-1.629,-3.365,0.494,3.571,1.783
P09,Agem Kanan,4,-2.465,-3.34,-0.967,2.113,1.403
P09,Agem Kiri,3,5.069,-3.0,-1.006,-1.75,0.436
P09,Agem Kiri,4,-3.207,-3.207,-1.197,-0.984,0.607
P31,Agem Kanan,1,-0.734,-1.998,-0.922,1.341,1.096
P31,Agem Kanan,2,6.848,-2.414,0.191,3.165,-0.187
P31,Agem Kiri,1,6.201,-2.867,0.629,6.214,0.849
P31,Agem Kiri,2,2.927,-1.406,0.125,4.167,0.497
P31,Ngeed,3,-0.599,-1.391,0.006,0.315,1.123
P31,Ngeed,4,4.112,-0.485,0.027,0.03,0.711
P31,Agem Kanan,3,-0.709,-1.974,-0.57,-0.12,1.897
P31,Agem Kanan,4,4.749,-1.583,-0.202,2.981,0.356
P31,Agem Kiri,3,6.356,-2.976,-0.584,0.793,-0.109
P31,Agem Kiri,4,-1.833,-1.833,0.034,2.112,-0.487
P32,Ngeed,1,-1.086,-1.614,0.504,-0.766,0.366
P32,Ngeed,2,-1.268,-1.268,-1.757,-0.715,0.786
P32,Ngeed,3,-0.528,-1.071,-0.175,-0.747,-0.071
P32,Ngeed,4,1.82,-1.041,-0.728,-0.364,0.651
P32,Agem Kanan,3,5.434,-1.371,-0.529,1.792,1.512
P32,Agem Kanan,4,-0.713,-1.31,-1.05,2.234,1.006
P32,Agem Kiri,3,-1.118,-1.118,-0.272,2.303,1.226
P32,Agem Kiri,4,-1.095,-1.095,-0.083,1.448,0.894
