gerakan,urutan,onset_Gerak,onset_Tahan,onset_Naik,onset_Berdiri,blok,rep,lengkap,durasi_Gerak,durasi_Tahan,durasi_Naik,durasi_Berdiri,participant_id
Ngeed,1,6.088,10.188,13.955,15.255,1,1,True,4.1000000000000005,3.7669999999999995,1.3000000000000007,6.999999999999998,P08
Ngeed,5,22.255,24.39,30.131,31.838,1,2,True,2.1350000000000016,5.741,1.7070000000000007,6.5020000000000024,P08
Agem Kanan,9,38.34,40.86,46.012,47.815,1,1,True,2.519999999999996,5.152000000000001,1.8029999999999973,6.5660000000000025,P08
Agem Kanan,13,54.381,56.485,62.331,63.702,1,2,True,2.103999999999999,5.846000000000004,1.3709999999999951,7.109999999999999,P08
Agem Kiri,17,70.812,73.439,78.505,80.369,1,1,True,2.6269999999999953,5.0660000000000025,1.8640000000000043,5.864999999999995,P08
Agem Kiri,21,86.234,88.393,94.24,95.894,1,2,True,2.159000000000006,5.846999999999994,1.6540000000000106,,P08
Ngeed,25,280.554,281.664,287.109,288.347,2,3,True,1.1100000000000136,5.444999999999993,1.2379999999999995,7.293000000000006,P08
Ngeed,29,295.64,297.425,303.433,304.726,2,4,True,1.785000000000025,6.007999999999981,1.2930000000000064,6.632999999999981,P08
Agem Kanan,33,311.359,314.188,319.226,321.369,2,3,True,2.8290000000000077,5.038000000000011,2.143000000000029,6.044999999999959,P08
Agem Kanan,37,327.414,330.003,335.545,337.196,2,4,True,2.5889999999999986,5.54200000000003,1.6510000000000105,6.170999999999992,P08
Agem Kiri,41,343.367,345.71,351.371,353.248,2,3,True,2.342999999999961,5.661000000000001,1.8770000000000095,6.018000000000029,P08
Agem Kiri,45,359.266,361.752,367.478,369.45,2,4,True,2.48599999999999,5.725999999999999,1.97199999999998,,P08
Ngeed,1,7.288,10.662,14.104,15.976,1,1,True,3.3740000000000006,3.4419999999999984,1.8720000000000017,6.351000000000001,P09
Ngeed,5,22.327,25.55,29.618,32.384,1,2,True,3.222999999999999,4.067999999999998,2.766000000000002,5.8729999999999976,P09
Agem Kanan,9,38.257,41.202,46.217,48.02,1,1,True,2.9450000000000003,5.015000000000001,1.8030000000000044,6.222999999999999,P09
Agem Kanan,13,54.243,57.739,62.373,64.868,1,2,True,3.495999999999995,4.634,2.4949999999999974,5.846000000000004,P09
Agem Kiri,17,70.714,73.084,77.96,80.435,1,1,True,2.3700000000000045,4.875999999999991,2.4750000000000085,6.046999999999997,P09
Agem Kiri,21,86.482,90.32,93.814,96.999,1,2,True,3.837999999999994,3.4939999999999998,3.1850000000000023,,P09
Ngeed,25,279.953,282.142,286.27,289.137,2,3,True,2.1890000000000214,4.127999999999986,2.8670000000000186,6.5330000000000155,P09
Ngeed,29,295.67,297.573,302.915,304.716,2,4,True,1.9029999999999632,5.342000000000041,1.8009999999999877,6.521999999999991,P09
Agem Kanan,33,311.238,315.222,318.84,322.121,2,3,True,3.9839999999999804,3.617999999999995,3.281000000000006,5.209000000000003,P09
Agem Kanan,37,327.33,330.898,334.38,337.531,2,4,True,3.5680000000000405,3.481999999999971,3.1510000000000105,5.6650000000000205,P09
Agem Kiri,41,343.196,346.398,349.778,352.575,2,3,True,3.201999999999998,3.3799999999999955,2.7969999999999686,6.619000000000028,P09
Agem Kiri,45,359.194,362.135,366.278,368.945,2,4,True,2.940999999999974,4.143000000000029,2.666999999999973,,P09
Agem Kanan,1,38.913,42.197,46.46,48.617,1,1,True,3.284000000000006,4.262999999999998,2.1569999999999965,6.280000000000001,P31
Agem Kanan,5,54.897,58.308,62.546,63.401,1,2,True,3.4110000000000014,4.2379999999999995,0.855000000000004,6.91599999999999,P31
Agem Kiri,9,70.317,74.077,82.536,84.17,1,1,True,3.760000000000005,8.459000000000003,1.6340000000000003,2.799999999999997,P31
Agem Kiri,13,86.97,89.168,94.349,95.553,1,2,True,2.1980000000000075,5.180999999999997,1.2039999999999935,,P31
Ngeed,17,280.116,282.582,285.501,287.032,2,3,True,2.466000000000008,2.9189999999999827,1.531000000000006,8.59899999999999,P31
Ngeed,21,295.631,297.614,301.214,302.965,2,4,True,1.983000000000004,3.6000000000000227,1.7509999999999764,8.911000000000001,P31
Agem Kanan,25,311.876,314.14,316.992,319.747,2,3,True,2.26400000000001,2.8520000000000323,2.7549999999999955,7.849999999999966,P31
Agem Kanan,29,327.597,330.714,335.23,336.799,2,4,True,3.1170000000000186,4.5160000000000196,1.56899999999996,6.805000000000007,P31
Agem Kiri,33,343.604,347.19,350.775,352.276,2,3,True,3.5860000000000127,3.5849999999999795,1.5010000000000332,7.204999999999984,P31
Agem Kiri,37,359.481,361.82,366.231,368.229,2,4,True,2.3389999999999986,4.411000000000001,1.9979999999999905,,P31
Ngeed,1,6.134,10.461,11.315,13.585,1,1,True,4.327,0.8539999999999992,2.2700000000000014,8.489999999999998,P32
Ngeed,5,22.075,23.725,26.905,29.74,1,2,True,1.6500000000000021,3.1799999999999997,2.8349999999999973,8.45,P32
Agem Kanan,9,38.19,41.998,45.323,47.39,1,1,True,3.808,3.325000000000003,2.067,6.719999999999999,P32
Agem Kanan,13,54.11,55.708,59.407,62.218,1,2,True,1.597999999999999,3.698999999999998,2.811000000000007,7.837000000000003,P32
Agem Kiri,17,70.055,72.771,75.187,78.38,1,1,True,2.715999999999994,2.415999999999997,3.192999999999998,7.7450000000000045,P32
Agem Kiri,21,86.125,87.682,92.107,93.954,1,2,True,1.5570000000000022,4.424999999999997,1.8469999999999942,,P32
Ngeed,25,279.283,282.705,284.133,285.67,2,3,True,3.4219999999999686,1.4279999999999973,1.5370000000000346,10.430999999999983,P32
Ngeed,29,296.101,297.887,300.444,302.334,2,4,True,1.7860000000000014,2.5570000000000164,1.8899999999999864,8.906999999999982,P32
Agem Kanan,33,311.241,313.153,316.001,319.387,2,3,True,1.9120000000000346,2.8479999999999563,3.386000000000024,7.920000000000016,P32
Agem Kanan,37,327.307,328.9,332.309,334.886,2,4,True,1.592999999999961,3.4090000000000487,2.576999999999998,8.06899999999996,P32
Agem Kiri,41,342.955,344.87,348.32,351.173,2,3,True,1.9150000000000205,3.4499999999999886,2.8530000000000086,7.677000000000021,P32
Agem Kiri,45,358.85,360.997,364.664,366.97,2,4,True,2.1469999999999914,3.666999999999973,2.30600000000004,,P32
