participant_id,gerakan,fase,pct_ok,pct_tinggi,pct_ekstrem,pct_datar,n_potongan_kanal,ptp_median_uv,pct_layak_ketat,delta_db,emg_db,clipping,n_jendela,panjang_median_dtk,cakupan,r_kiri,r_kanan,r_antar
P08,-,Istirahat,56.8,10.1,6.2,26.9,5472,44.5,,0.0,0.0,0,1,171.7,1.0,,0.7,-0.5
P08,-,Tutup Mata,57.9,10.6,3.7,27.8,432,41.0,,-0.5,-1.0,0,1,30.5,0.5,,0.6,
P08,Agem Kanan,Berdiri,46.6,9.9,21.1,22.4,816,74.4,1.6,8.7,3.4,0,4,6.9,1.0,0.8,0.5,-0.2
P08,Agem Kanan,Gerak,14.1,5.3,61.2,19.4,304,272.4,0.0,13.4,7.0,0,4,3.1,1.0,0.7,0.4,-0.1
P08,Agem Kanan,Naik,13.0,7.3,55.2,24.5,192,290.1,0.0,10.6,8.9,0,4,2.2,1.0,0.8,0.5,-0.1
P08,Agem Kanan,Tahan,45.8,14.1,31.1,8.9,672,99.5,7.8,7.8,5.3,0,4,5.8,1.0,0.8,0.4,0.1
P08,Agem Kiri,Berdiri,37.3,11.0,44.3,7.4,880,143.4,3.1,11.8,6.4,0,4,7.5,1.0,0.8,0.4,-0.2
P08,Agem Kiri,Gerak,22.1,8.8,55.1,14.0,272,246.1,10.9,14.7,6.8,0,4,2.9,1.0,0.6,0.3,-0.1
P08,Agem Kiri,Naik,20.3,12.5,50.0,17.2,192,187.3,0.0,12.5,5.6,0,4,2.4,1.0,0.8,0.4,-0.1
P08,Agem Kiri,Tahan,26.9,12.6,19.8,40.7,688,112.6,6.2,1.7,1.6,0,4,6.2,1.0,0.8,0.3,-0.1
P08,Ngeed,Berdiri,49.2,13.1,15.7,22.0,864,65.6,12.5,6.7,2.1,0,4,7.3,1.0,0.9,0.7,-0.6
P08,Ngeed,Gerak,32.0,23.5,21.3,23.2,272,113.6,32.8,6.1,0.8,0,4,2.5,1.0,0.8,0.5,-0.4
P08,Ngeed,Naik,38.2,19.4,14.6,27.8,144,95.0,40.6,-1.2,0.6,0,4,1.8,1.0,0.9,0.5,-0.4
P08,Ngeed,Tahan,55.8,11.7,5.9,26.6,640,58.2,26.6,0.9,1.5,0,4,6.1,1.0,0.8,0.5,-0.3
P09,-,Istirahat,46.9,26.1,20.6,6.4,5408,99.8,,0.0,0.0,0,1,170.0,1.0,0.6,0.6,0.1
P09,-,Tutup Mata,77.7,8.9,7.1,6.2,112,44.4,,-6.1,-3.9,0,1,30.5,0.1,0.7,0.6,0.3
P09,Agem Kanan,Berdiri,25.7,15.9,46.6,11.8,704,159.7,4.7,5.7,2.4,0,4,6.3,1.0,0.7,0.6,-0.0
P09,Agem Kanan,Gerak,12.5,8.2,57.7,21.6,416,298.8,0.0,8.9,6.4,0,4,4.0,1.0,0.7,0.3,0.1
P09,Agem Kanan,Naik,5.9,5.9,65.6,22.5,320,355.8,0.0,8.2,6.4,0,4,3.3,1.0,0.6,0.5,0.1
P09,Agem Kanan,Tahan,10.5,13.5,61.7,14.3,512,234.2,1.6,8.5,4.3,0,4,4.6,1.0,0.4,0.6,-0.0
P09,Agem Kiri,Berdiri,32.3,12.1,44.3,11.3,912,148.1,7.8,5.7,3.5,0,4,7.8,1.0,0.6,0.4,0.0
P09,Agem Kiri,Gerak,16.8,13.1,68.8,1.4,352,245.8,0.0,6.5,6.8,0,4,3.6,1.0,0.7,0.6,0.1
P09,Agem Kiri,Naik,7.8,8.4,54.7,29.1,320,245.7,0.0,1.9,2.5,0,4,3.2,1.0,0.8,0.6,0.0
