metode,gerakan,rep,fase,kanal,theta_db,mu_db,beta_db,n_potongan,participant_id,skema
TE,Agem Kanan,1,Berdiri,C3,-2.592,-0.522,-1.221,5,P08,D_telinga
TE,Agem Kanan,1,Berdiri,C4,-2.942,-0.297,0.007,11,P08,D_telinga
TE,Agem Kanan,1,Berdiri,F3,-2.671,-5.331,-2.712,2,P08,D_telinga
TE,Agem Kanan,1,Berdiri,F4,7.468,5.72,4.007,9,P08,D_telinga
TE,Agem Kanan,1,Berdiri,F7,-4.071,-2.834,-0.918,1,P08,D_telinga
TE,Agem Kanan,1,Berdiri,F8,3.75,4.012,3.623,11,P08,D_telinga
TE,Agem Kanan,1,Berdiri,Fp1,-1.009,2.167,-0.152,6,P08,D_telinga
TE,Agem Kanan,1,Berdiri,Fp2,0.977,1.55,1.557,11,P08,D_telinga
TE,Agem Kanan,1,Berdiri,O1,-5.702,-7.621,-6.244,1,P08,D_telinga
TE,Agem Kanan,1,Berdiri,O2,5.017,3.976,2.419,10,P08,D_telinga
TE,Agem Kanan,1,Berdiri,P3,-2.247,-1.026,-1.146,5,P08,D_telinga
TE,Agem Kanan,1,Berdiri,P4,-1.399,1.739,0.711,11,P08,D_telinga
TE,Agem Kanan,1,Berdiri,T3,-7.694,-6.069,-4.534,1,P08,D_telinga
TE,Agem Kanan,1,Berdiri,T4,4.17,5.602,3.595,11,P08,D_telinga
TE,Agem Kanan,1,Berdiri,T5,0.38,0.907,1.571,9,P08,D_telinga
TE,Agem Kanan,1,Berdiri,T6,-1.924,-0.55,-1.111,10,P08,D_telinga
TE,Agem Kanan,1,Gerak,F3,-0.61,-2.805,-0.467,2,P08,D_telinga
TE,Agem Kanan,1,Gerak,F8,-1.559,-0.781,4.124,2,P08,D_telinga
TE,Agem Kanan,1,Gerak,Fp2,3.15,3.103,7.317,2,P08,D_telinga
TE,Agem Kanan,1,Gerak,T4,-0.888,0.789,6.251,2,P08,D_telinga
TE,Agem Kanan,1,Naik,F7,0.936,5.48,-1.747,1,P08,D_telinga
TE,Agem Kanan,1,Naik,F8,3.435,7.978,4.313,1,P08,D_telinga
TE,Agem Kanan,1,Naik,Fp2,0.274,8.064,4.849,1,P08,D_telinga
TE,Agem Kanan,1,Naik,T3,0.459,4.412,-2.551,1,P08,D_telinga
TE,Agem Kanan,1,Naik,T4,2.812,6.476,6.159,1,P08,D_telinga
TE,Agem Kanan,1,Tahan,C3,-4.563,2.132,-0.003,5,P08,D_telinga
TE,Agem Kanan,1,Tahan,C4,1.024,3.099,1.345,6,P08,D_telinga
TE,Agem Kanan,1,Tahan,F3,-6.194,-0.693,-1.82,2,P08,D_telinga
TE,Agem Kanan,1,Tahan,F4,7.077,5.086,4.557,6,P08,D_telinga
TE,Agem Kanan,1,Tahan,F7,-6.08,-4.119,-3.478,9,P08,D_telinga
TE,Agem Kanan,1,Tahan,F8,5.89,10.275,5.94,3,P08,D_telinga
TE,Agem Kanan,1,Tahan,Fp1,-9.074,-6.288,-5.831,4,P08,D_telinga
TE,Agem Kanan,1,Tahan,Fp2,4.093,7.691,3.607,4,P08,D_telinga
TE,Agem Kanan,1,Tahan,O1,-5.327,-1.826,-2.202,6,P08,D_telinga
