participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,skema
P08,TE,Gerak,12,100.0,0.43,40.5,-0.14,6.6,6.0,100.0,1.74,0.82,D_telinga
P08,TE,Tahan,12,100.0,0.57,58.9,1.14,26.9,10.0,100.0,1.07,0.85,D_telinga
P08,TE,Naik,12,100.0,0.57,44.5,0.68,7.8,7.0,100.0,1.65,0.8,D_telinga
P08,TE,Berdiri,12,100.0,0.51,66.2,1.0,35.8,10.5,100.0,1.12,0.76,D_telinga
P08,TE,Gerak,12,100.0,0.43,59.8,-1.03,10.0,8.0,100.0,1.47,0.85,A_belahan
P08,TE,Tahan,12,100.0,0.57,67.4,0.46,29.1,10.0,100.0,1.22,0.95,A_belahan
P08,TE,Naik,12,100.0,0.57,61.2,0.77,9.1,7.5,100.0,1.59,0.87,A_belahan
P08,TE,Berdiri,12,100.0,0.51,77.1,-0.24,36.5,11.0,100.0,0.95,0.9,A_belahan
P08,TE,Gerak,12,100.0,0.43,46.5,-2.66,7.8,7.0,100.0,1.86,0.6,B_rata16
P08,TE,Tahan,12,100.0,0.57,61.9,-0.74,27.6,10.0,100.0,1.13,0.72,B_rata16
P08,TE,Naik,12,100.0,0.57,53.9,0.28,8.9,7.5,100.0,1.33,0.54,B_rata16
P08,TE,Berdiri,12,100.0,0.51,73.2,-0.01,35.8,11.0,100.0,1.48,0.54,B_rata16
P08,TE,Gerak,12,100.0,0.43,43.5,-1.05,6.9,6.0,87.5,1.39,0.9,C_bipolar
P08,TE,Tahan,12,100.0,0.57,53.2,0.55,23.5,9.0,100.0,1.16,0.96,C_bipolar
P08,TE,Naik,12,100.0,0.57,41.1,0.67,6.0,5.0,100.0,1.75,0.67,C_bipolar
P08,TE,Berdiri,12,100.0,0.51,63.7,0.28,32.6,10.5,100.0,1.01,0.86,C_bipolar
P09,TE,Gerak,12,100.0,0.38,56.5,-0.33,11.2,8.0,93.8,1.38,0.46,D_telinga
P09,TE,Tahan,12,100.0,0.54,39.1,1.8,14.1,7.0,100.0,1.39,0.5,D_telinga
P09,TE,Naik,12,100.0,0.39,33.1,1.36,5.9,5.0,87.5,1.98,0.29,D_telinga
P09,TE,Berdiri,12,100.0,0.5,51.8,0.4,26.4,9.5,100.0,1.12,0.48,D_telinga
P09,TE,Gerak,12,100.0,0.38,67.3,-0.33,11.4,8.0,100.0,1.07,0.68,A_belahan
P09,TE,Tahan,12,100.0,0.54,61.5,1.03,20.1,9.0,100.0,1.66,0.68,A_belahan
