metode,gerakan,rep,fase,kanal,theta_db,mu_db,beta_db,n_potongan,participant_id,varian
TE,Agem Kanan,1,Berdiri,C3,-2.534,-1.537,-3.49,5,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,C4,-2.364,-2.42,-1.603,11,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,F3,2.904,0.824,1.174,2,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,F4,4.743,3.506,2.582,9,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,F7,-2.196,-7.457,-2.139,1,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,F8,6.039,5.366,4.064,11,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,Fp1,-2.004,0.541,-4.052,4,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,Fp2,1.787,1.601,1.134,11,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,O1,-8.25,-4.299,-6.937,1,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,O2,3.073,1.14,1.966,10,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,P3,-5.721,-4.699,-5.33,5,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,P4,1.809,-0.978,-0.885,11,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,T3,-0.549,-0.754,-2.441,1,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,T4,8.411,6.572,2.802,11,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,T5,-4.517,-1.885,-4.365,9,P08,A0_dasar
TE,Agem Kanan,1,Berdiri,T6,-2.478,-2.05,-2.418,10,P08,A0_dasar
TE,Agem Kanan,1,Gerak,F3,10.808,9.3,13.378,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,F7,-1.585,-8.642,-0.807,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,F8,-5.167,-4.181,0.614,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,Fp1,-2.086,1.716,1.074,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,Fp2,0.12,-0.438,2.803,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,O1,2.826,2.781,0.782,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,T3,2.956,-0.527,5.437,2,P08,A0_dasar
TE,Agem Kanan,1,Gerak,T4,2.027,1.288,4.104,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,F7,2.745,7.27,3.812,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,F8,4.058,5.486,4.542,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,Fp1,-1.299,5.977,4.158,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,Fp2,1.639,5.871,5.71,1,P08,A0_dasar
TE,Agem Kanan,1,Naik,O1,-2.524,-4.0,-1.767,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,T3,-0.79,8.36,4.711,2,P08,A0_dasar
TE,Agem Kanan,1,Naik,T4,3.994,10.987,6.569,2,P08,A0_dasar
TE,Agem Kanan,1,Tahan,C3,-0.384,4.724,1.798,6,P08,A0_dasar
TE,Agem Kanan,1,Tahan,C4,5.634,5.665,4.599,10,P08,A0_dasar
TE,Agem Kanan,1,Tahan,F3,-4.458,0.853,0.315,3,P08,A0_dasar
TE,Agem Kanan,1,Tahan,F4,7.662,9.566,10.052,7,P08,A0_dasar
TE,Agem Kanan,1,Tahan,F7,2.256,4.946,2.216,10,P08,A0_dasar
TE,Agem Kanan,1,Tahan,F8,8.083,10.757,8.254,8,P08,A0_dasar
TE,Agem Kanan,1,Tahan,Fp1,4.049,5.746,1.899,9,P08,A0_dasar
TE,Agem Kanan,1,Tahan,Fp2,6.376,7.219,3.973,4,P08,A0_dasar
TE,Agem Kanan,1,Tahan,O1,-4.833,-2.302,-3.068,6,P08,A0_dasar
TE,Agem Kanan,1,Tahan,O2,3.955,3.801,4.621,9,P08,A0_dasar
TE,Agem Kanan,1,Tahan,P3,-0.866,1.895,1.347,3,P08,A0_dasar
TE,Agem Kanan,1,Tahan,P4,9.742,9.373,5.868,10,P08,A0_dasar
TE,Agem Kanan,1,Tahan,T3,-3.945,2.925,2.676,5,P08,A0_dasar
TE,Agem Kanan,1,Tahan,T4,12.552,10.19,10.693,8,P08,A0_dasar
TE,Agem Kanan,1,Tahan,T5,0.026,-1.256,-1.599,7,P08,A0_dasar
TE,Agem Kanan,1,Tahan,T6,1.604,4.346,0.659,6,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,C3,1.495,0.036,-0.838,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,C4,-4.574,-2.27,-2.952,9,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,F3,-1.578,1.391,0.513,12,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,F4,1.029,0.9,-1.017,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,F7,-0.068,2.837,0.776,11,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,F8,4.553,4.046,1.178,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,Fp2,3.092,1.523,1.072,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,O1,0.251,-0.597,-0.225,9,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,O2,3.236,2.242,0.287,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,P3,-2.678,-3.697,-1.754,13,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,P4,0.204,0.846,-1.327,10,P08,A0_dasar
TE,Agem Kanan,2,Berdiri,T3,0.078,-0.613,-1.19,9,P08,A0_dasar
