participant_id,varian,datar_asli,dikeluarkan,interpolasi
P08,A0_dasar,25.3,0.3,0.0
P08,A1_rekaman,25.3,0.3,0.0
P08,A2_robust,25.3,1.7,0.0
P08,A3_median,25.3,2.6,0.0
P08,A4_robust_int,25.3,0.8,6.4
P09,A0_dasar,23.2,1.2,0.0
P09,A1_rekaman,23.2,1.2,0.0
P09,A2_robust,23.2,4.7,0.0
P09,A3_median,23.2,2.9,0.0
P09,A4_robust_int,23.2,1.6,7.4
P31,A0_dasar,17.5,0.5,0.0
P31,A1_rekaman,17.5,0.5,0.0
P31,A2_robust,17.5,3.5,0.0
P31,A3_median,17.5,1.2,0.0
P31,A4_robust_int,17.5,0.7,8.1
P32,A0_dasar,24.1,0.2,0.0
P32,A1_rekaman,24.1,0.2,0.0
P32,A2_robust,24.1,3.9,0.0
P32,A3_median,24.1,3.0,0.0
P32,A4_robust_int,24.1,0.5,9.8
