participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P08,TE,Gerak,12,100.0,0.43,59.8,-1.03,10.0,8.0,100.0,1.47,0.85,A0_dasar
P08,TE,Tahan,12,100.0,0.57,67.4,0.46,29.1,10.0,100.0,1.22,0.95,A0_dasar
P08,TE,Naik,12,100.0,0.57,61.2,0.77,9.1,7.5,100.0,1.59,0.87,A0_dasar
P08,TE,Berdiri,12,100.0,0.51,77.1,-0.24,36.5,11.0,100.0,0.95,0.9,A0_dasar
P08,TE,Gerak,12,100.0,0.43,59.8,-1.03,10.0,8.0,100.0,1.47,0.85,A1_rekaman
P08,TE,Tahan,12,100.0,0.57,67.4,0.46,29.1,10.0,100.0,1.22,0.95,A1_rekaman
P08,TE,Naik,12,100.0,0.57,61.2,0.77,9.1,7.5,100.0,1.59,0.87,A1_rekaman
P08,TE,Berdiri,12,100.0,0.51,77.1,-0.24,36.5,11.0,100.0,0.95,0.9,A1_rekaman
P08,TE,Gerak,12,100.0,0.43,59.2,-0.94,10.0,8.0,100.0,1.49,0.81,A2_robust
P08,TE,Tahan,12,100.0,0.57,66.9,0.31,28.6,10.0,100.0,1.2,0.95,A2_robust
P08,TE,Naik,12,100.0,0.57,60.7,0.45,9.1,7.5,100.0,1.54,0.83,A2_robust
P08,TE,Berdiri,12,100.0,0.51,76.3,-0.26,36.5,11.0,100.0,1.06,0.88,A2_robust
P08,TE,Gerak,12,100.0,0.43,58.8,-0.38,9.8,8.0,100.0,1.89,0.8,A3_median
P08,TE,Tahan,12,100.0,0.57,63.6,0.5,29.5,10.0,100.0,1.26,0.95,A3_median
P08,TE,Naik,12,100.0,0.57,56.5,0.58,8.0,7.0,100.0,1.67,0.83,A3_median
P08,TE,Berdiri,12,100.0,0.51,75.1,0.15,35.9,11.0,100.0,1.17,0.92,A3_median
P08,TE,Gerak,12,100.0,0.43,67.5,-1.05,11.1,9.0,100.0,1.4,0.8,A4_robust_int
P08,TE,Tahan,12,100.0,0.57,72.3,0.2,31.0,11.0,100.0,1.16,0.91,A4_robust_int
P08,TE,Naik,12,100.0,0.57,67.2,0.81,12.0,10.0,100.0,1.5,0.81,A4_robust_int
P08,TE,Berdiri,12,100.0,0.51,82.8,-0.37,40.6,12.0,100.0,0.99,0.92,A4_robust_int
P09,TE,Gerak,12,100.0,0.38,67.3,-0.33,11.4,8.0,100.0,1.07,0.68,A0_dasar
P09,TE,Tahan,12,100.0,0.54,61.5,1.03,20.1,9.0,100.0,1.66,0.68,A0_dasar
P09,TE,Naik,12,100.0,0.39,54.9,0.16,8.8,7.0,100.0,1.73,0.36,A0_dasar
P09,TE,Berdiri,12,100.0,0.5,65.5,0.7,30.5,10.0,100.0,1.04,0.8,A0_dasar
P09,TE,Gerak,12,100.0,0.38,67.3,-0.33,11.4,8.0,100.0,1.07,0.68,A1_rekaman
P09,TE,Tahan,12,100.0,0.54,61.5,1.03,20.1,9.0,100.0,1.66,0.68,A1_rekaman
P09,TE,Naik,12,100.0,0.39,54.9,0.16,8.8,7.0,100.0,1.73,0.36,A1_rekaman
P09,TE,Berdiri,12,100.0,0.5,65.5,0.7,30.5,10.0,100.0,1.04,0.8,A1_rekaman
P09,TE,Gerak,12,100.0,0.38,65.5,-0.56,11.4,8.0,100.0,1.11,0.73,A2_robust
P09,TE,Tahan,12,100.0,0.54,61.5,0.66,20.1,9.0,100.0,1.57,0.53,A2_robust
P09,TE,Naik,12,100.0,0.39,54.7,0.03,8.6,7.0,100.0,1.78,0.47,A2_robust
P09,TE,Berdiri,12,100.0,0.5,64.7,0.44,30.8,10.0,100.0,1.07,0.83,A2_robust
P09,TE,Gerak,12,100.0,0.38,63.5,-0.55,11.2,8.0,100.0,1.13,0.64,A3_median
P09,TE,Tahan,12,100.0,0.54,60.1,0.6,19.1,9.0,100.0,1.47,0.66,A3_median
P09,TE,Naik,12,100.0,0.39,52.1,0.03,8.8,7.0,100.0,1.64,0.52,A3_median
P09,TE,Berdiri,12,100.0,0.5,63.8,0.55,30.4,10.0,100.0,1.12,0.79,A3_median
P09,TE,Gerak,12,100.0,0.38,73.0,-0.57,12.8,9.0,100.0,1.11,0.64,A4_robust_int
P09,TE,Tahan,12,100.0,0.54,66.9,0.65,21.1,10.0,100.0,1.42,0.49,A4_robust_int
P09,TE,Naik,12,100.0,0.39,61.2,-0.07,9.0,7.5,100.0,1.62,0.4,A4_robust_int
P09,TE,Berdiri,12,100.0,0.5,70.8,0.48,32.6,10.0,100.0,0.99,0.79,A4_robust_int
P31,TE,Gerak,10,100.0,0.41,52.9,2.27,8.8,7.0,93.8,1.31,0.92,A0_dasar
P31,TE,Tahan,10,100.0,0.54,58.5,1.43,17.9,7.5,100.0,1.29,0.89,A0_dasar
P31,TE,Naik,10,100.0,0.59,40.6,4.08,5.5,5.0,81.2,1.66,0.84,A0_dasar
P31,TE,Berdiri,10,100.0,0.53,63.9,0.1,27.1,8.0,100.0,1.09,0.94,A0_dasar
P31,TE,Gerak,10,100.0,0.41,52.9,2.27,8.8,7.0,93.8,1.31,0.92,A1_rekaman
P31,TE,Tahan,10,100.0,0.54,58.5,1.43,17.9,7.5,100.0,1.29,0.89,A1_rekaman
P31,TE,Naik,10,100.0,0.59,40.6,4.08,5.5,5.0,81.2,1.66,0.84,A1_rekaman
P31,TE,Berdiri,10,100.0,0.53,63.9,0.1,27.1,8.0,100.0,1.09,0.94,A1_rekaman
P31,TE,Gerak,10,100.0,0.41,53.1,2.21,8.8,7.0,100.0,1.4,0.92,A2_robust
P31,TE,Tahan,10,100.0,0.54,57.2,1.34,18.2,7.5,100.0,1.35,0.91,A2_robust
P31,TE,Naik,10,100.0,0.59,40.6,4.02,5.4,5.0,81.2,1.68,0.83,A2_robust
P31,TE,Berdiri,10,100.0,0.53,62.6,-0.07,27.1,8.0,100.0,1.11,0.95,A2_robust
P31,TE,Gerak,10,100.0,0.41,52.6,3.42,8.9,7.0,87.5,1.26,0.92,A3_median
P31,TE,Tahan,10,100.0,0.54,56.2,1.92,16.4,7.0,100.0,1.35,0.9,A3_median
P31,TE,Naik,10,100.0,0.59,40.6,4.54,5.6,5.0,81.2,2.09,0.67,A3_median
P31,TE,Berdiri,10,100.0,0.53,63.2,0.68,27.5,8.0,100.0,1.02,0.91,A3_median
P31,TE,Gerak,10,100.0,0.41,59.6,2.31,9.4,8.0,100.0,1.35,0.92,A4_robust_int
P31,TE,Tahan,10,100.0,0.54,63.1,1.15,20.4,8.0,100.0,1.23,0.94,A4_robust_int
P31,TE,Naik,10,100.0,0.59,41.9,3.97,5.4,5.0,81.2,1.72,0.81,A4_robust_int
P31,TE,Berdiri,10,100.0,0.53,68.3,-0.48,28.4,8.0,100.0,1.06,0.96,A4_robust_int
P32,TE,Gerak,12,100.0,0.52,28.0,4.52,4.1,3.0,68.8,1.29,0.54,A0_dasar
P32,TE,Tahan,12,83.3,0.51,41.8,5.16,9.2,6.0,93.8,1.35,0.66,A0_dasar
P32,TE,Naik,12,100.0,0.43,47.5,3.82,7.8,6.5,100.0,1.31,0.65,A0_dasar
P32,TE,Berdiri,12,100.0,0.53,50.0,2.4,29.0,10.0,100.0,0.93,0.78,A0_dasar
P32,TE,Gerak,12,100.0,0.52,28.0,4.52,4.1,3.0,68.8,1.29,0.54,A1_rekaman
P32,TE,Tahan,12,83.3,0.51,41.8,5.16,9.2,6.0,93.8,1.35,0.66,A1_rekaman
P32,TE,Naik,12,100.0,0.43,47.5,3.82,7.8,6.5,100.0,1.31,0.65,A1_rekaman
P32,TE,Berdiri,12,100.0,0.53,50.0,2.4,29.0,10.0,100.0,0.93,0.78,A1_rekaman
P32,TE,Gerak,12,100.0,0.52,30.1,3.74,4.2,3.5,68.8,1.39,0.6,A2_robust
P32,TE,Tahan,12,83.3,0.51,44.5,4.32,10.5,6.5,93.8,1.34,0.66,A2_robust
P32,TE,Naik,12,100.0,0.43,48.8,3.28,8.0,6.5,100.0,1.24,0.69,A2_robust
P32,TE,Berdiri,12,100.0,0.53,50.3,1.93,30.9,10.5,100.0,0.95,0.84,A2_robust
P32,TE,Gerak,12,100.0,0.52,25.7,4.93,3.4,2.5,50.0,1.64,-0.31,A3_median
P32,TE,Tahan,12,83.3,0.51,43.0,5.02,10.5,7.0,93.8,1.51,0.67,A3_median
P32,TE,Naik,12,100.0,0.43,46.2,3.88,7.2,6.0,100.0,1.38,0.61,A3_median
P32,TE,Berdiri,12,100.0,0.53,47.8,2.11,28.5,10.0,100.0,1.01,0.88,A3_median
P32,TE,Gerak,12,100.0,0.52,31.2,3.67,5.1,4.0,68.8,1.31,0.6,A4_robust_int
P32,TE,Tahan,12,83.3,0.51,50.3,4.42,11.6,7.0,100.0,1.27,0.69,A4_robust_int
P32,TE,Naik,12,100.0,0.43,49.8,3.48,8.6,7.0,100.0,1.24,0.65,A4_robust_int
P32,TE,Berdiri,12,100.0,0.53,56.2,1.86,33.6,11.0,100.0,0.89,0.86,A4_robust_int
