participant_id,varian,istirahat_theta_db,istirahat_mu_db,istirahat_beta_db,istirahat_otot_db
P08,T4_tandai,0.0,0.0,0.0,0.0
P08,T4_ASR20,0.0,0.0,0.0,0.0
P08,T4_ASR10,-0.01,-0.0,-0.01,-0.02
P08,T4_ASR5,-0.39,-0.25,-0.18,-0.24
P08,T4_adaptif,-0.05,-0.04,-0.02,-0.01
P09,T4_tandai,0.0,0.0,0.0,0.0
P09,T4_ASR20,0.0,0.0,0.0,0.0
P09,T4_ASR10,0.02,-0.0,0.0,0.0
P09,T4_ASR5,-0.11,-0.11,-0.03,-0.03
P09,T4_adaptif,0.0,0.0,0.0,0.0
P31,T4_tandai,0.0,0.0,0.0,0.0
P31,T4_ASR20,0.0,0.0,0.0,0.0
P31,T4_ASR10,-0.03,-0.01,-0.01,-0.0
P31,T4_ASR5,-0.26,-0.2,-0.16,-0.11
P31,T4_adaptif,0.0,0.0,0.0,0.0
P32,T4_tandai,0.0,0.0,0.0,0.0
P32,T4_ASR20,0.0,0.0,0.01,0.03
P32,T4_ASR10,-0.0,-0.0,0.01,0.05
P32,T4_ASR5,-0.16,-0.16,-0.09,-0.02
P32,T4_adaptif,0.11,0.08,0.11,0.05
