participant_id,varian,kalibrasi_kiri_dtk,asr_kiri,pct_waktu_direkonstruksi_kiri,kalibrasi_kanan_dtk,asr_kanan,pct_waktu_direkonstruksi_kanan,ambang_Fp1,ambang_F3,ambang_C3,ambang_P3,ambang_O1,ambang_F7,ambang_T3,ambang_T5,ambang_Fp2,ambang_F4,ambang_C4,ambang_P4,ambang_O2,ambang_F8,ambang_T4,ambang_T6
P08,T4_tandai,,,,,,,,,,,,,,,,,,,,,,
P08,T4_ASR20,24.0,ok,4.6,97.0,ok,14.8,,,,,,,,,,,,,,,,
P08,T4_ASR10,24.0,ok,9.7,97.0,ok,24.0,,,,,,,,,,,,,,,,
P08,T4_ASR5,24.0,ok,29.2,97.0,ok,38.9,,,,,,,,,,,,,,,,
P08,T4_adaptif,,,,,,,142.9,65.6,151.8,96.4,146.3,96.6,112.7,300.0,63.2,55.6,81.0,50.0,73.9,58.8,50.0,66.5
P09,T4_tandai,,,,,,,,,,,,,,,,,,,,,,
P09,T4_ASR20,94.0,ok,7.1,20.0,ok,22.2,,,,,,,,,,,,,,,,
P09,T4_ASR10,94.0,ok,13.2,20.0,ok,36.8,,,,,,,,,,,,,,,,
P09,T4_ASR5,94.0,ok,20.8,20.0,ok,54.1,,,,,,,,,,,,,,,,
P09,T4_adaptif,,,,,,,119.9,163.5,112.0,70.0,153.7,178.5,150.2,133.2,293.8,156.1,131.1,168.9,152.8,300.0,300.0,300.0
P31,T4_tandai,,,,,,,,,,,,,,,,,,,,,,
P31,T4_ASR20,69.0,ok,6.2,118.0,ok,31.9,,,,,,,,,,,,,,,,
P31,T4_ASR10,69.0,ok,15.1,118.0,ok,40.2,,,,,,,,,,,,,,,,
P31,T4_ASR5,69.0,ok,28.0,118.0,ok,46.3,,,,,,,,,,,,,,,,
P31,T4_adaptif,,,,,,,224.7,171.8,111.2,132.5,300.0,101.0,177.8,246.4,52.4,156.7,241.0,51.6,132.9,300.0,57.9,100.0
P32,T4_tandai,,,,,,,,,,,,,,,,,,,,,,
P32,T4_ASR20,31.0,ok,18.4,68.0,ok,28.8,,,,,,,,,,,,,,,,
P32,T4_ASR10,31.0,ok,32.4,68.0,ok,40.2,,,,,,,,,,,,,,,,
P32,T4_ASR5,31.0,ok,43.0,68.0,ok,51.4,,,,,,,,,,,,,,,,
P32,T4_adaptif,,,,,,,300.0,107.8,110.7,116.7,204.3,150.8,139.0,140.0,300.0,158.1,186.5,177.3,96.3,300.0,164.7,233.6
