participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P08,TE,Gerak,12,100.0,0.43,59.2,-0.94,10.0,8.0,100.0,1.49,0.81,T4_tandai
P08,TE,Tahan,12,100.0,0.57,66.9,0.31,28.6,10.0,100.0,1.2,0.95,T4_tandai
P08,TE,Naik,12,100.0,0.57,60.7,0.45,9.1,7.5,100.0,1.54,0.83,T4_tandai
P08,TE,Berdiri,12,100.0,0.51,76.3,-0.26,36.5,11.0,100.0,1.06,0.88,T4_tandai
P08,TE,Gerak,12,100.0,0.43,65.8,-1.0,10.0,8.0,100.0,1.51,0.86,T4_ASR20
P08,TE,Tahan,12,100.0,0.57,68.7,0.32,29.5,10.0,100.0,1.22,0.95,T4_ASR20
P08,TE,Naik,12,100.0,0.57,65.1,0.39,9.9,8.0,100.0,1.59,0.87,T4_ASR20
P08,TE,Berdiri,12,100.0,0.51,76.4,-0.29,36.5,11.0,100.0,1.03,0.87,T4_ASR20
P08,TE,Gerak,12,100.0,0.43,69.8,-0.96,10.0,8.0,100.0,1.36,0.85,T4_ASR10
P08,TE,Tahan,12,100.0,0.57,69.7,0.15,29.5,10.0,100.0,1.15,0.93,T4_ASR10
P08,TE,Naik,12,100.0,0.57,68.2,0.25,9.9,8.0,100.0,1.48,0.79,T4_ASR10
P08,TE,Berdiri,12,100.0,0.51,76.5,-0.37,36.4,11.0,100.0,1.01,0.87,T4_ASR10
P08,TE,Gerak,12,100.0,0.43,71.2,-1.94,10.0,8.0,100.0,1.2,0.79,T4_ASR5
P08,TE,Tahan,12,100.0,0.57,70.2,-0.39,29.5,10.0,100.0,1.02,0.89,T4_ASR5
P08,TE,Naik,12,100.0,0.57,68.5,-0.34,9.9,8.0,100.0,1.33,0.64,T4_ASR5
P08,TE,Berdiri,12,100.0,0.51,76.9,-1.17,36.5,11.0,100.0,0.87,0.85,T4_ASR5
P08,TE,Gerak,12,100.0,0.43,44.8,-0.86,8.4,7.0,93.8,1.43,0.66,T4_adaptif
P08,TE,Tahan,12,100.0,0.57,60.2,0.4,27.2,10.0,100.0,1.1,0.89,T4_adaptif
P08,TE,Naik,12,100.0,0.57,48.7,0.54,6.9,5.5,93.8,1.27,0.54,T4_adaptif
P08,TE,Berdiri,12,100.0,0.51,72.6,-0.16,35.0,11.0,100.0,1.0,0.85,T4_adaptif
P09,TE,Gerak,12,100.0,0.38,65.5,-0.56,11.4,8.0,100.0,1.11,0.73,T4_tandai
P09,TE,Tahan,12,100.0,0.54,61.5,0.66,20.1,9.0,100.0,1.57,0.53,T4_tandai
P09,TE,Naik,12,100.0,0.39,54.7,0.03,8.6,7.0,100.0,1.78,0.47,T4_tandai
P09,TE,Berdiri,12,100.0,0.5,64.7,0.44,30.8,10.0,100.0,1.07,0.83,T4_tandai
P09,TE,Gerak,12,100.0,0.38,67.9,-0.55,11.4,8.0,100.0,1.1,0.7,T4_ASR20
P09,TE,Tahan,12,100.0,0.54,63.8,0.41,21.1,10.0,100.0,1.55,0.66,T4_ASR20
P09,TE,Naik,12,100.0,0.39,56.5,-0.15,8.8,7.0,100.0,1.75,0.36,T4_ASR20
P09,TE,Berdiri,12,100.0,0.5,67.0,0.53,30.8,10.0,100.0,1.05,0.86,T4_ASR20
P09,TE,Gerak,12,100.0,0.38,70.0,-0.53,11.9,8.5,100.0,1.07,0.74,T4_ASR10
P09,TE,Tahan,12,100.0,0.54,67.7,-0.01,22.4,10.0,100.0,1.42,0.75,T4_ASR10
P09,TE,Naik,12,100.0,0.39,60.2,-0.18,8.8,7.0,100.0,1.37,0.55,T4_ASR10
