metode,gerakan,rep,fase,kanal,theta_db,mu_db,beta_db,n_potongan,participant_id,varian
TE,Agem Kanan,1,Berdiri,C3,-2.449,-1.486,-3.466,5,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,C4,-2.358,-2.404,-1.591,11,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,F3,3.065,0.978,1.313,2,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,F4,4.733,3.508,2.574,9,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,F7,-1.828,-7.063,-1.948,1,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,F8,6.026,5.357,4.077,11,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,Fp1,-1.602,0.849,-3.969,4,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,Fp2,1.795,1.606,1.14,11,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,O1,-8.078,-4.155,-6.791,1,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,O2,3.083,1.139,1.966,10,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,P3,-5.618,-4.747,-5.413,5,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,P4,1.818,-0.953,-0.874,11,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,T3,-0.259,-0.471,-2.21,1,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,T4,8.411,6.555,2.82,11,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,T5,-4.203,-1.66,-4.07,9,P08,T5_dasar
TE,Agem Kanan,1,Berdiri,T6,-2.441,-2.037,-2.39,10,P08,T5_dasar
TE,Agem Kanan,1,Gerak,F3,10.969,9.454,13.517,2,P08,T5_dasar
TE,Agem Kanan,1,Gerak,F7,-1.216,-8.248,-0.617,2,P08,T5_dasar
TE,Agem Kanan,1,Gerak,F8,-5.158,-4.174,0.63,2,P08,T5_dasar
TE,Agem Kanan,1,Gerak,Fp1,-1.684,2.025,1.157,2,P08,T5_dasar
TE,Agem Kanan,1,Gerak,Fp2,0.129,-0.434,2.809,2,P08,T5_dasar
