participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P08,TE,Gerak,12,100.0,0.43,65.8,-1.0,10.0,8.0,100.0,1.51,0.86,T5_dasar
P08,TE,Tahan,12,100.0,0.57,68.7,0.32,29.5,10.0,100.0,1.22,0.95,T5_dasar
P08,TE,Naik,12,100.0,0.57,65.1,0.39,9.9,8.0,100.0,1.59,0.87,T5_dasar
P08,TE,Berdiri,12,100.0,0.51,76.4,-0.29,36.5,11.0,100.0,1.03,0.87,T5_dasar
P08,TE,Gerak,12,100.0,0.43,67.2,-0.75,10.0,8.0,100.0,1.41,0.89,T5_ICA_mata
P08,TE,Tahan,12,100.0,0.57,68.7,0.35,29.5,10.0,100.0,1.19,0.96,T5_ICA_mata
P08,TE,Naik,12,100.0,0.57,64.1,0.45,9.9,8.0,100.0,1.72,0.88,T5_ICA_mata
P08,TE,Berdiri,12,100.0,0.51,77.2,-0.27,36.5,11.0,100.0,0.88,0.86,T5_ICA_mata
P08,TE,Gerak,12,100.0,0.43,67.2,-0.75,10.0,8.0,100.0,1.41,0.89,T5_ICA_mata_otot
P08,TE,Tahan,12,100.0,0.57,68.7,0.35,29.5,10.0,100.0,1.19,0.96,T5_ICA_mata_otot
P08,TE,Naik,12,100.0,0.57,64.1,0.45,9.9,8.0,100.0,1.72,0.88,T5_ICA_mata_otot
P08,TE,Berdiri,12,100.0,0.51,77.2,-0.27,36.5,11.0,100.0,0.88,0.86,T5_ICA_mata_otot
P08,TE,Gerak,12,100.0,0.43,66.0,-0.65,10.0,8.0,100.0,1.48,0.85,T5_CCA_otot
P08,TE,Tahan,12,100.0,0.57,68.8,0.52,29.5,10.0,100.0,1.2,0.96,T5_CCA_otot
P08,TE,Naik,12,100.0,0.57,65.1,0.8,9.9,8.0,100.0,1.59,0.86,T5_CCA_otot
P08,TE,Berdiri,12,100.0,0.51,76.4,-0.12,36.5,11.0,100.0,1.03,0.86,T5_CCA_otot
P08,TE,Gerak,12,100.0,0.43,56.2,-0.74,9.5,8.0,87.5,1.64,0.87,T5_regresi_mata
P08,TE,Tahan,12,100.0,0.57,57.3,0.07,28.4,10.0,87.5,1.33,0.94,T5_regresi_mata
P08,TE,Naik,12,100.0,0.57,53.4,0.67,8.5,7.0,87.5,1.88,0.88,T5_regresi_mata
P08,TE,Berdiri,12,100.0,0.51,65.6,-0.07,34.8,11.0,87.5,1.1,0.84,T5_regresi_mata
P08,TE,Gerak,12,100.0,0.43,67.2,-0.34,10.0,8.0,100.0,1.41,0.89,T5_ICAmata_CCAotot
P08,TE,Tahan,12,100.0,0.57,68.8,0.47,29.5,10.0,100.0,1.2,0.96,T5_ICAmata_CCAotot
P08,TE,Naik,12,100.0,0.57,64.1,0.71,9.9,8.0,100.0,1.72,0.87,T5_ICAmata_CCAotot
P08,TE,Berdiri,12,100.0,0.51,77.2,-0.17,36.5,11.0,100.0,0.88,0.86,T5_ICAmata_CCAotot
P09,TE,Gerak,12,100.0,0.38,67.9,-0.55,11.4,8.0,100.0,1.1,0.7,T5_dasar
P09,TE,Tahan,12,100.0,0.54,63.8,0.41,21.1,10.0,100.0,1.55,0.66,T5_dasar
P09,TE,Naik,12,100.0,0.39,56.5,-0.15,8.8,7.0,100.0,1.75,0.36,T5_dasar
P09,TE,Berdiri,12,100.0,0.5,67.0,0.53,30.8,10.0,100.0,1.05,0.86,T5_dasar
P09,TE,Gerak,12,100.0,0.38,67.9,-0.55,11.4,8.0,100.0,1.1,0.7,T5_ICA_mata
P09,TE,Tahan,12,100.0,0.54,63.8,0.41,21.1,10.0,100.0,1.55,0.66,T5_ICA_mata
P09,TE,Naik,12,100.0,0.39,56.5,-0.15,8.8,7.0,100.0,1.75,0.36,T5_ICA_mata
P09,TE,Berdiri,12,100.0,0.5,67.0,0.53,30.8,10.0,100.0,1.05,0.86,T5_ICA_mata
P09,TE,Gerak,12,100.0,0.38,67.9,-0.55,11.4,8.0,100.0,1.1,0.7,T5_ICA_mata_otot
P09,TE,Tahan,12,100.0,0.54,63.8,0.41,21.1,10.0,100.0,1.55,0.66,T5_ICA_mata_otot
P09,TE,Naik,12,100.0,0.39,56.5,-0.15,8.8,7.0,100.0,1.75,0.36,T5_ICA_mata_otot
P09,TE,Berdiri,12,100.0,0.5,67.0,0.53,30.8,10.0,100.0,1.05,0.86,T5_ICA_mata_otot
P09,TE,Gerak,12,100.0,0.38,68.1,-1.03,11.4,8.0,100.0,1.15,0.81,T5_CCA_otot
P09,TE,Tahan,12,100.0,0.54,63.8,0.65,21.1,10.0,100.0,1.6,0.68,T5_CCA_otot
P09,TE,Naik,12,100.0,0.39,56.5,0.31,8.8,7.0,100.0,1.74,0.33,T5_CCA_otot
P09,TE,Berdiri,12,100.0,0.5,67.0,0.38,30.8,10.0,100.0,1.06,0.88,T5_CCA_otot
P09,TE,Gerak,12,100.0,0.38,56.7,-1.29,11.2,8.0,87.5,1.26,0.4,T5_regresi_mata
P09,TE,Tahan,12,100.0,0.54,53.7,0.52,20.5,9.0,87.5,1.71,0.5,T5_regresi_mata
P09,TE,Naik,12,100.0,0.39,47.7,0.11,8.5,7.0,87.5,1.73,0.54,T5_regresi_mata
P09,TE,Berdiri,12,100.0,0.5,56.9,0.03,30.0,10.0,87.5,1.12,0.82,T5_regresi_mata
P09,TE,Gerak,12,100.0,0.38,68.1,-1.03,11.4,8.0,100.0,1.15,0.81,T5_ICAmata_CCAotot
P09,TE,Tahan,12,100.0,0.54,63.8,0.65,21.1,10.0,100.0,1.6,0.68,T5_ICAmata_CCAotot
P09,TE,Naik,12,100.0,0.39,56.5,0.31,8.8,7.0,100.0,1.74,0.33,T5_ICAmata_CCAotot
P09,TE,Berdiri,12,100.0,0.5,67.0,0.38,30.8,10.0,100.0,1.06,0.88,T5_ICAmata_CCAotot
