c_min,r_min,fase,pct_repetisi_lolos_R1,pct_sel_lolos_R2,median_rep_per_sel
0.0,2,Gerak,63.6,98.4,8.0
0.0,2,Tahan,79.0,100.0,9.0
0.0,2,Naik,62.4,100.0,7.0
0.0,2,Berdiri,86.8,100.0,10.0
0.0,3,Gerak,63.6,93.8,8.0
0.0,3,Tahan,79.0,100.0,9.0
0.0,3,Naik,62.4,100.0,7.0
0.0,3,Berdiri,86.8,100.0,10.0
0.0,4,Gerak,63.6,89.1,8.0
0.0,4,Tahan,79.0,96.9,9.0
0.0,4,Naik,62.4,98.4,7.0
0.0,4,Berdiri,86.8,100.0,10.0
0.25,2,Gerak,63.6,98.4,8.0
0.25,2,Tahan,79.0,100.0,9.0
0.25,2,Naik,62.4,100.0,7.0
0.25,2,Berdiri,85.3,100.0,10.0
0.25,3,Gerak,63.6,93.8,8.0
0.25,3,Tahan,79.0,100.0,9.0
0.25,3,Naik,62.4,100.0,7.0
0.25,3,Berdiri,85.3,100.0,10.0
0.25,4,Gerak,63.6,89.1,8.0
0.25,4,Tahan,79.0,96.9,9.0
0.25,4,Naik,62.4,98.4,7.0
0.25,4,Berdiri,85.3,100.0,10.0
0.5,2,Gerak,63.6,98.4,8.0
0.5,2,Tahan,72.3,100.0,8.0
0.5,2,Naik,62.4,100.0,7.0
0.5,2,Berdiri,76.9,100.0,9.0
0.5,3,Gerak,63.6,93.8,8.0
0.5,3,Tahan,72.3,100.0,8.0
0.5,3,Naik,62.4,100.0,7.0
0.5,3,Berdiri,76.9,100.0,9.0
0.5,4,Gerak,63.6,89.1,8.0
0.5,4,Tahan,72.3,96.9,8.0
0.5,4,Naik,62.4,98.4,7.0
0.5,4,Berdiri,76.9,100.0,9.0
0.75,2,Gerak,61.5,96.9,8.0
0.75,2,Tahan,56.7,100.0,6.0
0.75,2,Naik,62.0,100.0,7.0
0.75,2,Berdiri,63.2,100.0,8.0
0.75,3,Gerak,61.5,93.8,8.0
0.75,3,Tahan,56.7,96.9,6.0
0.75,3,Naik,62.0,100.0,7.0
0.75,3,Berdiri,63.2,95.3,8.0
0.75,4,Gerak,61.5,89.1,8.0
0.75,4,Tahan,56.7,90.6,6.0
0.75,4,Naik,62.0,98.4,7.0
0.75,4,Berdiri,63.2,92.2,8.0
