participant_id,fase,kanal,n_rep,theta_db,theta_se,mu_db,mu_se,beta_db,beta_se,otot_db,otot_se,theta_m2b_db,theta_m2b_se,mu_m2b_db,mu_m2b_se,beta_m2b_db,beta_m2b_se,gerakan,lolos_R2
P08,Berdiri,C3,9,0.553,1.023,-0.869,0.9,-0.207,1.343,-0.966,1.334,0.499,0.545,-0.923,0.578,-0.261,0.386,Semua,True
P08,Berdiri,C4,10,0.566,1.288,1.357,1.363,0.904,0.948,0.337,0.973,-0.574,0.599,0.217,0.494,-0.236,0.391,Semua,True
P08,Berdiri,F3,6,0.805,1.97,0.589,1.882,1.519,0.784,1.004,0.933,-0.59,0.965,-0.806,0.926,0.124,0.496,Semua,True
P08,Berdiri,F4,12,3.647,1.14,3.189,0.704,2.388,0.692,2.148,0.643,0.186,0.531,-0.272,0.538,-1.074,0.573,Semua,True
P08,Berdiri,F7,8,2.34,1.8,1.761,2.053,1.522,1.236,1.228,1.269,0.383,0.319,-0.197,0.612,-0.436,0.363,Semua,True
P08,Berdiri,F8,12,6.527,0.848,4.494,0.947,3.632,0.952,2.945,0.948,1.189,0.612,-0.844,0.54,-1.706,0.708,Semua,True
P08,Berdiri,Fp1,5,-0.502,1.102,0.758,1.151,-0.763,1.413,-1.351,1.217,-0.39,1.088,0.871,0.42,-0.651,0.39,Semua,True
P08,Berdiri,Fp2,11,4.193,0.913,1.895,1.094,2.078,0.85,1.123,0.904,1.226,0.511,-1.073,0.639,-0.889,0.477,Semua,True
P08,Berdiri,O1,8,0.537,2.402,0.215,1.891,0.057,1.967,0.069,1.918,0.01,0.809,-0.311,0.71,-0.469,0.489,Semua,True
P08,Berdiri,O2,10,3.471,1.084,3.061,1.005,3.129,0.662,2.223,0.78,-0.084,0.714,-0.494,0.61,-0.426,0.543,Semua,True
P08,Berdiri,P3,8,-0.805,1.076,-0.743,1.167,0.354,1.253,0.106,1.153,-0.722,0.454,-0.66,0.484,0.437,0.336,Semua,True
P08,Berdiri,P4,10,3.876,1.072,-0.215,1.021,0.789,0.741,0.139,0.789,2.002,0.348,-2.09,0.617,-1.085,0.344,Semua,True
P08,Berdiri,T3,8,2.741,1.587,1.749,1.7,2.379,1.344,1.932,1.292,0.255,0.415,-0.737,0.676,-0.107,0.304,Semua,True
P08,Berdiri,T4,12,8.475,1.164,4.589,1.15,2.069,0.866,1.177,0.687,2.907,0.379,-0.979,0.547,-3.499,0.46,Semua,True
P08,Berdiri,T5,8,-3.033,3.357,-2.788,2.403,-2.588,2.142,-2.594,2.243,-0.786,1.21,-0.541,0.741,-0.342,0.596,Semua,True
P08,Berdiri,T6,10,1.212,1.144,-0.546,0.842,-1.142,0.502,-1.696,0.675,1.152,0.711,-0.607,0.549,-1.202,0.49,Semua,True
P08,Buka Mata,C3,1,2.919,,2.535,,2.657,,1.614,,0.213,,-0.171,,-0.049,,Semua,True
P08,Buka Mata,C4,1,4.868,,5.487,,1.881,,1.327,,0.787,,1.406,,-2.2,,Semua,True
P08,Buka Mata,F3,1,3.316,,1.537,,2.509,,1.449,,0.804,,-0.975,,-0.004,,Semua,True
P08,Buka Mata,F4,1,5.642,,5.846,,3.267,,3.217,,0.643,,0.846,,-1.732,,Semua,True
P08,Buka Mata,F7,1,4.03,,3.717,,3.195,,2.507,,0.481,,0.169,,-0.353,,Semua,True
P08,Buka Mata,F8,1,4.557,,4.147,,1.624,,1.043,,1.207,,0.797,,-1.726,,Semua,True
P08,Buka Mata,Fp1,1,1.484,,1.603,,0.699,,-0.204,,0.359,,0.478,,-0.427,,Semua,True
P08,Buka Mata,Fp2,1,4.5,,4.984,,3.455,,3.317,,0.362,,0.847,,-0.683,,Semua,True
P08,Buka Mata,O1,1,4.27,,4.446,,3.24,,3.097,,0.427,,0.603,,-0.603,,Semua,True
P08,Buka Mata,O2,1,5.239,,5.295,,2.456,,2.089,,1.034,,1.089,,-1.749,,Semua,True
P08,Buka Mata,P3,1,2.916,,4.175,,3.484,,3.167,,-0.63,,0.629,,-0.062,,Semua,True
P08,Buka Mata,P4,1,3.308,,3.257,,0.457,,-0.054,,1.111,,1.06,,-1.74,,Semua,True
P08,Buka Mata,T3,1,5.327,,5.863,,4.164,,3.775,,0.332,,0.867,,-0.831,,Semua,True
P08,Buka Mata,T4,1,1.307,,1.805,,0.061,,-0.27,,0.431,,0.928,,-0.815,,Semua,True
P08,Buka Mata,T5,1,5.575,,4.059,,0.957,,0.995,,2.02,,0.504,,-2.597,,Semua,True
P08,Buka Mata,T6,1,4.259,,3.19,,-0.644,,-1.476,,2.127,,1.058,,-2.777,,Semua,True
P08,Gerak,C3,7,3.244,1.716,-1.347,2.207,-3.249,2.404,-3.87,2.161,3.118,0.539,-1.472,0.585,-3.374,1.136,Semua,True
P08,Gerak,C4,8,5.742,1.906,3.69,1.275,1.08,0.92,-0.165,1.257,1.184,1.339,-0.868,1.001,-3.478,0.768,Semua,True
P08,Gerak,F3,8,2.629,1.897,-0.527,2.053,-0.424,2.595,-1.467,2.46,1.646,0.879,-1.51,0.597,-1.408,0.767,Semua,True
P08,Gerak,F4,7,4.823,2.104,2.888,1.514,2.193,1.044,1.57,0.955,0.989,0.694,-0.946,0.522,-1.641,0.849,Semua,True
P08,Gerak,F7,9,1.559,1.243,-0.068,1.333,-2.737,0.791,-3.097,0.847,1.55,0.694,-0.077,1.14,-2.746,0.646,Semua,True
P08,Gerak,F8,12,5.316,1.849,2.823,1.609,0.937,0.869,0.606,0.806,1.605,0.626,-0.887,0.631,-2.773,0.891,Semua,True
P08,Gerak,Fp1,10,2.078,1.09,-1.256,1.663,-2.304,0.838,-2.748,1.198,2.24,0.757,-1.094,1.13,-2.142,0.562,Semua,True
P08,Gerak,Fp2,11,4.191,1.394,3.939,1.462,1.187,1.176,0.088,1.113,0.905,0.626,0.653,0.766,-2.099,0.51,Semua,True
P08,Gerak,O1,9,1.856,2.208,-1.992,1.844,-3.382,1.836,-3.63,1.728,2.49,0.779,-1.358,0.829,-2.748,1.045,Semua,True
P08,Gerak,O2,6,8.752,1.622,2.159,1.934,-0.859,1.216,-1.052,1.142,3.669,0.356,-2.924,2.053,-5.941,0.943,Semua,True
P08,Gerak,P3,6,2.456,2.082,0.101,1.721,-1.42,1.976,-2.265,1.843,1.784,0.634,-0.571,0.71,-2.093,0.777,Semua,True
P08,Gerak,P4,8,7.404,1.113,2.346,1.199,2.157,0.397,0.84,0.985,2.574,0.736,-2.485,1.238,-2.674,0.407,Semua,True
P08,Gerak,T3,10,3.078,1.415,-0.071,1.063,-0.056,0.951,-0.755,0.803,1.476,0.686,-1.673,0.774,-1.658,0.722,Semua,True
P08,Gerak,T4,12,7.014,1.538,4.186,1.29,2.183,0.843,1.072,0.644,2.098,0.464,-0.73,0.665,-2.733,0.732,Semua,True
P08,Gerak,T5,4,-3.768,4.281,-4.892,3.488,-6.04,2.884,-5.575,2.966,0.986,0.95,-0.138,0.617,-1.286,0.823,Semua,True
P08,Gerak,T6,7,5.142,1.396,-0.444,1.462,-2.419,1.499,-3.22,1.201,3.698,0.459,-1.888,0.757,-3.864,0.702,Semua,True
P08,Naik,C3,8,0.661,1.641,-0.377,1.825,0.029,1.976,-0.268,2.057,0.319,0.426,-0.72,0.772,-0.314,0.498,Semua,True
P08,Naik,C4,5,3.847,1.597,2.532,1.029,1.49,1.241,0.313,0.986,1.099,0.437,-0.217,0.332,-1.258,0.47,Semua,True
P08,Naik,F3,8,1.303,1.886,1.497,2.423,1.925,2.137,1.372,1.872,-0.721,1.235,-0.527,0.615,-0.099,0.47,Semua,True
P08,Naik,F4,7,4.819,1.615,3.16,2.118,3.712,1.541,2.925,1.509,0.551,0.512,-1.108,0.902,-0.556,0.495,Semua,True
P08,Naik,F7,11,0.132,1.237,0.181,1.158,-0.098,1.094,-0.124,0.936,-0.142,0.399,-0.093,0.746,-0.372,0.338,Semua,True
P08,Naik,F8,9,8.239,2.404,7.484,1.585,5.683,1.714,4.013,1.517,0.825,0.771,0.069,0.621,-1.732,0.539,Semua,True
P08,Naik,Fp1,10,0.149,1.242,0.345,1.272,-0.339,1.252,-1.12,1.285,-0.044,0.889,0.153,0.513,-0.531,0.198,Semua,True
P08,Naik,Fp2,11,1.968,1.363,3.141,1.239,2.824,0.787,2.036,0.927,-1.083,0.768,0.089,0.486,-0.227,0.532,Semua,True
P08,Naik,O1,11,-0.23,1.063,0.466,0.852,0.371,1.038,-0.235,0.866,-0.845,0.971,-0.149,0.63,-0.243,0.392,Semua,True
P08,Naik,O2,7,3.539,2.058,3.836,1.612,3.156,1.021,1.738,1.018,-0.179,0.777,0.118,0.518,-0.562,0.628,Semua,True
P08,Naik,P3,7,-1.179,3.144,-0.496,2.244,-0.527,3.027,-1.313,3.008,-0.799,0.594,-0.116,1.155,-0.146,0.44,Semua,True
P08,Naik,P4,6,9.1,3.486,6.514,2.161,4.77,1.663,3.596,1.331,1.631,1.116,-0.955,0.998,-2.699,1.317,Semua,True
P08,Naik,T3,11,-1.509,1.423,0.222,1.48,0.649,1.201,0.085,1.097,-1.984,1.041,-0.253,0.493,0.174,0.556,Semua,True
P08,Naik,T4,11,6.262,1.524,6.561,1.857,5.79,1.651,4.168,1.777,-0.303,0.732,-0.003,0.648,-0.775,0.587,Semua,True
P08,Naik,T5,6,-1.186,1.525,-1.776,1.819,-0.992,0.801,-1.457,0.755,-0.425,1.076,-1.015,1.113,-0.232,0.839,Semua,True
P08,Naik,T6,6,2.12,2.617,0.046,1.602,-1.112,1.44,-2.633,0.848,1.599,0.922,-0.474,0.783,-1.633,0.503,Semua,True
P08,Pasca-Naik,C3,11,3.496,1.137,1.775,1.067,0.487,1.159,0.035,1.181,1.561,0.422,-0.16,0.483,-1.448,0.425,Semua,True
P08,Pasca-Naik,C4,7,7.035,1.604,5.124,1.747,2.596,1.098,1.876,0.78,1.767,0.274,-0.143,0.467,-2.671,0.54,Semua,True
P08,Pasca-Naik,F3,10,1.857,1.22,1.22,1.281,0.058,0.983,-0.572,1.047,0.734,0.713,0.097,0.39,-1.065,0.381,Semua,True
P08,Pasca-Naik,F4,12,7.082,1.055,5.933,0.904,6.026,0.743,4.94,0.732,0.42,0.498,-0.73,0.533,-0.636,0.335,Semua,True
P08,Pasca-Naik,F7,11,3.555,1.15,4.112,1.317,2.501,1.308,1.118,1.226,0.13,0.582,0.687,0.385,-0.923,0.397,Semua,True
P08,Pasca-Naik,F8,12,10.028,1.223,7.736,1.22,6.359,0.8,4.477,0.617,1.475,0.55,-0.816,0.701,-2.194,0.657,Semua,True
P08,Pasca-Naik,Fp1,7,0.389,1.885,-2.128,1.224,-1.528,1.816,-1.561,1.842,1.217,0.895,-1.301,0.567,-0.7,0.657,Semua,True
P08,Pasca-Naik,Fp2,9,7.965,1.687,5.97,1.17,4.541,0.881,3.131,0.854,1.462,0.835,-0.533,0.625,-1.962,0.806,Semua,True
P08,Pasca-Naik,O1,9,4.82,1.823,2.891,1.551,0.814,0.704,0.82,0.773,1.825,0.657,-0.105,0.452,-2.182,0.908,Semua,True
P08,Pasca-Naik,O2,9,8.178,1.681,7.226,1.001,4.179,0.966,3.321,0.976,1.208,0.798,0.256,0.561,-2.791,0.944,Semua,True
P08,Pasca-Naik,P3,11,1.51,1.555,0.449,1.046,0.867,1.046,0.262,1.126,0.165,0.82,-0.896,0.389,-0.478,0.528,Semua,True
P08,Pasca-Naik,P4,8,6.15,1.386,4.2,1.451,2.875,0.978,1.682,0.821,1.632,0.42,-0.319,0.403,-1.643,0.499,Semua,True
P08,Pasca-Naik,T3,10,2.947,1.229,1.529,1.061,2.789,0.682,2.429,0.671,0.129,0.668,-1.289,0.451,-0.028,0.426,Semua,True
P08,Pasca-Naik,T4,12,11.009,1.65,7.85,1.143,5.091,1.221,2.986,0.967,2.378,0.581,-0.781,0.591,-3.54,0.771,Semua,True
P08,Pasca-Naik,T5,6,1.859,1.351,2.692,2.113,2.661,2.187,1.54,2.109,-0.929,1.116,-0.096,0.653,-0.127,0.584,Semua,True
P08,Pasca-Naik,T6,11,5.867,1.798,3.577,1.292,1.478,0.896,0.567,0.968,1.601,0.974,-0.689,0.79,-2.787,0.746,Semua,True
P08,Pra-Gerak,C3,5,-2.405,1.412,-4.432,1.303,-6.685,1.04,-7.8,1.084,2.118,0.798,0.091,0.692,-2.163,0.261,Semua,True
