participant_id,gerakan,rep,fase,kanal,n_jendela,n_bersih,theta_db,mu_db,beta_db,otot_db,total4_db,theta_m2b_db,mu_m2b_db,beta_m2b_db,detik_bersih,rentang_detik,cakupan,lolos_R1
P08,-,0,Buka Mata,C3,75,59,2.919,2.535,2.657,1.614,2.706,0.213,-0.171,-0.049,17.0,19.5,0.872,True
P08,-,0,Buka Mata,C4,75,71,4.868,5.487,1.881,1.327,4.081,0.787,1.406,-2.2,19.25,19.5,0.987,True
P08,-,0,Buka Mata,F3,75,51,3.316,1.537,2.509,1.449,2.513,0.804,-0.975,-0.004,15.75,19.5,0.808,True
P08,-,0,Buka Mata,F4,75,60,5.642,5.846,3.267,3.217,4.999,0.643,0.846,-1.732,16.5,19.5,0.846,True
P08,-,0,Buka Mata,F7,75,50,4.03,3.717,3.195,2.507,3.548,0.481,0.169,-0.353,14.0,19.5,0.718,True
P08,-,0,Buka Mata,F8,75,75,4.557,4.147,1.624,1.043,3.35,1.207,0.797,-1.726,19.5,19.5,1.0,True
P08,-,0,Buka Mata,Fp1,75,57,1.484,1.603,0.699,-0.204,1.126,0.359,0.478,-0.427,15.75,19.5,0.808,True
P08,-,0,Buka Mata,Fp2,75,75,4.5,4.984,3.455,3.317,4.138,0.362,0.847,-0.683,19.5,19.5,1.0,True
P08,-,0,Buka Mata,O1,75,71,4.27,4.446,3.24,3.097,3.843,0.427,0.603,-0.603,19.25,19.5,0.987,True
P08,-,0,Buka Mata,O2,75,54,5.239,5.295,2.456,2.089,4.206,1.034,1.089,-1.749,15.0,19.5,0.769,True
P08,-,0,Buka Mata,P3,75,45,2.916,4.175,3.484,3.167,3.546,-0.63,0.629,-0.062,14.25,19.5,0.731,True
P08,-,0,Buka Mata,P4,75,56,3.308,3.257,0.457,-0.054,2.197,1.111,1.06,-1.74,15.5,19.5,0.795,True
P08,-,0,Buka Mata,T3,75,70,5.327,5.863,4.164,3.775,4.995,0.332,0.867,-0.831,19.0,19.5,0.974,True
P08,-,0,Buka Mata,T4,75,75,1.307,1.805,0.061,-0.27,0.876,0.431,0.928,-0.815,19.5,19.5,1.0,True
P08,-,0,Buka Mata,T5,75,28,5.575,4.059,0.957,0.995,3.555,2.02,0.504,-2.597,8.25,19.5,0.423,True
P08,-,0,Buka Mata,T6,75,44,4.259,3.19,-0.644,-1.476,2.132,2.127,1.058,-2.777,11.75,19.5,0.603,True
P08,-,0,Tutup Mata,C3,48,32,-1.314,-2.123,-0.931,-0.374,-1.296,-0.018,-0.827,0.365,8.75,12.75,0.686,True
P08,-,0,Tutup Mata,C4,48,42,-4.872,-3.236,-4.175,-3.802,-4.137,-0.734,0.901,-0.038,11.25,12.75,0.882,True
P08,-,0,Tutup Mata,F3,48,27,-1.289,-0.611,-1.342,-0.914,-1.114,-0.175,0.503,-0.228,7.5,12.75,0.588,True
P08,-,0,Tutup Mata,F4,48,40,-3.683,-2.081,-2.838,-2.017,-2.883,-0.8,0.802,0.045,10.75,12.75,0.843,True
P08,-,0,Tutup Mata,F7,48,30,-0.19,2.146,0.512,1.113,0.809,-0.998,1.337,-0.296,9.0,12.75,0.706,True
P08,-,0,Tutup Mata,F8,48,46,-0.781,-1.032,-1.952,-2.297,-1.337,0.556,0.305,-0.615,12.25,12.75,0.961,True
P08,-,0,Tutup Mata,Fp1,48,17,-0.432,-0.235,-0.977,-1.162,-0.639,0.208,0.404,-0.338,5.75,12.75,0.451,True
P08,-,0,Tutup Mata,Fp2,48,42,1.651,2.355,1.982,1.582,1.988,-0.337,0.367,-0.006,12.75,12.75,1.0,True
P08,-,0,Tutup Mata,O1,48,27,-1.438,-0.915,-0.103,0.609,-0.566,-0.872,-0.349,0.463,8.25,12.75,0.647,True
P08,-,0,Tutup Mata,O2,48,43,-3.414,-0.973,-0.962,-0.963,-1.552,-1.862,0.579,0.59,11.75,12.75,0.922,True
P08,-,0,Tutup Mata,P3,48,32,-1.65,-1.735,-1.68,-0.917,-1.652,0.002,-0.083,-0.027,8.75,12.75,0.686,True
P08,-,0,Tutup Mata,P4,48,42,-1.52,-2.121,-2.525,-2.761,-2.124,0.604,0.002,-0.402,11.25,12.75,0.882,True
P08,-,0,Tutup Mata,T3,48,28,-1.649,-0.956,-0.663,-0.69,-0.992,-0.656,0.036,0.329,8.5,12.75,0.667,True
P08,-,0,Tutup Mata,T4,48,48,0.822,0.174,-0.518,-0.562,0.064,0.758,0.11,-0.582,12.75,12.75,1.0,True
P08,-,0,Tutup Mata,T5,48,34,-2.06,0.401,-2.442,-2.519,-1.349,-0.712,1.75,-1.094,10.75,12.75,0.843,True
P08,-,0,Tutup Mata,T6,48,41,-3.896,-4.438,-6.71,-5.851,-5.212,1.316,0.774,-1.498,11.0,12.75,0.863,True
P08,Agem Kanan,1,Berdiri,C3,4,4,-4.861,-4.661,-4.782,-4.018,-4.661,-0.2,0.0,-0.121,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,C4,4,4,-1.729,-1.249,-1.068,-0.011,-1.222,-0.507,-0.027,0.154,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,F3,4,1,4.575,3.344,2.528,1.921,3.31,1.265,0.034,-0.783,1.0,1.75,0.571,False
P08,Agem Kanan,1,Berdiri,F4,4,4,7.045,4.51,3.043,2.798,5.262,1.783,-0.752,-2.219,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,F7,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,F8,4,4,5.859,8.131,4.824,5.196,6.183,-0.324,1.948,-1.359,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,Fp1,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,Fp2,4,4,1.574,1.79,1.145,-0.598,1.419,0.156,0.371,-0.274,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,O1,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,O2,4,4,3.699,1.99,3.642,4.366,3.341,0.358,-1.352,0.301,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,P3,4,4,-6.48,-7.242,-6.551,-5.483,-6.587,0.108,-0.655,0.036,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,P4,4,4,2.243,-2.926,-1.41,-2.755,-0.255,2.498,-2.671,-1.155,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T3,4,0,,,,,,,,,0.0,1.75,0.0,False
P08,Agem Kanan,1,Berdiri,T4,4,4,8.678,6.56,3.268,3.635,6.182,2.497,0.378,-2.914,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T5,4,4,-7.805,-9.382,-7.055,-5.325,-7.594,-0.211,-1.787,0.54,1.75,1.75,1.0,True
P08,Agem Kanan,1,Berdiri,T6,4,4,-4.088,-0.137,-2.358,-1.316,-1.931,-2.157,1.793,-0.427,1.75,1.75,1.0,True
P08,Agem Kanan,1,Gerak,C3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,C4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,F3,2,2,10.969,9.454,13.517,11.046,12.062,-1.093,-2.608,1.456,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,F4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,F7,2,2,-1.216,-8.248,-0.617,-0.879,-1.776,0.56,-6.472,1.159,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,F8,2,2,-5.158,-4.174,0.63,1.319,-1.45,-3.709,-2.724,2.08,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,Fp1,2,2,-1.684,2.025,1.157,2.467,1.053,-2.737,0.972,0.105,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,Fp2,2,2,0.129,-0.434,2.809,3.037,1.531,-1.402,-1.964,1.278,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,O1,2,2,2.999,2.925,0.928,-0.629,2.137,0.863,0.789,-1.209,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,O2,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,P3,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,P4,2,0,,,,,,,,,0.0,1.25,0.0,False
P08,Agem Kanan,1,Gerak,T3,2,2,3.246,-0.244,5.668,3.464,3.981,-0.734,-4.225,1.688,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,T4,2,2,2.033,1.3,4.126,4.634,3.015,-0.982,-1.715,1.112,1.25,1.25,1.0,True
P08,Agem Kanan,1,Gerak,T5,2,0,,,,,,,,,0.0,1.25,0.0,False
