participant_id,metode,fase,n_repetisi,pct_repetisi_terpakai,cakupan_fase_median,pct_kanal_epoch_bersih,otot_db_median,detik_bersih_median_kanal,n_rep_valid_median_kanal,pct_kanal_rep_valid_ge3,se_db_median,reliabilitas_belah_dua,varian
P08,TE,Gerak,12,100.0,0.43,40.5,-0.14,6.6,6.0,100.0,1.74,0.82,D_TE
P08,TE,Tahan,12,100.0,0.57,58.9,1.14,26.9,10.0,100.0,1.07,0.85,D_TE
P08,TE,Naik,12,100.0,0.57,44.5,0.68,7.8,7.0,100.0,1.65,0.8,D_TE
P08,TE,Berdiri,12,100.0,0.51,66.2,1.0,35.8,10.5,100.0,1.12,0.76,D_TE
P08,TE,Gerak,12,100.0,0.89,29.2,2.78,13.0,8.0,100.0,1.55,0.86,D_E
P08,TE,Tahan,12,100.0,0.96,55.3,1.53,45.1,12.0,100.0,0.92,0.97,D_E
P08,TE,Naik,12,100.0,0.87,28.3,4.35,8.6,7.0,100.0,1.56,0.83,D_E
P08,TE,Berdiri,12,100.0,0.97,57.2,1.87,64.0,12.0,100.0,0.9,0.92,D_E
P08,TE,Gerak,12,100.0,0.43,59.8,-1.03,10.0,8.0,100.0,1.47,0.85,A0_TE
P08,TE,Tahan,12,100.0,0.57,67.4,0.46,29.1,10.0,100.0,1.22,0.95,A0_TE
P08,TE,Naik,12,100.0,0.57,61.2,0.77,9.1,7.5,100.0,1.59,0.87,A0_TE
P08,TE,Berdiri,12,100.0,0.51,77.1,-0.24,36.5,11.0,100.0,0.95,0.9,A0_TE
P08,TE,Gerak,12,100.0,0.43,59.2,-0.94,10.0,8.0,100.0,1.49,0.81,A2_TE
P08,TE,Tahan,12,100.0,0.57,66.9,0.31,28.6,10.0,100.0,1.2,0.95,A2_TE
P08,TE,Naik,12,100.0,0.57,60.7,0.45,9.1,7.5,100.0,1.54,0.83,A2_TE
P08,TE,Berdiri,12,100.0,0.51,76.3,-0.26,36.5,11.0,100.0,1.06,0.88,A2_TE
P08,TE,Gerak,12,100.0,0.43,65.8,-1.0,10.0,8.0,100.0,1.51,0.86,A2_ASR20_TE
P08,TE,Tahan,12,100.0,0.57,68.7,0.32,29.5,10.0,100.0,1.22,0.95,A2_ASR20_TE
P08,TE,Naik,12,100.0,0.57,65.1,0.39,9.9,8.0,100.0,1.59,0.87,A2_ASR20_TE
