participant_id,task,rep,compliance,phase_source,dur_turun,dur_tahan,dur_naik,latency_hud,arm_lead,depth_px,is_simulated
P32,NGEED,1,ok,manual_timestamp,4.327,0.8539999999999992,2.2700000000000014,,0.0,,False
P32,NGEED,2,ok,manual_timestamp,1.6500000000000021,3.1799999999999997,2.8349999999999973,,0.0,,False
P32,AGEM KANAN,1,ok,manual_timestamp,3.808,3.325000000000003,2.067,,0.0,,False
P32,AGEM KANAN,2,ok,manual_timestamp,1.597999999999999,3.698999999999998,2.811000000000007,,0.0,,False
P32,AGEM KIRI,1,ok,manual_timestamp,2.715999999999994,2.415999999999997,3.192999999999998,,0.0,,False
P32,AGEM KIRI,2,ok,manual_timestamp,1.5570000000000022,4.424999999999997,1.8469999999999942,,0.0,,False
P32,NGEED,3,ok,manual_timestamp,3.4219999999999686,1.4279999999999973,1.5370000000000346,,0.0,,False
P32,NGEED,4,ok,manual_timestamp,1.7860000000000014,2.5570000000000164,1.8899999999999864,,0.0,,False
P32,AGEM KANAN,3,ok,manual_timestamp,1.9120000000000346,2.8479999999999563,3.386000000000024,,0.0,,False
P32,AGEM KANAN,4,ok,manual_timestamp,1.592999999999961,3.4090000000000487,2.576999999999998,,0.0,,False
P32,AGEM KIRI,3,ok,manual_timestamp,1.9150000000000205,3.4499999999999886,2.8530000000000086,,0.0,,False
P32,AGEM KIRI,4,ok,manual_timestamp,2.1469999999999914,3.666999999999973,2.30600000000004,,0.0,,False
