participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,salvaged,is_simulated,theta_db,mu_db,beta_db,broad_db
P32,NGEED,1,PRA,Fp1,frontopolar,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-5.187314927214267,-2.626076839174331,-2.8884384516276693,-4.360145093032912
P32,NGEED,1,PRA,F3,frontal,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-6.2230999073239595,-6.8779042616715245,-4.85825516615402,-4.280831784295803
P32,NGEED,1,PRA,C3,sentral,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-5.1583641472398085,-2.078171542802938,-1.9231869554533034,-3.0159923683990577
P32,NGEED,1,PRA,P3,parietal,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.535,False,False,False,,,,
P32,NGEED,1,PRA,O1,oksipital,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.5,True,True,False,-13.849193195871216,-9.764876350445352,-7.571395442514678,-11.638261851933088
P32,NGEED,1,PRA,F7,frontotemporal,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-5.972175239391973,-6.175896283409919,-4.52191146695926,-5.209563234339743
P32,NGEED,1,PRA,T3,temporal,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-6.057466427801966,-4.926343771640564,-4.886893847145135,-5.166214342830905
P32,NGEED,1,PRA,T5,temporo-posterior,kiri,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-8.536392779668233,-10.77810041473829,-10.6703405992339,-6.620130142249813
P32,NGEED,1,PRA,Fp2,frontopolar,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-7.345716662092087,-4.264828144577123,-5.63125332204088,-4.646800910508318
P32,NGEED,1,PRA,F4,frontal,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,0.6867349154231306,-1.3125253976738307,-1.2018347915955019,0.9209440362115799
P32,NGEED,1,PRA,C4,sentral,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-2.3828660914396025,-2.3544540906388,-3.5893512379249977,-1.4651467580988538
P32,NGEED,1,PRA,P4,parietal,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-9.302030619571202,-7.610190415818849,-6.600150833224074,-7.536702711539171
P32,NGEED,1,PRA,O2,oksipital,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-6.4664807240777336,-7.452533767067173,-7.772872134134129,-3.04266275399295
P32,NGEED,1,PRA,F8,frontotemporal,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-10.476257287164465,-12.573576265109587,-7.041181913015119,-9.234855396397222
P32,NGEED,1,PRA,T4,temporal,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-4.096497308991346,-3.928667267817133,-4.960933104791309,-2.414063150884786
P32,NGEED,1,PRA,T6,temporo-posterior,kanan,3.634,5.634,2.0,2.0,ok,manual_timestamp,0.0,True,False,False,-6.803027639556351,-3.6065589268570193,-4.299255987507674,-3.894762924749088
P32,NGEED,1,TURUN,Fp1,frontopolar,kiri,5.634,10.461,4.327,4.827,ok,manual_timestamp,0.0,True,False,False,6.156090159124972,5.386471759496249,2.3399656495095655,4.664867285970558
