task,subphase,start,end,rep,sesi
NGEED,TURUN,6.134,10.461,1.0,1.0
NGEED,TAHAN,10.461,11.315,1.0,1.0
NGEED,NAIK,11.315,13.585,1.0,1.0
BERDIRI RILEKS,,15.585,21.075,,1.0
NGEED,TURUN,22.075,23.725,2.0,1.0
NGEED,TAHAN,23.725,26.905,2.0,1.0
NGEED,NAIK,26.905,29.74,2.0,1.0
BERDIRI RILEKS,,31.74,37.19,,1.0
AGEM KANAN,TURUN,38.19,41.998,1.0,1.0
AGEM KANAN,TAHAN,41.998,45.323,1.0,1.0
AGEM KANAN,NAIK,45.323,47.39,1.0,1.0
BERDIRI RILEKS,,49.39,53.11,,1.0
AGEM KANAN,TURUN,54.11,55.708,2.0,1.0
AGEM KANAN,TAHAN,55.708,59.407,2.0,1.0
AGEM KANAN,NAIK,59.407,62.218,2.0,1.0
BERDIRI RILEKS,,64.218,69.055,,1.0
AGEM KIRI,TURUN,70.055,72.771,1.0,1.0
AGEM KIRI,TAHAN,72.771,75.187,1.0,1.0
AGEM KIRI,NAIK,75.187,78.38,1.0,1.0
BERDIRI RILEKS,,80.38,85.125,,1.0
AGEM KIRI,TURUN,86.125,87.682,2.0,1.0
AGEM KIRI,TAHAN,87.682,92.107,2.0,1.0
AGEM KIRI,NAIK,92.107,93.954,2.0,1.0
BERDIRI RILEKS,,95.954,101.954,,1.0
ISTIRAHAT UTAMA,,101.954,274.283,,
NGEED,TURUN,279.283,282.705,3.0,2.0
NGEED,TAHAN,282.705,284.133,3.0,2.0
NGEED,NAIK,284.133,285.67,3.0,2.0
BERDIRI RILEKS,,287.67,293.67,,2.0
NGEED,TURUN,296.101,297.887,4.0,2.0
NGEED,TAHAN,297.887,300.444,4.0,2.0
NGEED,NAIK,300.444,302.334,4.0,2.0
BERDIRI RILEKS,,304.334,310.241,,2.0
AGEM KANAN,TURUN,311.241,313.153,3.0,2.0
AGEM KANAN,TAHAN,313.153,316.001,3.0,2.0
AGEM KANAN,NAIK,316.001,319.387,3.0,2.0
BERDIRI RILEKS,,321.387,326.307,,2.0
AGEM KANAN,TURUN,327.307,328.9,4.0,2.0
AGEM KANAN,TAHAN,328.9,332.309,4.0,2.0
AGEM KANAN,NAIK,332.309,334.886,4.0,2.0
BERDIRI RILEKS,,336.886,341.955,,2.0
AGEM KIRI,TURUN,342.955,344.87,3.0,2.0
AGEM KIRI,TAHAN,344.87,348.32,3.0,2.0
AGEM KIRI,NAIK,348.32,351.173,3.0,2.0
BERDIRI RILEKS,,353.173,357.85,,2.0
AGEM KIRI,TURUN,358.85,360.997,4.0,2.0
AGEM KIRI,TAHAN,360.997,364.664,4.0,2.0
AGEM KIRI,NAIK,364.664,366.97,4.0,2.0
BERDIRI RILEKS,,368.97,374.97,,2.0
BERDIRI MATA TERTUTUP,,411.864,441.864,,
