participant_id,task,rep,dur_turun_video,dur_turun_manual,dur_tahan_video,dur_tahan_manual,dur_naik_video,dur_naik_manual
P08,NGEED,1,1.999,4.1,4.93,3.767,0.542,1.3
P08,NGEED,2,1.722,2.135,5.735,5.741,0.931,1.707
P08,AGEM KANAN,1,2.0,2.52,5.263,5.152,0.735,1.803
P08,AGEM KANAN,2,1.403,2.104,6.124,5.846,0.806,1.371
P08,AGEM KIRI,1,2.862,2.627,0.138,5.066,4.201,1.864
P08,AGEM KIRI,2,2.0,2.159,5.387,5.847,0.876,1.654
P08,NGEED,3,1.402,1.11,5.735,5.445,0.598,1.238
P08,NGEED,4,1.277,1.785,6.666,6.008,0.597,1.293
P08,AGEM KANAN,3,2.139,2.829,5.208,5.038,0.652,2.143
P08,AGEM KANAN,4,1.458,2.589,6.208,5.542,1.069,1.651
P08,AGEM KIRI,3,1.472,2.343,5.93,5.661,0.597,1.877
P08,AGEM KIRI,4,1.805,2.486,5.736,5.726,0.805,1.972
P09,NGEED,1,1.527,3.374,5.263,3.442,0.875,1.872
P09,NGEED,2,1.611,3.223,4.666,4.068,1.389,2.766
P09,AGEM KANAN,1,,2.945,,5.015,,1.803
P09,AGEM KANAN,2,,3.496,,4.634,,2.495
P09,AGEM KIRI,1,3.597,2.37,2.138,4.876,0.528,2.475
P09,AGEM KIRI,2,1.264,3.838,2.194,3.494,3.402,3.185
P09,NGEED,3,1.404,2.189,5.068,4.128,1.333,2.867
P09,NGEED,4,1.403,1.903,5.735,5.342,1.125,1.801
P09,AGEM KANAN,3,0.125,3.984,0.541,3.618,5.069,3.281
P09,AGEM KANAN,4,1.195,3.568,0.402,3.482,3.861,3.151
P09,AGEM KIRI,3,1.208,3.202,4.124,3.38,0.611,2.797
P09,AGEM KIRI,4,0.931,2.941,3.93,4.143,1.076,2.667
P31,AGEM KANAN,1,2.208,3.284,2.0,4.263,2.402,2.157
P31,AGEM KANAN,2,0.806,3.411,1.264,4.238,4.207,0.855
P31,AGEM KIRI,1,0.264,3.76,2.874,8.459,6.999,1.634
P31,AGEM KIRI,2,0.667,2.198,1.139,5.181,4.874,1.204
P31,NGEED,3,1.069,2.466,2.61,2.919,0.723,1.531
P31,NGEED,4,1.471,1.983,3.597,3.6,1.07,1.751
P31,AGEM KANAN,3,0.86,2.264,2.402,2.852,0.738,2.755
P31,AGEM KANAN,4,1.736,3.117,1.333,4.516,4.194,1.569
P31,AGEM KIRI,3,1.194,3.586,2.208,3.585,2.403,1.501
P31,AGEM KIRI,4,0.472,2.339,2.333,4.411,4.597,1.998
P32,NGEED,1,2.209,4.327,2.124,0.854,1.138,2.27
P32,NGEED,2,2.139,1.65,2.138,3.18,1.334,2.835
P32,NGEED,3,2.526,3.422,2.0,1.428,0.861,1.537
P32,NGEED,4,1.473,1.786,2.193,2.557,0.875,1.89
P32,AGEM KANAN,3,1.07,1.912,0.527,2.848,3.666,3.386
P32,AGEM KANAN,4,1.333,1.593,0.125,3.409,3.805,2.577
P32,AGEM KIRI,3,1.069,1.915,0.875,3.45,3.93,2.853
P32,AGEM KIRI,4,1.135,2.147,2.136,3.667,2.86,2.306
