participant_id,kind,task,rep,phase,t0,channel,ptp_uv,flat_frac,clipping,label
P08,gerak,NGEED,1.0,PRA,3.58,Fp1,166.4,0.0,False,ekstrem
P08,gerak,NGEED,1.0,PRA,3.58,F3,27.1,0.92,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,C3,0.2,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,P3,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,O1,132.9,0.0,False,tinggi
P08,gerak,NGEED,1.0,PRA,3.58,F7,110.5,0.0,False,tinggi
P08,gerak,NGEED,1.0,PRA,3.58,T3,136.4,0.0,False,tinggi
P08,gerak,NGEED,1.0,PRA,3.58,T5,0.3,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,Fp2,68.7,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,3.58,F4,5.8,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,C4,24.8,0.48,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,P4,14.0,0.68,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,O2,6.4,0.88,False,datar
P08,gerak,NGEED,1.0,PRA,3.58,F8,74.6,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,3.58,T4,51.2,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,3.58,T6,7.4,0.68,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,Fp1,289.7,0.0,False,ekstrem
P08,gerak,NGEED,1.0,PRA,4.58,F3,144.6,0.0,False,tinggi
P08,gerak,NGEED,1.0,PRA,4.58,C3,52.1,0.32,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,P3,11.4,0.72,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,O1,227.5,0.0,False,ekstrem
P08,gerak,NGEED,1.0,PRA,4.58,F7,215.2,0.0,False,ekstrem
P08,gerak,NGEED,1.0,PRA,4.58,T3,245.4,0.0,False,ekstrem
P08,gerak,NGEED,1.0,PRA,4.58,T5,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,Fp2,86.6,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,4.58,F4,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,C4,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,P4,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,O2,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,PRA,4.58,F8,67.4,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,4.58,T4,46.4,0.0,False,ok
P08,gerak,NGEED,1.0,PRA,4.58,T6,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,Fp1,188.2,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,5.58,F3,157.9,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,5.58,C3,94.7,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,5.58,P3,60.0,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,5.58,O1,213.8,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,5.58,F7,165.9,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,5.58,T3,197.2,0.0,False,ekstrem
P08,gerak,NGEED,1.0,TURUN,5.58,T5,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,Fp2,78.8,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,5.58,F4,1.0,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,C4,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,P4,0.0,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,O2,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,5.58,F8,43.9,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,5.58,T4,39.6,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,5.58,T6,0.4,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,Fp1,71.2,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,6.58,F3,127.0,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,C3,128.0,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,P3,105.9,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,O1,145.6,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,F7,141.2,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,T3,141.1,0.0,False,tinggi
P08,gerak,NGEED,1.0,TURUN,6.58,T5,24.6,0.72,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,Fp2,79.2,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,6.58,F4,47.1,0.12,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,C4,0.2,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,P4,0.1,1.0,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,O2,26.7,0.52,False,datar
P08,gerak,NGEED,1.0,TURUN,6.58,F8,59.2,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,6.58,T4,60.1,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,6.58,T6,37.8,0.12,False,datar
P08,gerak,NGEED,1.0,TURUN,7.58,Fp1,4.0,0.88,False,datar
P08,gerak,NGEED,1.0,TURUN,7.58,F3,79.0,0.0,False,ok
P08,gerak,NGEED,1.0,TURUN,7.58,C3,102.3,0.0,False,tinggi
