participant_id,phase,n_jendela_kanal,pct_datar,pct_ekstrem,pct_tinggi,pct_ok,ptp_median_uv,clipping,delta_db_median,emg_db_median
P08,PRA,384,32.3,7.0,6.2,54.4,37.9,0,-5.2,-3.5
P08,TURUN,384,19.3,53.1,12.8,14.8,180.0,0,11.1,3.2
P08,TAHAN,944,26.9,17.6,12.5,43.0,60.6,0,0.7,1.5
P08,NAIK,208,25.5,44.2,13.0,17.3,134.0,0,5.7,3.4
P08,POST,192,9.9,43.2,17.2,29.7,127.2,0,5.6,2.3
P08,ACUAN,3440,25.8,8.5,9.9,55.8,38.0,0,0.0,0.0
P08,EC,208,29.3,3.8,9.6,57.2,31.1,0,-1.8,-2.0
P09,PRA,384,27.3,21.6,18.5,32.6,79.3,0,-2.2,-0.8
P09,TURUN,480,15.6,55.8,12.5,16.0,198.6,0,6.5,4.8
P09,TAHAN,720,21.0,40.8,14.6,23.6,117.6,0,3.2,1.4
P09,NAIK,384,32.8,47.9,6.2,13.0,132.5,0,2.4,2.6
P09,POST,192,26.6,53.6,6.2,13.5,168.1,0,1.7,0.2
P09,ACUAN,3312,9.0,22.4,24.0,44.6,94.9,0,0.0,0.0
P09,EC,48,6.2,6.2,10.4,77.1,42.0,0,-2.9,-2.8
P31,PRA,320,19.1,22.2,12.5,46.2,75.6,0,-3.8,-2.3
P31,TURUN,384,12.2,64.6,10.2,13.0,299.9,0,7.6,4.5
P31,TAHAN,624,16.2,48.4,12.5,22.9,139.5,0,3.9,2.5
P31,NAIK,192,21.9,56.8,11.5,9.9,221.2,0,6.0,4.8
P31,POST,160,20.0,61.3,8.1,10.6,254.5,0,6.4,3.8
P31,ACUAN,3360,16.2,9.1,11.9,62.7,56.2,0,-0.0,-0.0
P31,EC,480,20.0,3.5,8.3,68.1,52.4,0,-7.5,1.0
P32,PRA,384,30.5,27.6,13.8,28.1,83.2,0,-7.1,-4.8
P32,TURUN,336,15.5,80.1,4.2,0.3,401.8,0,7.1,8.0
P32,TAHAN,480,16.0,64.8,9.0,10.2,235.4,0,0.2,1.0
P32,NAIK,368,13.9,67.7,10.3,8.2,280.4,0,3.9,4.2
P32,POST,192,6.8,81.2,5.2,6.8,415.7,0,4.6,4.9
P32,ACUAN,3664,22.2,21.3,13.9,42.6,72.0,0,0.0,0.0
P32,EC,480,12.7,4.8,19.2,63.3,60.1,0,-8.4,-4.9
