participant_id,channel,pct_buruk,pct_datar,pct_ekstrem
P08,C3,56.3,35.1,21.2
P08,C4,46.4,33.8,12.6
P08,F3,66.9,39.7,27.2
P08,F4,49.0,30.5,18.5
P08,F7,60.9,24.5,36.4
P08,F8,34.4,7.3,27.2
P08,Fp1,68.9,27.2,41.7
P08,Fp2,37.7,0.0,37.7
P08,O1,58.9,15.2,43.7
P08,O2,41.7,23.2,18.5
P08,P3,58.3,41.7,16.6
P08,P4,45.0,32.5,12.6
P08,T3,59.6,21.9,37.7
P08,T4,35.8,0.0,35.8
P08,T5,51.0,42.4,8.6
P08,T6,47.0,27.8,19.2
P09,C3,60.9,33.8,27.2
P09,C4,66.2,35.8,30.5
P09,F3,62.3,32.5,29.8
P09,F4,62.9,21.2,41.7
P09,F7,62.3,0.0,62.3
P09,F8,82.8,12.6,70.2
P09,Fp1,58.9,17.9,41.1
P09,Fp2,76.8,1.3,75.5
P09,O1,74.8,40.4,34.4
P09,O2,62.9,20.5,42.4
P09,P3,68.9,39.7,29.1
P09,P4,62.9,23.8,39.1
P09,T3,80.8,43.0,37.7
P09,T4,71.5,21.9,49.7
P09,T5,53.6,28.5,25.2
P09,T6,73.5,12.6,60.9
P31,C3,39.2,10.0,29.2
P31,C4,83.3,2.5,80.8
P31,F3,54.2,38.3,15.8
P31,F4,79.2,15.0,64.2
P31,F7,39.2,20.8,18.3
P31,F8,86.7,9.2,77.5
P31,Fp1,38.3,22.5,15.8
P31,Fp2,79.2,13.3,65.8
P31,O1,54.2,25.8,28.3
P31,O2,73.3,17.5,55.8
P31,P3,57.5,40.0,17.5
P31,P4,81.7,15.0,66.7
P31,T3,45.0,17.5,27.5
P31,T4,89.2,0.8,88.3
P31,T5,64.2,27.5,36.7
P31,T6,89.2,1.7,87.5
P32,C3,75.4,35.4,40.0
P32,C4,86.2,20.8,65.4
P32,F3,73.8,23.8,50.0
P32,F4,86.9,3.1,83.8
P32,F7,76.9,16.2,60.8
P32,F8,86.2,2.3,83.8
P32,Fp1,87.7,6.9,80.8
P32,Fp2,89.2,14.6,74.6
P32,O1,66.9,14.6,52.3
P32,O2,80.8,23.1,57.7
P32,P3,73.8,33.1,40.8
P32,P4,85.4,16.9,68.5
P32,T3,77.7,30.0,47.7
P32,T4,86.2,19.2,66.9
P32,T5,76.2,0.8,75.4
P32,T6,82.3,16.9,65.4
