participant_id,kind,task,rep,phase,a,b,dur,delta_Fp1,delta_F3,delta_C3,delta_P3,delta_O1,delta_F7,delta_T3,delta_T5,delta_Fp2,delta_F4,delta_C4,delta_P4,delta_O2,delta_F8,delta_T4,delta_T6,emg_Fp1,emg_F3,emg_C3,emg_P3,emg_O1,emg_F7,emg_T3,emg_T5,emg_Fp2,emg_F4,emg_C4,emg_P4,emg_O2,emg_F8,emg_T4,emg_T6
P08,gerak,NGEED,1.0,PRA,3.59,5.59,2.0,0.85,2.94,-8.07,-22.02,-1.91,2.89,0.42,-45.31,-2.83,-29.11,-9.55,-15.51,-34.22,-3.84,-1.64,-32.08,8.13,-2.54,-14.0,-21.88,4.52,5.64,7.15,-84.24,3.98,-23.96,-10.29,-23.91,-32.64,2.64,2.19,-23.84
P08,gerak,NGEED,1.0,TURUN,5.59,10.19,4.6,-5.82,7.75,6.31,4.22,-0.37,5.18,1.36,4.06,8.8,10.49,4.85,5.19,5.81,5.62,6.9,7.79,-1.4,3.05,2.08,2.41,3.26,2.55,2.42,-0.06,2.71,3.33,-1.5,0.26,5.43,-1.33,-0.0,1.19
P08,gerak,NGEED,1.0,TAHAN,9.69,13.96,4.27,3.18,-7.14,-9.92,-10.63,-5.68,-1.8,-5.35,0.69,2.96,-5.27,-7.3,-3.34,2.87,-3.76,-4.6,-2.41,0.08,-10.54,-7.24,-7.47,-2.59,-5.64,-5.44,-6.68,1.97,-3.79,-5.4,-4.39,3.74,-5.44,-3.79,-8.72
P08,gerak,NGEED,1.0,NAIK,13.46,15.26,1.8,3.09,3.77,-4.37,-5.38,-1.32,1.88,-0.9,-35.07,-3.49,-27.03,-54.39,-67.78,-40.08,-17.67,-6.16,-42.27,7.55,1.63,-2.63,-2.46,3.53,3.99,4.0,-60.29,2.38,-49.15,-88.16,-84.26,-45.34,-7.83,-1.97,-50.55
P08,gerak,NGEED,1.0,POST,15.76,17.26,1.5,-33.76,9.89,7.69,6.32,1.39,7.61,2.59,7.48,2.7,3.85,4.97,-0.45,3.69,-1.27,-2.44,3.59,-32.98,4.44,4.43,4.01,2.26,4.17,4.05,0.99,-0.07,-0.47,-0.21,2.57,1.8,-0.1,-2.65,-3.99
P08,gerak,NGEED,2.0,PRA,19.76,21.76,2.0,0.22,-11.73,-39.05,-43.32,-3.49,-1.72,-1.99,-11.43,-3.88,-18.25,-8.66,-11.37,-6.67,-5.53,-11.62,-14.16,2.74,-11.84,-66.83,-85.95,-0.56,-1.09,0.56,-17.4,-0.73,-15.73,-8.23,-7.35,-8.4,-1.94,-2.12,-22.39
P08,gerak,NGEED,2.0,TURUN,21.76,24.39,2.64,1.21,10.68,4.91,5.39,5.47,6.98,4.31,-12.81,2.61,-7.94,-54.52,-62.54,-16.54,-5.35,0.81,-13.17,-0.07,2.97,1.56,0.75,2.28,2.6,3.21,-13.17,-0.67,-5.24,-78.35,-79.08,-18.46,-5.18,-3.25,-9.66
P08,gerak,NGEED,2.0,TAHAN,23.89,30.13,6.24,-2.62,7.77,6.68,5.16,-2.43,4.47,0.43,7.06,5.98,1.43,-1.87,-0.31,0.21,-2.01,0.04,-0.43,1.23,3.59,3.36,3.01,1.3,3.99,3.15,2.34,3.86,1.11,1.93,1.78,3.75,1.94,2.49,-3.01
P08,gerak,NGEED,2.0,NAIK,29.63,31.84,2.21,4.32,7.22,-1.87,-5.71,3.48,5.64,2.84,-50.88,1.26,-55.04,-40.68,-49.93,-32.73,-25.07,-7.45,-50.12,8.03,4.81,-0.15,-4.86,7.28,6.83,6.91,-81.43,3.23,-51.29,-59.9,-78.7,-38.21,-17.95,2.12,-77.17
P08,gerak,NGEED,2.0,POST,32.34,33.84,1.5,-18.64,5.76,1.11,1.44,-1.2,-0.51,-2.15,6.93,-2.22,-1.95,-14.55,-9.49,0.86,-0.75,-6.05,2.71,-9.69,6.8,6.78,6.54,4.57,7.16,7.09,1.14,1.24,-0.33,-12.54,-6.8,1.21,1.48,-0.43,-3.68
