sesi,paket_ke,kode_paket,nama_paket,fase_ke,kode_fase,nama_fase,urutan_asli,waktu_detik,waktu_hhmmss,durasi_fase_s
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,1,7.288,00:07.288,3.374
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,2,10.662,00:10.662,3.442
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,3,14.104,00:14.104,1.872
1,1,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,4,15.976,00:15.976,6.351
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,5,22.327,00:22.327,3.223
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,6,25.550,00:25.550,4.068
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,7,29.618,00:29.618,2.766
1,2,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,8,32.384,00:32.384,5.873
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,9,38.257,00:38.257,2.945
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,10,41.202,00:41.202,5.015
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,11,46.217,00:46.217,1.803
1,3,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,12,48.020,00:48.020,6.223
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,13,54.243,00:54.243,3.496
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,14,57.739,00:57.739,4.634
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,15,62.373,01:02.373,2.495
1,4,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,16,64.868,01:04.868,5.846
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,17,70.714,01:10.714,2.370
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,18,73.084,01:13.084,4.876
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,19,77.960,01:17.960,2.475
1,5,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,20,80.435,01:20.435,6.047
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,21,86.482,01:26.482,3.838
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,22,90.320,01:30.320,3.494
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,23,93.814,01:33.814,3.185
1,6,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,24,96.999,01:36.999,
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,25,279.953,04:39.953,2.189
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,26,282.142,04:42.142,4.128
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,27,286.270,04:46.270,2.867
2,7,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,28,289.137,04:49.137,6.533
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",1,Ngeed,Ngeed,29,295.670,04:55.670,1.903
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",2,T,Tahan,30,297.573,04:57.573,5.342
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",3,Naik,Naik,31,302.915,05:02.915,1.801
2,8,NTNB,"Ngeed, Tahan, Naik, Berdiri",4,B,Berdiri,32,304.716,05:04.716,6.522
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,33,311.238,05:11.238,3.984
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,34,315.222,05:15.222,3.618
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,35,318.840,05:18.840,3.281
2,9,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,36,322.121,05:22.121,5.209
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",1,AKA,Agem Kanan,37,327.330,05:27.330,3.568
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",2,T,Tahan,38,330.898,05:30.898,3.482
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",3,Naik,Naik,39,334.380,05:34.380,3.151
2,10,AKA TNB,"Agem Kanan, Tahan, Naik, Berdiri",4,B,Berdiri,40,337.531,05:37.531,5.665
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,41,343.196,05:43.196,3.202
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,42,346.398,05:46.398,3.380
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,43,349.778,05:49.778,2.797
2,11,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,44,352.575,05:52.575,6.619
2,12,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",1,AKI,Agem Kiri,45,359.194,05:59.194,2.941
2,12,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",2,T,Tahan,46,362.135,06:02.135,4.143
2,12,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",3,Naik,Naik,47,366.278,06:06.278,2.667
2,12,AKI TNB,"Agem Kiri, Tahan, Naik, Berdiri",4,B,Berdiri,48,368.945,06:08.945,
2,13,TT,Tutup Mata,1,TT,Tutup Mata,49,412.392,06:52.392,
