urutan,waktu_detik,waktu_hhmmss,label,nama_video
1,38.913,00:38.913,AKA,motor_P31_Trial_2026-09-14T02-49-56.webm
2,42.197,00:42.197,T,motor_P31_Trial_2026-09-14T02-49-56.webm
3,46.460,00:46.460,N,motor_P31_Trial_2026-09-14T02-49-56.webm
4,48.617,00:48.617,B,motor_P31_Trial_2026-09-14T02-49-56.webm
5,54.897,00:54.897,AKA,motor_P31_Trial_2026-09-14T02-49-56.webm
6,58.308,00:58.308,T,motor_P31_Trial_2026-09-14T02-49-56.webm
7,62.546,01:02.546,N,motor_P31_Trial_2026-09-14T02-49-56.webm
8,63.401,01:03.401,B,motor_P31_Trial_2026-09-14T02-49-56.webm
9,70.317,01:10.317,AKI,motor_P31_Trial_2026-09-14T02-49-56.webm
10,74.077,01:14.077,T,motor_P31_Trial_2026-09-14T02-49-56.webm
11,82.536,01:22.536,N,motor_P31_Trial_2026-09-14T02-49-56.webm
12,84.170,01:24.170,B,motor_P31_Trial_2026-09-14T02-49-56.webm
13,86.970,01:26.970,AKI,motor_P31_Trial_2026-09-14T02-49-56.webm
14,89.168,01:29.168,  T,motor_P31_Trial_2026-09-14T02-49-56.webm
15,94.349,01:34.349,N,motor_P31_Trial_2026-09-14T02-49-56.webm
16,95.553,01:35.553,B,motor_P31_Trial_2026-09-14T02-49-56.webm
17,280.116,04:40.116,N,motor_P31_Trial_2026-09-14T02-49-56.webm
18,282.582,04:42.582,T,motor_P31_Trial_2026-09-14T02-49-56.webm
19,285.501,04:45.501,N,motor_P31_Trial_2026-09-14T02-49-56.webm
20,287.032,04:47.032,B,motor_P31_Trial_2026-09-14T02-49-56.webm
21,295.631,04:55.631,N,motor_P31_Trial_2026-09-14T02-49-56.webm
22,297.614,04:57.614,T,motor_P31_Trial_2026-09-14T02-49-56.webm
23,301.214,05:01.214,N,motor_P31_Trial_2026-09-14T02-49-56.webm
24,302.965,05:02.965,B,motor_P31_Trial_2026-09-14T02-49-56.webm
25,311.876,05:11.876,AKA,motor_P31_Trial_2026-09-14T02-49-56.webm
26,314.140,05:14.140,T,motor_P31_Trial_2026-09-14T02-49-56.webm
27,316.992,05:16.992,N,motor_P31_Trial_2026-09-14T02-49-56.webm
28,319.747,05:19.747,B,motor_P31_Trial_2026-09-14T02-49-56.webm
29,327.597,05:27.597,AKA,motor_P31_Trial_2026-09-14T02-49-56.webm
30,330.714,05:30.714,T,motor_P31_Trial_2026-09-14T02-49-56.webm
31,335.230,05:35.230,N,motor_P31_Trial_2026-09-14T02-49-56.webm
32,336.799,05:36.799,B,motor_P31_Trial_2026-09-14T02-49-56.webm
33,343.604,05:43.604,AKI,motor_P31_Trial_2026-09-14T02-49-56.webm
34,347.190,05:47.190,T,motor_P31_Trial_2026-09-14T02-49-56.webm
35,350.775,05:50.775,N,motor_P31_Trial_2026-09-14T02-49-56.webm
36,352.276,05:52.276,B,motor_P31_Trial_2026-09-14T02-49-56.webm
37,359.481,05:59.481,AKI,motor_P31_Trial_2026-09-14T02-49-56.webm
38,361.820,06:01.820,T,motor_P31_Trial_2026-09-14T02-49-56.webm
39,366.231,06:06.231,N,motor_P31_Trial_2026-09-14T02-49-56.webm
40,368.229,06:08.229,B,motor_P31_Trial_2026-09-14T02-49-56.webm
41,411.581,06:51.581,TT,motor_P31_Trial_2026-09-14T02-49-56.webm
