Measure,Dancers,Non-dancers,t,df,p,Hedges g [95% CI],p (FDR)
Mu ERD · Pre (dB),4.85 ± 2.37,-0.10 ± 1.89,7.09,32.4,<0.001,"2.26 [1.43, 3.10]",<0.001
Beta ERD · Pre (dB),4.65 ± 2.12,0.37 ± 2.47,5.43,24.1,<0.001,"1.82 [1.05, 2.60]",<0.001
Frontal theta · Pre (dB),8.17 ± 2.37,1.99 ± 2.41,7.67,26.9,<0.001,"2.53 [1.66, 3.40]",<0.001
Mu ERD · Descent (dB),3.62 ± 1.95,6.31 ± 2.76,-3.21,20.7,0.004,"-1.10 [-1.81, -0.40]",0.005
Beta ERD · Descent (dB),2.44 ± 2.82,7.72 ± 2.04,-6.67,34.2,<0.001,"-2.10 [-2.91, -1.29]",<0.001
Frontal theta · Descent (dB),7.36 ± 3.44,3.31 ± 3.99,3.17,24.2,0.004,"1.06 [0.36, 1.76]",0.005
Mu ERD · Hold (dB),-0.70 ± 2.92,4.55 ± 2.53,-5.82,30.5,<0.001,"-1.88 [-2.66, -1.10]",<0.001
Beta ERD · Hold (dB),-1.31 ± 2.68,2.25 ± 1.92,-4.75,34.3,<0.001,"-1.50 [-2.24, -0.76]",<0.001
Frontal theta · Hold (dB),2.63 ± 3.26,4.55 ± 3.88,-1.56,23.6,0.132,"-0.53 [-1.20, 0.14]",0.132
Mu ERD · Rise (dB),6.78 ± 2.21,3.63 ± 2.68,3.73,23.3,0.001,"1.26 [0.54, 1.98]",0.002
Beta ERD · Rise (dB),4.41 ± 1.84,3.46 ± 1.77,1.57,28.2,0.128,"0.51 [-0.16, 1.18]",0.132
