pid,grup,fase,n,garis_latar_dB,mu_periodik_dB,beta_periodik_dB
P01,penari,TURUN,12,-0.4502705248502714,1.4619757617817015,0.5877199529149814
P01,penari,TAHAN,12,5.071725019744768,0.8869578622199709,0.8538082305930808
P01,penari,NAIK,11,4.1675531533055565,0.9190742447979705,0.13540161345180762
P02,penari,TURUN,12,5.423441384372776,-0.09490891364504067,-0.2870229563978518
P02,penari,TAHAN,12,2.7021411049646904,0.25852703558630646,0.8908007216122495
P02,penari,NAIK,10,6.195466748120646,1.9729620814706443,0.651695522642203
P03,penari,TURUN,10,6.598920151743641,-0.3975923736133444,0.25790892818651345
P03,penari,TAHAN,10,1.8102705045437606,-1.174833769105785,-0.24277929872459844
P03,penari,NAIK,11,1.8352687147737168,1.6689630515472587,0.2581996327166087
P04,penari,TURUN,12,17.72967894614996,1.4642346426658481,0.533832375228315
P04,penari,TAHAN,12,9.686367135734733,0.24438436021718593,0.3760177765173137
P04,penari,NAIK,12,12.79785393581049,0.5839050431669824,0.7507926662520805
P05,penari,TURUN,12,17.69316513088194,0.7478536548941408,0.28660174983007
P05,penari,TAHAN,12,10.018987855072368,1.7427545934554676,0.636317461944774
P05,penari,NAIK,12,7.7882981296030085,2.99893315810149,0.09316884373740925
P06,penari,TURUN,10,2.598873030577673,-0.3710601502320826,-0.25078607817214266
P06,penari,TAHAN,9,-3.3001699167926812,-1.4823294513486225,-0.17749877251908117
P06,penari,NAIK,7,4.475652520989666,0.3392682315463294,-0.045564193846243384
P07,penari,TURUN,12,-8.333231352884978,0.6967766108724955,0.12170315426602935
P07,penari,TAHAN,12,-7.090118308500557,2.0500283916908693,1.8380556256190494
P07,penari,NAIK,12,-5.570411482675306,3.230321589437512,0.9020164084387297
P10,non-penari,TURUN,9,7.286978459000499,-1.1048762824431027,0.9876853438670372
P10,non-penari,TAHAN,12,4.114639065689314,-0.2990632238713715,-0.4768527123808094
P10,non-penari,NAIK,9,3.023019955455979,-1.0201831747329244,0.1793019483641794
P36,non-penari,TURUN,12,19.05434146399039,-0.8371952022919338,0.7825914406735521
P36,non-penari,TAHAN,10,16.16315987888975,-1.356703834374583,0.9098534582089204
P36,non-penari,NAIK,10,6.265036700445599,1.8076057585536385,0.3451112918485494
P37,non-penari,TURUN,7,10.486642814125453,0.10948612182884433,0.645105331495893
P37,non-penari,TAHAN,10,4.632093553946364,0.10677045061289546,0.16365368932914792
P37,non-penari,NAIK,9,2.0549596504902734,2.2984969876442864,0.24838252449916304
P38,non-penari,TURUN,10,13.88972494802168,-1.0150683039230959,0.08270627690697926
P38,non-penari,TAHAN,8,6.690567822500126,0.4842755436937214,0.6349161098307785
P38,non-penari,NAIK,9,12.027432562751539,-1.3531223556261374,1.2002503558616553
