pid,grup,fase,pasangan,pita,psi,wpli,n_win
P01,penari,TURUN,F3→C3,mu,0.2001558300575033,0.6208594319119256,36
P01,penari,TURUN,F3→C3,beta,-0.05577405321051032,0.4277971692073332,36
P01,penari,TURUN,C3→P3,mu,0.1345488766183518,0.41499955094682744,36
P01,penari,TURUN,C3→P3,beta,-0.16627324185719947,0.32630197773940645,36
P01,penari,TURUN,F4→C4,mu,-0.09860118869360382,0.3608231661274708,36
P01,penari,TURUN,F4→C4,beta,0.26514511919803885,0.35783474995073056,36
P01,penari,TURUN,C4→P4,mu,-0.30478216172136513,0.48237280348865097,36
P01,penari,TURUN,C4→P4,beta,0.02617991747745459,0.43391712167509566,36
P01,penari,TAHAN,F3→C3,mu,0.04159861779960284,0.33387630170134125,114
P01,penari,TAHAN,F3→C3,beta,0.0430912698237631,0.14480766154062347,114
P01,penari,TAHAN,C3→P3,mu,-0.06577016464286464,0.19139829496965158,114
P01,penari,TAHAN,C3→P3,beta,0.11361870030128865,0.18948454781694007,114
P01,penari,TAHAN,F4→C4,mu,0.01952325652355285,0.17077939668561304,114
P01,penari,TAHAN,F4→C4,beta,0.06613300723869082,0.11548369653464097,114
P01,penari,TAHAN,C4→P4,mu,0.028243530298791657,0.06811264035067334,114
P01,penari,TAHAN,C4→P4,beta,0.005105308791957694,0.23538014167121468,114
P02,penari,TURUN,F3→C3,mu,-0.14068987054063362,0.3914770121865378,52
P02,penari,TURUN,F3→C3,beta,-0.10970544809328166,0.16960986126517275,52
P02,penari,TURUN,C3→P3,mu,-0.08076825424460629,0.246726083385566,52
P02,penari,TURUN,C3→P3,beta,0.02246113710411305,0.1419132367634182,52
P02,penari,TURUN,F4→C4,mu,0.031521607023787104,0.35417673870404454,52
P02,penari,TURUN,F4→C4,beta,-0.16205886732208002,0.19851475876817742,52
P02,penari,TURUN,C4→P4,mu,-0.1093139626472213,0.23806964671883618,52
P02,penari,TURUN,C4→P4,beta,0.14138146103750893,0.22906334940630838,52
P02,penari,TAHAN,F3→C3,mu,-0.032810154582507946,0.08953490287143338,119
P02,penari,TAHAN,F3→C3,beta,0.025550478462548324,0.15284733895164937,119
P02,penari,TAHAN,C3→P3,mu,-0.008563763896225943,0.1463185849790941,119
P02,penari,TAHAN,C3→P3,beta,0.05305267123765869,0.11053982241147357,119
P02,penari,TAHAN,F4→C4,mu,0.004484956194068992,0.11571960609853342,119
P02,penari,TAHAN,F4→C4,beta,-0.0015953043734157572,0.10144829367774075,119
P02,penari,TAHAN,C4→P4,mu,0.002709497778666633,0.1470749594649049,119
P02,penari,TAHAN,C4→P4,beta,0.09169596828606436,0.12481189397754248,119
P03,penari,TURUN,F3→C3,mu,0.0034578039866260102,0.10641260976861357,63
P03,penari,TURUN,F3→C3,beta,0.03940384944279101,0.09675908032824194,63
P03,penari,TURUN,C3→P3,mu,-0.012972234285472978,0.046477985163024635,63
P03,penari,TURUN,C3→P3,beta,-0.16505382708326544,0.12969103342533478,63
P03,penari,TURUN,F4→C4,mu,-0.09846434707519042,0.15080564231203006,63
P03,penari,TURUN,F4→C4,beta,0.028058862098921646,0.2875541089938642,63
