pid,grup,kondisi,area,cakupan,n_win,offset,expo,alpha,theta,beta
P01,penari,EO,oksipital,1.0,18,37.29386782678781,1.559779525593968,2.1699912809934556,-0.3719186252361051,0.4159265563961341
P01,penari,EO,parietal,1.0,18,34.99881217361959,1.3986751012556076,1.508632104396614,1.2197947803823768,0.36115866393952245
P01,penari,EO,sentral,1.0,18,36.9593750301862,1.6659900172664286,0.93952203811195,0.9708184875588671,0.8793890819618424
P01,penari,EO,temporo-post,1.0,18,41.853368100520754,1.9000913129552661,1.9258126428789994,0.34293213878512085,0.3652938311406885
P01,penari,EO,frontal,1.0,17,36.622187212251376,1.678137459406831,1.441402188238904,2.1536159516203424,0.5287200660950118
P01,penari,EC,oksipital,1.0,26,31.35596063361365,1.2957083175701074,2.4899722330485856,0.29218575637017574,0.39650394688025903
P01,penari,EC,parietal,1.0,26,30.080892700085244,1.2119619327016975,1.9969776740980967,0.10810190286448196,0.42946082444223904
P01,penari,EC,sentral,1.0,26,31.533910863610867,1.5161327415093666,1.2460961668952648,1.8522204662870632,0.22701855635202578
P01,penari,EC,temporo-post,1.0,26,29.91483304326614,1.0464553637861331,1.9116138396364772,1.6669478338302341,0.39447463412332917
P01,penari,EC,frontal,1.0,26,30.799285723276363,1.404442826854948,2.739721122794726,2.0744055874697707,0.06908319119033612
P02,penari,EO,oksipital,1.0,25,43.83140109796808,1.8121663397575343,0.8833486532462027,0.3367191925217361,0.5240958111612498
P02,penari,EO,parietal,1.0,9,45.06760035176363,1.677461405503263,1.7884048521906384,1.2284648833857452,0.3392643186565292
P02,penari,EO,sentral,1.0,6,44.46791941397937,2.0547700911101376,1.8195295127599178,0.46878125476235266,0.95625304628098
P02,penari,EO,temporo-post,1.0,27,43.008599293738705,1.8516197456162797,1.9026799426721168,0.4409877275429258,0.8259452593916572
P02,penari,EO,frontal,1.0,26,42.29427421547242,1.7805308727975213,2.1051033514580344,1.3921054987936814,0.5972031491104183
P02,penari,EC,oksipital,0.1,1,,,,,
P02,penari,EC,parietal,0.1,0,,,,,
P02,penari,EC,sentral,0.1,0,,,,,
P02,penari,EC,temporo-post,0.1,1,,,,,
P02,penari,EC,frontal,0.1,1,,,,,
P03,penari,EO,oksipital,1.0,17,44.070398740768894,2.0151588355495003,0.7864478091321807,-0.17119081299670824,1.17302789923885
P03,penari,EO,parietal,1.0,13,40.93379933254337,1.8121860543742248,2.732427087809431,1.8036956288123918,1.2336095131060536
P03,penari,EO,sentral,1.0,23,43.22402672228745,2.0305457469882047,0.929829285233279,0.6817609874429825,0.5560430526003578
P03,penari,EO,temporo-post,1.0,20,48.91232739086113,2.336780519326628,0.8174205821135767,-0.5625905337162629,0.7796861427128853
P03,penari,EO,frontal,1.0,23,40.69393650450138,1.714178432194024,1.4253431909549423,1.5083479544675455,0.45095179927632845
P03,penari,EC,oksipital,0.0,0,,,,,
P03,penari,EC,parietal,0.0,0,,,,,
P03,penari,EC,sentral,0.0,0,,,,,
P03,penari,EC,temporo-post,0.0,0,,,,,
P03,penari,EC,frontal,0.0,0,,,,,
P04,penari,EO,oksipital,1.0,12,39.604496262812845,0.9847449974163333,1.1420826550994518,0.6639890366765672,0.908322070683883
P04,penari,EO,parietal,1.0,17,38.295674615513484,1.17760620671745,0.47428764725409733,0.3639856613009351,0.4736869506879765
P04,penari,EO,sentral,1.0,20,38.66245492264601,1.6038621491426208,1.9570085392894367,0.34813374532405905,0.6667751986346553
P04,penari,EO,temporo-post,1.0,20,38.802535951107494,1.3457015467891418,1.5565801550741898,0.19163411451712853,0.6476666117025409
P04,penari,EO,frontal,1.0,22,36.75228943816776,1.3089916002358508,1.675254760736153,0.3679483613742268,0.5168235110022237
P04,penari,EC,oksipital,0.0,0,,,,,
P04,penari,EC,parietal,0.0,0,,,,,
P04,penari,EC,sentral,0.0,0,,,,,
P04,penari,EC,temporo-post,0.0,0,,,,,
P04,penari,EC,frontal,0.0,0,,,,,
P05,penari,EO,oksipital,1.0,19,36.96844605021736,1.1337388919579912,0.19434740798652994,0.6640239706752138,0.9440105465552416
P05,penari,EO,parietal,1.0,18,39.37131144142063,1.316324941512023,1.0217004000732182,0.322318534555715,1.053604155799535
P05,penari,EO,sentral,1.0,19,40.554623052413106,1.4858309758732793,0.9452694495710547,0.09838333357436391,1.1268543179118546
