participant_id,task,rep,phase,compliance,latency_hud,phase_source,band,channel,erd_pct,phase_dur,phase_ptp_uv,ptp_ratio_vs_baseline,is_simulated,interpolated
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,C3,3487.4436411231836,2.0,837.5,4.29,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,C4,25377.511953292553,2.0,647.7,7.23,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,P3,2829.8157774215424,2.0,647.4,5.04,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,P4,179.2440227255925,2.0,273.8,1.58,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,O1,6878.297555051594,2.0,802.5,5.45,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,O2,150.01467572728566,2.0,262.4,1.72,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,F3,2243.6193978944384,2.0,676.8,4.85,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,theta,F4,856.6387198851583,2.0,184.9,3.96,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,C3,2704.398243442891,2.0,837.5,4.29,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,C4,2208.420439322775,2.0,647.7,7.23,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,P3,1831.3968287667951,2.0,647.4,5.04,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,P4,241.6939527803459,2.0,273.8,1.58,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,O1,10550.30826941433,2.0,802.5,5.45,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,O2,317.28302779520305,2.0,262.4,1.72,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,F3,1593.6621645308105,2.0,676.8,4.85,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,mu,F4,878.8000757389526,2.0,184.9,3.96,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,C3,4207.018234748872,2.0,837.5,4.29,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,C4,2870.394696978895,2.0,647.7,7.23,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,P3,996.918914254749,2.0,647.4,5.04,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,P4,555.486481957903,2.0,273.8,1.58,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,O1,5901.394829955381,2.0,802.5,5.45,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,O2,680.6809698853245,2.0,262.4,1.72,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,F3,1678.3683210663567,2.0,676.8,4.85,False,False
P22,NGEED,2,PRA,ok,1.2495000000000012,video,beta,F4,1424.9932474396087,2.0,184.9,3.96,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,C3,-13.478168169287033,1.068999999999999,125.6,0.64,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,C4,1306.526271567115,1.068999999999999,157.2,1.75,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,P3,100.11319046218132,1.068999999999999,160.1,1.25,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,P4,103.50719317455494,1.068999999999999,152.1,0.88,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,O1,1071.3659767811141,1.068999999999999,374.0,2.54,False,False
P22,NGEED,2,TAHAN,ok,1.2495000000000012,video,theta,O2,151.9010110912687,1.068999999999999,198.9,1.3,False,False
