p,hari,jam_wita,offset_dipakai,metode,scan_terbaik,r_puncak,r_pada_085,blok1,blok2,edf_min_video
P01,09-09,09:24,4.15,manual,4.15,0.63,0.07,4.2,4.2,20.5
P02,09-09,10:10,0.85,fixed,0.65,0.63,0.6,0.7,0.65,-25.5
P03,09-09,10:43,0.85,fixed,0.9,0.54,0.53,0.85,0.9,-28.6
P04,09-09,11:19,1.65,manual,1.65,0.59,0.51,1.4,1.7,-31.5
P05,09-09,11:49,0.85,fixed,1.1,0.71,0.7,0.9,1.1,-20.5
P06,09-09,13:57,0.85,fixed,0.85,0.5,0.5,0.85,0.85,-3.5
P07,09-09,14:48,0.85,fixed,0.65,0.42,0.4,0.65,0.65,-2.6
P08,09-10,09:04,0.95,manual,0.95,0.43,0.43,0.95,1.0,-15.7
P09,09-10,09:38,1.7,manual,1.7,0.44,0.29,1.7,1.6,-25.5
P10,?,?,0.85,fixed,0.65,0.27,0.26,0.75,0.6,-12.6
P11,09-10,11:51,0.7,manual,0.7,0.41,0.4,0.85,0.7,-9.5
P12,09-10,12:23,0.85,fixed,0.65,0.54,0.52,0.65,0.6,-11.5
P13,09-10,14:24,0.05,manual,0.05,0.39,0.18,0.1,-0.0,-4.5
P14,09-10,15:05,0.85,fixed,2.7,0.21,0.08,3.15,2.7,-15.5
P15,09-10,15:57,0.85,fixed,0.75,0.51,0.51,0.75,0.75,-17.5
P16,09-11,09:48,0.85,fixed,2.05,0.14,0.12,1.0,2.45,1.5
P17,09-11,10:26,0.85,fixed,0.7,0.28,0.28,0.65,0.85,1.4
P18,09-11,10:58,0.85,fixed,0.7,0.51,0.5,0.75,0.6,1.5
P19,09-11,11:28,0.85,fixed,3.65,0.0,-0.08,3.75,-3.0,0.5
P20,09-11,12:03,0.85,fixed,-2.5,0.2,0.09,5.55,-2.6,5.5
P21,09-11,12:27,0.85,fixed,0.8,0.48,0.48,0.75,0.85,2.5
P22,09-12,09:55,0.85,fixed,0.8,0.64,0.63,0.8,0.8,0.5
P23,09-12,10:28,0.85,fixed,0.65,0.3,0.29,0.65,0.55,3.5
P24,09-12,11:04,0.85,fixed,0.1,0.17,0.16,0.6,-2.5,0.5
P25,09-12,11:46,0.85,fixed,0.65,0.31,0.29,0.6,0.7,-5.5
P26,09-12,12:15,0.35,manual,0.35,0.44,0.37,0.25,0.35,5.5
P27,09-12,12:47,0.85,fixed,0.6,0.49,0.47,0.65,0.6,-16.5
P28,09-12,13:15,0.85,fixed,0.85,0.54,0.54,0.85,0.85,-3.5
P29,09-14,09:28,0.85,fixed,0.7,-0.06,-0.06,1.25,6.0,3.5
P30,09-14,10:01,0.85,fixed,0.7,0.24,0.23,1.0,0.65,0.5
P31,09-14,10:49,0.85,fixed,0.7,0.61,0.61,0.7,0.7,1.5
P32,09-14,11:25,0.85,fixed,0.75,0.67,0.67,0.75,0.75,2.4
P33,09-14,11:53,0.85,fixed,0.65,0.15,0.14,-0.05,0.65,0.5
P34,09-14,13:13,0.85,fixed,0.7,0.19,0.19,0.7,0.7,0.5
P35,09-14,13:46,0.85,fixed,0.95,-0.01,-0.01,0.75,1.5,-0.6
P36,09-14,14:15,0.85,fixed,0.75,0.36,0.35,0.75,1.8,0.4
P37,09-14,14:40,0.85,fixed,0.95,0.53,0.53,1.05,0.85,1.5
P38,09-14,15:11,0.85,fixed,0.8,0.59,0.59,0.75,0.8,12.5
