participant_id,task,subphase,n,start,end,rep
P01,BERSIAP,,10,2.066,5.08,
P01,NGEED,TURUN,14,5.08,8.114,1.0
P01,NGEED,TAHAN,8,8.114,10.114,1.0
P01,NGEED,NAIK,18,10.114,13.113,1.0
P01,BERDIRI RILEKS,,20,13.113,21.119,
P01,NGEED,TURUN,14,21.119,24.119,2.0
P01,NGEED,TAHAN,8,24.119,26.118,2.0
P01,NGEED,NAIK,20,26.118,29.152,2.0
P01,BERDIRI RILEKS,,19,29.152,37.151,
P01,AGEM KANAN,TURUN,14,37.151,40.151,1.0
P01,AGEM KANAN,TAHAN,8,40.151,42.15,1.0
P01,AGEM KANAN,NAIK,18,42.15,45.171,1.0
P01,BERDIRI RILEKS,,19,45.171,53.149,
P01,AGEM KANAN,TURUN,15,53.149,56.183,2.0
P01,AGEM KANAN,TAHAN,7,56.183,58.148,2.0
P01,AGEM KANAN,NAIK,20,58.148,61.238,2.0
P01,BERDIRI RILEKS,,20,61.238,69.181,
P01,AGEM KIRI,TURUN,15,69.181,72.215,1.0
P01,AGEM KIRI,TAHAN,7,72.215,74.18,1.0
P01,AGEM KIRI,NAIK,18,74.18,77.18,1.0
P01,BERDIRI RILEKS,,20,77.18,85.186,
P01,AGEM KIRI,TURUN,14,85.186,88.185,2.0
P01,AGEM KIRI,TAHAN,8,88.185,90.22,2.0
P01,AGEM KIRI,NAIK,18,90.22,93.234,2.0
P01,ISTIRAHAT UTAMA,,365,93.234,273.462,
P01,BERSIAP,,14,273.462,278.247,
P01,NGEED,TURUN,14,278.247,281.246,3.0
P01,NGEED,TAHAN,14,281.246,284.246,3.0
P01,NGEED,NAIK,11,284.246,286.218,3.0
P01,BERDIRI RILEKS,,20,286.218,294.216,
P01,NGEED,TURUN,15,294.216,297.244,4.0
P01,NGEED,TAHAN,8,297.244,299.244,4.0
P01,NGEED,NAIK,19,299.244,302.285,4.0
P01,BERDIRI RILEKS,,20,302.285,310.283,
P01,AGEM KANAN,TURUN,14,310.283,313.283,3.0
P01,AGEM KANAN,TAHAN,14,313.283,316.283,3.0
P01,AGEM KANAN,NAIK,12,316.283,318.331,3.0
P01,BERDIRI RILEKS,,19,318.331,326.316,
P01,AGEM KANAN,TURUN,14,326.316,329.281,4.0
P01,AGEM KANAN,TAHAN,8,329.281,331.315,4.0
P01,AGEM KANAN,NAIK,18,331.315,334.28,4.0
P01,BERDIRI RILEKS,,20,334.28,342.313,
P01,AGEM KIRI,TURUN,14,342.313,345.313,3.0
P01,AGEM KIRI,TAHAN,8,345.313,347.313,3.0
P01,AGEM KIRI,NAIK,18,347.313,350.312,3.0
P01,BERDIRI RILEKS,,6,350.312,351.291,
P01,BERDIRI RILEKS,,14,353.124,358.346,
P01,AGEM KIRI,TURUN,14,358.346,361.345,4.0
P01,AGEM KIRI,TAHAN,14,361.345,364.345,4.0
P01,AGEM KIRI,NAIK,12,364.345,366.401,4.0
P01,BERDIRI FOKUS MATA TERBUKA,,65,366.401,396.486,
P01,BERDIRI ISTIRAHAT,,31,396.486,411.546,
P01,BERDIRI MATA TERTUTUP,,63,411.546,441.507,
P02,BERSIAP,,14,0.071,5.054,
P02,NGEED,TURUN,14,5.054,8.053,1.0
P02,NGEED,TAHAN,8,8.053,10.05,1.0
P02,NGEED,NAIK,18,10.05,13.053,1.0
P02,BERDIRI RILEKS,,21,13.053,21.093,
P02,NGEED,TURUN,14,21.093,24.093,2.0
P02,NGEED,TAHAN,7,24.093,26.058,2.0
P02,NGEED,NAIK,21,26.058,29.092,2.0
P02,BERDIRI RILEKS,,20,29.092,37.091,
P02,AGEM KANAN,TURUN,14,37.091,40.09,1.0
P02,AGEM KANAN,TAHAN,8,40.09,42.09,1.0
P02,AGEM KANAN,NAIK,20,42.09,45.09,1.0
P02,BERDIRI RILEKS,,19,45.09,53.088,
P02,AGEM KANAN,TURUN,15,53.088,56.13,2.0
P02,AGEM KANAN,TAHAN,8,56.13,58.088,2.0
P02,AGEM KANAN,NAIK,19,58.088,61.122,2.0
P02,BERDIRI RILEKS,,20,61.122,69.121,
P02,AGEM KIRI,TURUN,15,69.121,72.162,1.0
P02,AGEM KIRI,TAHAN,7,72.162,74.12,1.0
P02,AGEM KIRI,NAIK,18,74.12,77.119,1.0
P02,BERDIRI RILEKS,,21,77.119,85.153,
P02,AGEM KIRI,TURUN,14,85.153,88.159,2.0
P02,AGEM KIRI,TAHAN,8,88.159,90.152,2.0
P02,AGEM KIRI,NAIK,19,90.152,93.159,2.0
P02,ISTIRAHAT UTAMA,,364,93.159,273.131,
P02,BERSIAP,,9,276.075,278.186,
P02,NGEED,TURUN,14,278.186,281.186,3.0
P02,NGEED,TAHAN,14,281.186,284.185,3.0
P02,NGEED,NAIK,12,284.185,286.15,3.0
P02,BERDIRI RILEKS,,20,286.15,294.149,
P02,NGEED,TURUN,14,294.149,297.184,4.0
P02,NGEED,TAHAN,8,297.184,299.183,4.0
P02,NGEED,NAIK,19,299.183,302.217,4.0
P02,BERDIRI RILEKS,,20,302.217,310.223,
P02,AGEM KANAN,TURUN,14,310.223,313.215,3.0
P02,AGEM KANAN,TAHAN,14,313.215,316.222,3.0
P02,AGEM KANAN,NAIK,11,316.222,318.222,3.0
P02,BERDIRI RILEKS,,19,318.222,326.283,
P02,AGEM KANAN,TURUN,15,326.283,329.22,4.0
P02,AGEM KANAN,TAHAN,9,329.22,331.254,4.0
P02,AGEM KANAN,NAIK,20,331.254,334.219,4.0
P02,BERDIRI RILEKS,,21,334.219,342.253,
