task,subphase,n,start,end,rep
BERSIAP,,15,2.168,5.153499999999999,
NGEED,TURUN,14,5.153499999999999,8.152999999999999,1.0
NGEED,TAHAN,8,8.152999999999999,10.152999999999999,1.0
NGEED,NAIK,18,10.152999999999999,13.152000000000001,1.0
BERDIRI RILEKS,,21,13.152000000000001,21.186,
NGEED,TURUN,14,21.186,24.185000000000002,2.0
NGEED,TAHAN,7,24.185000000000002,26.15,2.0
NGEED,NAIK,20,26.15,29.3375,2.0
BERDIRI RILEKS,,18,29.3375,37.19,
AGEM KANAN,TURUN,14,37.19,40.19,1.0
AGEM KANAN,TAHAN,8,40.19,42.19,1.0
AGEM KANAN,NAIK,21,42.19,45.189,1.0
BERDIRI RILEKS,,20,45.189,53.188,
AGEM KANAN,TURUN,15,53.188,56.222,2.0
AGEM KANAN,TAHAN,7,56.222,58.187,2.0
AGEM KANAN,NAIK,22,58.187,61.353,2.0
BERDIRI RILEKS,,19,61.353,69.22,
AGEM KIRI,TURUN,12,69.22,72.25399999999999,1.0
AGEM KIRI,TAHAN,10,72.25399999999999,74.219,1.0
AGEM KIRI,NAIK,21,74.219,77.219,1.0
BERDIRI RILEKS,,18,77.219,85.2525,
AGEM KIRI,TURUN,14,85.2525,88.25200000000001,2.0
AGEM KIRI,TAHAN,8,88.25200000000001,90.25200000000001,2.0
AGEM KIRI,NAIK,18,90.25200000000001,93.7515,2.0
ISTIRAHAT UTAMA,,362,93.7515,273.3005,
BERSIAP,,13,273.3005,278.286,
NGEED,TURUN,14,278.286,281.2855,3.0
NGEED,TAHAN,14,281.2855,284.28499999999997,3.0
NGEED,NAIK,11,284.28499999999997,286.25,3.0
BERDIRI RILEKS,,22,286.25,294.248,
NGEED,TURUN,12,294.248,297.283,4.0
NGEED,TAHAN,8,297.283,299.2825,4.0
NGEED,NAIK,19,299.2825,302.3375,4.0
BERDIRI RILEKS,,20,302.3375,310.31600000000003,
AGEM KANAN,TURUN,14,310.31600000000003,313.3155,3.0
AGEM KANAN,TAHAN,14,313.3155,316.315,3.0
AGEM KANAN,NAIK,12,316.315,318.31399999999996,3.0
BERDIRI RILEKS,,20,318.31399999999996,326.3555,
AGEM KANAN,TURUN,14,326.3555,329.313,4.0
AGEM KANAN,TAHAN,9,329.313,331.354,4.0
AGEM KANAN,NAIK,19,331.354,334.3325,4.0
BERDIRI RILEKS,,20,334.3325,342.35249999999996,
AGEM KIRI,TURUN,14,342.35249999999996,345.352,3.0
AGEM KIRI,TAHAN,8,345.352,347.352,3.0
AGEM KIRI,NAIK,20,347.352,350.351,3.0
BERDIRI RILEKS,,19,350.351,358.385,
AGEM KIRI,TURUN,14,358.385,361.3845,4.0
AGEM KIRI,TAHAN,14,361.3845,364.384,4.0
AGEM KIRI,NAIK,13,364.384,366.4235,4.0
BERDIRI FOKUS MATA TERBUKA,,65,366.4235,396.51800000000003,
BERDIRI ISTIRAHAT,,32,396.51800000000003,411.58500000000004,
BERDIRI MATA TERTUTUP,,63,411.58500000000004,441.504,
