frame,t,raw,task,subphase
0,0.0,,UNKNOWN,
14,0.533,"ra
> ry,
",UNKNOWN,
21,0.777,"aa
b> J
",UNKNOWN,
22,0.805,"BERSIAP
(s )
ioe
",BERSIAP,
24,0.874,"BERSIAP
(s )
aoe
",BERSIAP,
28,1.0,"BERSIAP
(s )
aoe
",BERSIAP,
44,1.534,"=
BERSIAP
)
",BERSIAP,
59,2.041,"=
BERSIAP
)
",BERSIAP,
74,2.541,"=""
BERSIAP
@)
",BERSIAP,
89,3.04,"=m
BERSIAP
@)
",BERSIAP,
104,3.54,"=
BERSIAP
(2)
",BERSIAP,
119,4.04,"Dvn]
BERSIAP
",BERSIAP,
122,4.138,"BERSIAP
",BERSIAP,
123,4.165,"bani
FD
",UNKNOWN,
124,4.207,"ral
FD
",UNKNOWN,
126,4.276,"oN
FD
",UNKNOWN,
134,4.54,"oN
FD
",UNKNOWN,
149,5.04,"al
FD
",UNKNOWN,
150,5.068,"al
FD
",UNKNOWN,
151,5.11,"NGEED
~
1
TURUN
",NGEED,TURUN
152,5.137,"NGEED
~
1
TURUN
",NGEED,TURUN
156,5.276,"NGEED
~
1
TURUN
",NGEED,TURUN
164,5.54,"NGEED
~
1
TURUN
",NGEED,TURUN
178,6.0,"NGEED
~
1
TURUN
",NGEED,TURUN
194,6.54,"NGEED
2
TURUN
",NGEED,TURUN
209,7.04,"NGEED
2 \
TURUN
",NGEED,TURUN
210,7.068,"NGEED
2 \
TURUN
",NGEED,TURUN
211,7.109,"NGEED
TURUN
",NGEED,TURUN
212,7.137,"NGEED
3)
",NGEED,
216,7.276,"NGEED
3)
",NGEED,
224,7.54,"NGEED
3)
",NGEED,
239,8.04,"NGEED
3)
",NGEED,
240,8.067,"NGEED
3)
",NGEED,
241,8.109,"NGEED
+)
TAHAN
",NGEED,TAHAN
242,8.137,"NGEED
+)
TAHAN
",NGEED,TAHAN
246,8.276,"NGEED
>
TAHAN
",NGEED,TAHAN
254,8.54,"NGEED
>
TAHAN
",NGEED,TAHAN
269,9.04,"NGEED
>
TAHAN
",NGEED,TAHAN
284,9.539,"NGEED
TAHAN
",NGEED,TAHAN
299,10.039,"NGEED
TAHAN
",NGEED,TAHAN
300,10.067,"NGEED
TAHAN
",NGEED,TAHAN
301,10.109,"NGEED
NAIK )
",NGEED,NAIK
302,10.137,"NGEED
",NGEED,
306,10.276,"NGEED
Y)
",NGEED,
314,10.539,"NGEED
3
",NGEED,
329,11.039,"NGEED
Y
",NGEED,
330,11.067,"NGEED
Y
",NGEED,
331,11.109,"NGEED
QD
NAIK
",NGEED,NAIK
332,11.136,"NGEED
)
NAIK
",NGEED,NAIK
336,11.275,"NGEED
(Z)
NAIK
",NGEED,NAIK
344,11.539,"NGEED
(2)
NAIK
",NGEED,NAIK
359,12.039,"NGEED
(2)
NAIK
",NGEED,NAIK
360,12.067,"NGEED
(2)
NAIK
",NGEED,NAIK
361,12.109,"NGEED
(2)
",NGEED,
362,12.136,"NGEED
(2)
",NGEED,
366,12.275,"NGEED
",NGEED,
374,12.539,"NGEED
",NGEED,
389,13.039,"NGEED
",NGEED,
390,13.067,"NGEED
",NGEED,
391,13.109,"BERDIRI RILEKS
(3
7
",BERDIRI RILEKS,
392,13.136,"BERDIRI RILEKS
(sg
7
",BERDIRI RILEKS,
396,13.275,"BERDIRI RILEKS
(sg
Qe /
",BERDIRI RILEKS,
404,13.539,"BERDIRI RILEKS
(g
Nee
",BERDIRI RILEKS,
419,14.039,"BERDIRI RILEKS
(g
Nee
",BERDIRI RILEKS,
434,14.539,"BERDIRI RILEKS
fm
| 7 |
Ne,
",BERDIRI RILEKS,
448,15.009,"BERDIRI RILEKS
fm
| 7 |
Ne,
",BERDIRI RILEKS,
463,15.501,"BERDIRI RILEKS
(6
Nee
",BERDIRI RILEKS,
478,16.005,"BERDIRI RILEKS
(6
Nee
",BERDIRI RILEKS,
493,16.504,"BERDIRI RILEKS
(5
Ne,
",BERDIRI RILEKS,
508,17.005,"BERDIRI RILEKS
(5
Nee
",BERDIRI RILEKS,
523,17.504,"BERDIRI RILEKS
(4 »
| 4 |
",BERDIRI RILEKS,
538,18.004,"BERDIRI RILEKS
(4 »
| 4 |
",BERDIRI RILEKS,
553,18.504,"BERDIRI RILEKS
(3
Nee,
",BERDIRI RILEKS,
