task,rep,hud_turun,hud_tahan,hud_naik,hud_end,ocr_protocol_dev,act_turun,act_tahan,act_naik,act_end,depth_px,act_turun_extrap,track_noise_px,pose_valid_frac,compliance,act_arm,first_move,baseline_range_frac,baseline_still,phase_source,fallback_latency_sec
NGEED,1,4.6015,7.6015,9.6015,12.6015,0.4504999999999999,8.142,10.072,14.267,14.794,59.737346321344376,7.992749999999999,1.213138923048973,1.0,late,6.601,lengan,0.017323762275311332,True,video,1.8362500000000068
NGEED,2,21.119500000000002,24.119500000000002,26.119500000000002,29.119500000000002,0.07050000000000267,22.737,23.737,25.861,30.736,69.65167842805386,22.636249999999997,1.2765854597091675,1.0,ok,16.003,lengan,0.13414178075558156,True,video,1.8362500000000068
AGEM KANAN,1,37.117,40.117,42.117,45.117,0.000499999999995282,39.262,42.206,46.401,46.928,61.14606186747551,39.1785,1.5601176768541336,1.0,ok,31.194,lengan,0.12806098001489116,True,video,1.8362500000000068
AGEM KANAN,2,53.1145,56.1145,58.1145,61.1145,0.03450000000000131,55.26,56.538,62.329,63.064,58.72401583939791,55.15925,1.8129613250494003,1.0,ok,48.928,lengan,0.06094070607618644,True,video,1.8362500000000068
AGEM KIRI,1,69.14699999999999,72.14699999999999,74.14699999999999,77.14699999999999,0.034000000000006025,71.272,72.202,74.466,78.868,50.367361567914486,71.17500000000001,0.958734005689621,1.0,ok,71.272,batang_tubuh,0.012715458286183636,True,video,1.8362500000000068
AGEM KIRI,2,85.1515,88.1515,90.1515,93.1515,0.0005000000000023874,87.13,87.797,90.06,94.865,43.14682524651289,87.078,1.0774724185466766,1.0,ok,87.13,batang_tubuh,0.07621460062919594,True,video,1.8362500000000068
NGEED,3,278.233,281.233,283.233,286.233,0.9784999999999968,279.927,280.802,286.927,287.732,76.54413718730211,279.84375,1.0985065251588821,1.0,ok,273.999,lengan,0.028097722001670444,True,video,1.8362500000000068
NGEED,4,294.176,297.176,299.176,302.176,0.006000000000028649,295.467,296.661,298.064,303.535,79.37987241894007,295.3665,1.977439597249031,1.0,ok,288.26,lengan,0.02801156714352031,True,video,1.8362500000000068
AGEM KANAN,3,310.243,313.243,315.243,318.243,1.0055000000000405,311.798,312.936,314.992,319.935,52.105358615517616,311.66625,1.513812318444252,1.0,ok,311.798,batang_tubuh,0.04395619260349685,True,video,1.8362500000000068
AGEM KANAN,4,326.2815,329.2815,331.2815,334.2815,0.034500000000036835,327.795,329.198,331.795,336.266,56.34424988180399,327.56225,1.9625481218099594,1.0,ok,327.795,batang_tubuh,0.06833503795044313,True,video,1.8362500000000068
AGEM KIRI,3,342.279,345.279,347.279,350.279,0.020999999999958163,344.265,345.001,347.264,352.0,48.016327470541,344.19899999999996,1.2121882289648056,1.0,ok,340.863,lengan,0.8745678142655916,False,video,1.8362500000000068
AGEM KIRI,4,358.3115,361.3115,363.3115,366.3115,0.9995000000000118,359.86,360.999,364.595,368.234,42.66401566565037,359.72450000000003,1.2545064091682434,1.0,ok,359.86,batang_tubuh,0.056869324427706376,True,video,1.8362500000000068
