,effect,effect,effect,effect,p_one_sided,p_one_sided,p_one_sided,p_one_sided
sampel,A_baku,B_tepi_datar_1.6s,C_median,D_tepi+median,A_baku,B_tepi_datar_1.6s,C_median,D_tepi+median
hipotesis,,,,,,,,
H1,-0.12382861679314464,-0.20644576850802188,-0.12520065643897843,-0.09281465817976887,0.3517446636302159,0.2716725581949267,0.3479869776364305,0.3879420828696217
H10a,-0.41434995414526943,-0.27554299965973567,-0.6422953784630218,-0.6106348857817328,0.10393222456962103,0.19907854616410664,0.027634434289653637,0.031375402222849735
H10b,-0.54062899218422,-0.4120218446134316,-0.41943301948705825,-0.2770884837719362,0.0560791622859967,0.11182874210469444,0.1056911540443192,0.20107940561592386
H11,-0.7010618626274476,-0.6636838609672422,-0.8179779027903368,-0.5906518759952633,0.01587613195096721,0.02010859349541479,0.010322654812115837,0.03433999689821948
H12,-0.8709087517486106,-0.737424813810437,-1.2379558694456698,-1.3141469250717184,0.0044686464329475525,0.015159528463323163,0.00017276261884730134,0.0001102890289147032
H13,0.18571809470023715,0.15395192446609457,0.073859266726245,0.02385341435210225,0.13555412575758305,0.18147674770459515,0.33198353341034625,0.44427689119169467
H2,-0.41772369305395163,-0.23084804353942134,-0.3355179962848413,-0.14795373003463883,0.1025881015094249,0.23928019560031752,0.14936698423501324,0.3222943034559279
H3,0.7333788317994228,0.7333788317994228,0.7333788317994228,0.7333788317994228,0.01618202472341582,0.01618202472341582,0.01618202472341582,0.01618202472341582
H4,0.45265732478015763,0.05965296283347998,0.37299161284017,0.7064018718707475,0.08847833656002631,0.42870070864315096,0.13067959983860655,0.02343953299707494
H5,-0.2135821218795024,-0.1915323608684415,-0.027620880088340374,-0.00930892786861558,0.2700757636710511,0.28425901369635503,0.4660316552069295,0.48848362453793015
H6,0.8498397870883005,0.8498397870883005,0.8498397870883005,0.8498397870883005,0.008337582718635335,0.008337582718635335,0.008337582718635335,0.008337582718635335
H7,-1.2594953941392826,-1.2594953941392826,-1.2594953941392826,-1.2594953941392826,0.0002725560010822223,0.0002725560010822223,0.0002725560010822223,0.0002725560010822223
H8,-0.5419730744478456,-0.5419730744478456,-0.5419730744478456,-0.5419730744478456,0.06464984308762543,0.06464984308762543,0.06464984308762543,0.06464984308762543
H9,-0.12199152285387745,-0.22177092110667163,-0.24858665232872576,-0.28236603379378533,0.642544886843195,0.7471871286343217,0.7743447828764883,0.8012131748642498
