task,subphase,start,end,rep,sesi
NGEED,TURUN,7.288,10.662,1.0,1.0
NGEED,TAHAN,10.662,14.104,1.0,1.0
NGEED,NAIK,14.104,15.976,1.0,1.0
BERDIRI RILEKS,,17.976,21.327,,1.0
NGEED,TURUN,22.327,25.55,2.0,1.0
NGEED,TAHAN,25.55,29.618,2.0,1.0
NGEED,NAIK,29.618,32.384,2.0,1.0
BERDIRI RILEKS,,34.384,37.257,,1.0
AGEM KANAN,TURUN,38.257,41.202,1.0,1.0
AGEM KANAN,TAHAN,41.202,46.217,1.0,1.0
AGEM KANAN,NAIK,46.217,48.02,1.0,1.0
BERDIRI RILEKS,,50.02,53.243,,1.0
AGEM KANAN,TURUN,54.243,57.739,2.0,1.0
AGEM KANAN,TAHAN,57.739,62.373,2.0,1.0
AGEM KANAN,NAIK,62.373,64.868,2.0,1.0
BERDIRI RILEKS,,66.868,69.714,,1.0
AGEM KIRI,TURUN,70.714,73.084,1.0,1.0
AGEM KIRI,TAHAN,73.084,77.96,1.0,1.0
AGEM KIRI,NAIK,77.96,80.435,1.0,1.0
BERDIRI RILEKS,,82.435,85.482,,1.0
AGEM KIRI,TURUN,86.482,90.32,2.0,1.0
AGEM KIRI,TAHAN,90.32,93.814,2.0,1.0
AGEM KIRI,NAIK,93.814,96.999,2.0,1.0
BERDIRI RILEKS,,98.999,104.999,,1.0
ISTIRAHAT UTAMA,,104.999,274.953,,
NGEED,TURUN,279.953,282.142,3.0,2.0
NGEED,TAHAN,282.142,286.27,3.0,2.0
NGEED,NAIK,286.27,289.137,3.0,2.0
BERDIRI RILEKS,,291.137,294.67,,2.0
NGEED,TURUN,295.67,297.573,4.0,2.0
NGEED,TAHAN,297.573,302.915,4.0,2.0
NGEED,NAIK,302.915,304.716,4.0,2.0
BERDIRI RILEKS,,306.716,310.238,,2.0
AGEM KANAN,TURUN,311.238,315.222,3.0,2.0
AGEM KANAN,TAHAN,315.222,318.84,3.0,2.0
AGEM KANAN,NAIK,318.84,322.121,3.0,2.0
BERDIRI RILEKS,,324.121,326.33,,2.0
AGEM KANAN,TURUN,327.33,330.898,4.0,2.0
AGEM KANAN,TAHAN,330.898,334.38,4.0,2.0
AGEM KANAN,NAIK,334.38,337.531,4.0,2.0
BERDIRI RILEKS,,339.531,342.196,,2.0
AGEM KIRI,TURUN,343.196,346.398,3.0,2.0
AGEM KIRI,TAHAN,346.398,349.778,3.0,2.0
AGEM KIRI,NAIK,349.778,352.575,3.0,2.0
BERDIRI RILEKS,,354.575,358.194,,2.0
AGEM KIRI,TURUN,359.194,362.135,4.0,2.0
AGEM KIRI,TAHAN,362.135,366.278,4.0,2.0
AGEM KIRI,NAIK,366.278,368.945,4.0,2.0
BERDIRI RILEKS,,370.945,376.945,,2.0
BERDIRI MATA TERTUTUP,,412.392,442.392,,
