participant_id,kondisi,area,cakupan,n_win,artifact_prone,is_simulated,offset_db,exponent,theta_periodic_db,mu_periodic_db,beta_periodic_db
P11,EO,frontopolar,1.0,7,True,False,38.82112441354899,1.033779714708184,-0.15617933584996635,-0.40464675894485813,-0.014043900397445547
P11,EO,frontal,1.0,6,False,False,40.66412002986229,1.5034453752071766,-1.6659172797467259,-0.858411568925431,1.4230138316050467
P11,EO,frontotemporal,1.0,5,True,False,42.7826166365392,1.509564876986867,-1.0118525091181496,-0.6158656431028047,1.5330817308093034
P11,EO,sentral,1.0,5,False,False,41.86984328854472,1.4713213680502437,-1.435619612546979,-0.8751623398066348,1.761495195085202
P11,EO,temporal,1.0,2,True,False,43.65944942128835,1.7582663758625792,-1.7063374973796246,0.4854149988171086,0.6547843991630307
P11,EO,parietal,1.0,6,False,False,42.60495667769996,1.3868805633136214,-0.7959170068702359,-1.1967187894163662,0.7686686237222734
P11,EO,temporo-posterior,1.0,6,False,False,43.46269797040474,1.5451856437684637,-1.5660034558423086,-0.552323078208039,0.49919675769869043
P11,EO,oksipital,1.0,5,False,False,42.346500599485324,1.5233503676056495,-0.5175777436462009,-0.463201999818883,2.087805511805195
P11,EC,frontopolar,0.672,13,True,False,36.082608795180434,0.8000641691841814,-1.5622639361125952,-0.36746428356635796,0.2893898494829545
P11,EC,frontal,0.672,0,False,False,,,,,
P11,EC,frontotemporal,0.672,2,True,False,36.2107382271724,1.367073168541304,1.1784711421148386,-0.1857403331206844,1.6029527707132636
P11,EC,sentral,0.672,0,False,False,,,,,
P11,EC,temporal,0.672,1,True,False,,,,,
P11,EC,parietal,0.672,0,False,False,,,,,
P11,EC,temporo-posterior,0.672,0,False,False,,,,,
P11,EC,oksipital,0.672,0,False,False,,,,,
