participant_id,task,rep,phase,channel,area,hemisphere,t0_video,t1_video,dur_phase_sec,win_sec,compliance,phase_source,flat_frac,valid,salvaged,is_simulated,theta_db,mu_db,beta_db,broad_db
P33,NGEED,1,PRA,Fp1,frontopolar,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.0,True,False,False,11.61003878458418,12.511840771940836,7.282939658784642,9.225085551263696
P33,NGEED,1,PRA,F3,frontal,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.99,False,False,False,,,,
P33,NGEED,1,PRA,C3,sentral,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.8,False,False,False,,,,
P33,NGEED,1,PRA,P3,parietal,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,PRA,O1,oksipital,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,PRA,F7,frontotemporal,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.2,False,False,False,,,,
P33,NGEED,1,PRA,T3,temporal,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.4,False,False,False,,,,
P33,NGEED,1,PRA,T5,temporo-posterior,kiri,4.032,6.032,2.0,2.0,ok,video_longgar,0.59,False,False,False,,,,
P33,NGEED,1,PRA,Fp2,frontopolar,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.0,True,False,False,4.741270916988086,3.478822323710226,0.4741183590460203,2.3917956846004955
P33,NGEED,1,PRA,F4,frontal,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,PRA,C4,sentral,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.99,False,False,False,,,,
P33,NGEED,1,PRA,P4,parietal,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.59,False,False,False,,,,
P33,NGEED,1,PRA,O2,oksipital,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.69,False,False,False,,,,
P33,NGEED,1,PRA,F8,frontotemporal,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.99,False,False,False,,,,
P33,NGEED,1,PRA,T4,temporal,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.29,True,True,False,-14.206750563511333,-8.655684359424086,-21.891434554473626,-4.748145676660851
P33,NGEED,1,PRA,T6,temporo-posterior,kanan,4.032,6.032,2.0,2.0,ok,video_longgar,0.99,False,False,False,,,,
P33,NGEED,1,TURUN,Fp1,frontopolar,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,F3,frontal,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,C3,sentral,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,P3,parietal,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,0.991,False,False,False,,,,
P33,NGEED,1,TURUN,O1,oksipital,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,0.814,False,False,False,,,,
P33,NGEED,1,TURUN,F7,frontotemporal,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,T3,temporal,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,T5,temporo-posterior,kiri,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,Fp2,frontopolar,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,0.717,False,False,False,,,,
P33,NGEED,1,TURUN,F4,frontal,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,0.991,False,False,False,,,,
P33,NGEED,1,TURUN,C4,sentral,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,P4,parietal,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,O2,oksipital,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,F8,frontotemporal,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,T4,temporal,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
P33,NGEED,1,TURUN,T6,temporo-posterior,kanan,7.538,8.665,1.611,1.128,ok,video_longgar,1.0,False,False,False,,,,
