phase,ukuran,n_seg,n_partisipan,beda_nonpenari_minus_penari_db,se,p,p_fdr
NAIK,broad_db,263,28,1.1783703311575233,1.6371134321285419,0.4716571413317321,0.5465926757721861
NAIK,mu_db,263,28,0.7221605724026943,1.6853067316234005,0.6682842665974895,0.7091634312604315
NAIK,beta_db,263,28,0.6365095954660361,1.7065521720720775,0.7091634312604315,0.7091634312604315
POST,broad_db,279,28,2.204395361004271,2.068883325342871,0.2866496867099769,0.5374681625812068
POST,mu_db,279,28,1.548907825066196,2.1619209312353784,0.4737136523358946,0.5465926757721861
POST,beta_db,279,28,1.4416387946140716,1.9563293626126401,0.4611770438232955,0.5465926757721861
PRA,broad_db,294,28,2.8140831340431456,1.535275043510957,0.06680993510377482,0.3471699013877047
PRA,mu_db,294,28,2.925836637638353,1.6115113528762093,0.06943398027754094,0.3471699013877047
PRA,beta_db,294,28,2.280826944074475,1.4574617078040202,0.11759909926057527,0.3527972977817258
TAHAN,broad_db,245,28,3.1967960299068845,1.5170363141573837,0.035094700993440656,0.3471699013877047
TAHAN,mu_db,245,28,2.6489518365688496,1.6824563963183394,0.11538230383237942,0.3527972977817258
TAHAN,beta_db,245,28,1.7441565916084278,1.4986591272853778,0.24450044727304132,0.5239295298708028
TURUN,broad_db,273,28,2.9150667719443724,2.3207690866673834,0.20908772612877502,0.5227193153219375
TURUN,mu_db,273,28,1.8506576375064518,2.2998201624247567,0.42099473886123195,0.5465926757721861
TURUN,beta_db,273,28,1.6241394099946433,2.0905136472668997,0.4372123077846981,0.5465926757721861
